{'descr': '订的是没早餐的大床房，酒店的位置还不错，房间不是很大，不过感觉上住着还不错。。设施上还行，挺干净的。。', 'star': 4}
{'descr': '酒店周边是小区，相对安静；门口只有一趟公交；可以步行10分钟左右到万泉庄公交站；房间比较小，仅能容下一张大床，服务还可以，不到11点就打电话让退房。', 'star': 4}
{'descr': '舒适安静，非常理想', 'star': 5}
{'descr': '房间太太太太小', 'star': 4}
{'descr': '位置算清净 周围饭店不少 隔音很差 床垫软硬适中 比较舒服 旁边那家广东菜吃着还行啊 连吃了好几顿 不错', 'star': 4}
{'descr': '窗户外面有点吵 洗澡水温度有点难调 其他都很好', 'star': 5}
{'descr': '房间出乎意料的好，位置比较隐蔽也很安静', 'star': 5}
{'descr': '莫名其妙的退款了，哎白高兴了，也不知道优惠券怎么办', 'star': 5}
{'descr': '还行，挺满意的，希望越做越好。', 'star': 5}
{'descr': '酒店位置还可以，距离地铁站1km，骑个摩拜就行。房间比较新，是有窗的间', 'star': 5}
{'descr': '好好好好好好好好好好好！', 'star': 5}
{'descr': '错了', 'star': 5}
{'descr': '安全 安静 前台还免费给升了房', 'star': 4}
{'descr': '周围环境不错，到处都是学校，旁边就是九中。就是传说中的空压机声音太吵了。。。。幸亏只住了一夜，不过也对得住这个价钱。', 'star': 5}
{'descr': '周五有噪声，设施很好。', 'star': 4}
{'descr': '房间不错，很好的酒店。', 'star': 5}
{'descr': '在巷子里面，还算凑合', 'star': 4}
{'descr': '挺方便的', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '连锁酒店，设施较简陋，尤其房间马桶还是坏的', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '还不错，门口烧烤烤鱼不错', 'star': 5}
{'descr': '交通方便，推荐入住\n交通方便，推荐入住\n交通方便，推荐入住\n交通方便，推荐入住\n交通方便，推荐入住\n', 'star': 5}
{'descr': '继承了汉庭一贯的品质，干净舒适。房间略微显得小。', 'star': 5}
{'descr': '很干净，网络有点慢，非常不错的酒店，我喜欢。下次又机会再去', 'star': 5}
{'descr': '卫生很好，交通也很方便，有个不足,就是卫生间的门是玻璃门，而且通过走廊的镜子反射到里面，隐私性不好，希望能改进', 'star': 5}
{'descr': ' 床很舒服，服务标准话，一如既往的卫生方便。', 'star': 3}
{'descr': '这是我第一次入住汉庭酒店，感觉很不错。酒店虽不大，但服务很到位，以后外出我还会考虑住汉庭。', 'star': 5}
{'descr': '环境还不错，就是小了点。走到地铁站或者公交站差不多10分钟左右', 'star': 5}
{'descr': '交通比较方便，周围吃也比较方便，下次还会入住。', 'star': 5}
{'descr': ' 全国连锁， 值得信赖， 还是很不错的, 以前在上海也住过的， 干净卫生啦。', 'star': 5}
{'descr': '订房取消抱歉', 'star': 3}
