{'短评内容': '位置挺好找的，楼下不远有小吃，很方便，门口停车场不是太大，房间稍微有点小，服务态度还不错，卫生条件也还可以。', '短评打分': 4}
{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '非常好的连锁酒店', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '11HKalll', '短评打分': 5}
{'短评内容': '朋友介绍来的，每次出差就住着吧', '短评打分': 5}
{'短评内容': '房间环境还好，挨着小吃一条街，吃饭方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '入住607', '短评打分': 4}
{'短评内容': '进屋有味，凑合住吧', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '电视频道不多而且有一半的看不了，网络也不稳定', '短评打分': 4}
{'短评内容': '电视网络都不好', '短评打分': 4}
{'短评内容': '不知道是艺龙还是宾馆的原因 两间房分别是两夜 一间一夜返现27 两间应该108 可是却只返了88', '短评打分': 3}
{'短评内容': '电视频道模糊不清', '短评打分': 4}
{'短评内容': '价位相对较高，卫生条件挺好，位置不算太市中心，不过整体来说还是挺不错', '短评打分': 1}
{'短评内容': '酒店不错，都是中规中矩的，价格比较合适，下次来还会选择的。', '短评打分': 5}
{'短评内容': '早点很差，最糟糕的是没有洗澡水。入住2天，第一天是温水，不能洗澡，第二天竟然没水啦！不建议入住！！！不过服务态度很好~', '短评打分': 1}
{'短评内容': '刚刚装修过环境还行，我入住的6层热水小的几乎没有，无法洗澡，周边吃饭的地方不多，旁边有一个小上海餐厅，我们去要了一个水煮肉片，全是青菜不说，具然里面还有青菜有小虫虫，真让人恶心！！！！！', '短评打分': 1}
{'短评内容': '酒店大厅一般，房间不错，满意！', '短评打分': 3}
{'短评内容': '不错，服务好！干净！如有机会，下次还会去住。', '短评打分': 5}
{'短评内容': '很不错，卫生很好。', '短评打分': 3}
{'短评内容': '606', '短评打分': 3}
{'短评内容': '价格比较高，房间设施陈旧，看着也不是很干净的样子，洗澡时水很小，热水要开淋雨后很长时间才有，唯一一点就是网速倒还行，下回不会来住了', '短评打分': 1}
{'短评内容': '酒店的环境还不错，早餐差些，地理位置不错！', '短评打分': 5}
{'短评内容': '较舒适', '短评打分': 3}
{'短评内容': '环境一般设施一般晚上还能听见老鼠在卫生间吊顶里跑步。价,格偏高,和酒店配套设施不匹配', '短评打分': 3}
{'短评内容': ' 总体来说还是不错的，推荐！', '短评打分': 3}
{'短评内容': '房间不错，感觉满意，！', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 3}
{'短评内容': '刚入住，房间很大也干净，前台的服务员很热情！\n不知道明天的早餐怎么样？', '短评打分': 5}
{'短评内容': '不错，挺好的，设施都比较新，服务也很好，比较满意', '短评打分': 5}
{'短评内容': '房间还算干净卫生，除此之外别无其他，前台野蛮，服务员进房间不敲门，简直吓死人了！！', '短评打分': 3}
{'短评内容': '还算满意吧！就是158一晚我觉得因该有电脑吧！可惜让我失望了，其它感觉还算满意！', '短评打分': 5}
{'短评内容': '很不错，方便  ', '短评打分': 3}
{'短评内容': '很好 很干净 环境也很好 下次还来住 哈哈哈', '短评打分': 5}
{'短评内容': '在开封西南角，有车比较方便，靠近几条大路，交通还可以，去包公祠等比较近，但如不是自驾不推荐，房间设施还可以，早餐一般，就是前台办手续太慢。若再去开封还会考虑这里。', '短评打分': 5}
