{'短评内容': '酒店交通便利，如果前台能微笑服务会更好', '短评打分': 4}
{'短评内容': '哈可以', '短评打分': 4}
{'短评内容': '到合肥出差，一直住的同心苑宾馆，比较安静', '短评打分': 5}
{'短评内容': '到合肥出差，一直住的同心苑宾馆，比较安静', '短评打分': 5}
{'短评内容': '总体还行吧，装修有点老了', '短评打分': 5}
{'短评内容': '房屋安静，性价比高', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '到合肥出差一直住同心苑，这里环境比较安静', '短评打分': 5}
{'短评内容': '到合肥出差一直住在同心苑酒店，里面比较安静', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '酒店卫生好态度好，管理规范，用餐方便。', '短评打分': 5}
{'短评内容': '信价比很高，准备预订套房但是没房了，虽然价格不高入住环境很很。', '短评打分': 3}
{'短评内容': '理由和前面完全一样，不在详细复述。当时订单手机上面收到的短息还在，确实是商务标间共6间190*6=1140元，如需要可以附图', '短评打分': 3}
{'短评内容': '很差劲，简述情况：原本订的是带电脑的商务标间，第二天需要工作汇报，晚上需要使用电脑修改PPT，并且23号也预先到宾馆了解过跟我确认没有问题。但是等我晚上10点实际入住给我的房间却没有电脑，并且收费也是商务间收费，等到房间了没有电脑，协商了好久都没有解决，态度好差，完全解决不了问题，开始说办理入住的是个临时工，新人不知道，后面又说我住的那几间普通标间是刚刚装修的，就是商务标间的价，相当不爽，也找不到', '短评打分': 3}
{'短评内容': '这个酒店价格挺公道的，环境也挺安静。网速也挺快的就是没有官方的无线网络挺不方便的', '短评打分': 3}
{'短评内容': '不错，挺安静的。就是服务员太少，服务人员工作不是很积极，工作消极拖沓，客人的要求不能及时回应。本人吃饭时门卡忘记带留在了房间里，电话告知总台通知服务员开门，但等了有足足半个小时才有人来开门，让本人一家三口在外面等候的大汗淋漓，真是佩服该酒店服务人员的效率。该酒店的管理人员的管理实在让我佩服至极。', '短评打分': 5}
{'短评内容': '还不错，价格比较好，酒店外观一般，但是房价设施不错', '短评打分': 5}
{'短评内容': '很干净卫生，早餐也不错，性价比较高。', '短评打分': 3}
{'短评内容': '连个房卡都不提供，今生第一次碰到！那玩意儿能够值几个钱，酒店不考虑旅客的感受呀，运气差！', '短评打分': 1}
{'短评内容': '环境还行，就是在装修有点吵，床很干净没有异味。早餐一般。', '短评打分': 5}
{'短评内容': '已入住普通标准间,非常好,谢谢!', '短评打分': 3}
{'短评内容': '给朋友定的，朋友打电话来说比较好，卫生条件好，下次去还住那', '短评打分': 5}
{'短评内容': '不错，挺干净的；性价比高，推荐。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间还可以  挺干净  通风差点霉味', '短评打分': 3}
{'短评内容': '不错的，很安静，也很低调，很安静，学院内的宾馆，安全措施也很好。门脸很不起眼，但里面还是很不错的，可以用一个词形容：内有乾坤。', '短评打分': 5}
