{'短评内容': '好！舒服', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '价格合理，舒适温馨', '短评打分': 5}
{'短评内容': '一般，比较小', '短评打分': 5}
{'短评内容': 'Motel 改的，还可以，黔灵公园比较近，服务员挺好的', '短评打分': 5}
{'短评内容': '房间有点小、其它还可以', '短评打分': 3}
{'短评内容': '一间不错的酒店，就是服务态度一般了点', '短评打分': 3}
{'短评内容': '就在路边上很方便，比较安静，卫生还好，大床房间太小了，不过一个人住也还行，设施有些旧了，价格偏贵了', '短评打分': 5}
{'短评内容': '还好。', '短评打分': 4}
{'短评内容': '挺好的挺好的挺好的挺好的', '短评打分': 3}
{'短评内容': '这个是这几天住的最好的酒店！又在市中心，价格又实惠必须得赞一赞！！', '短评打分': 5}
{'短评内容': '很不错的酒店，韩干净，值得入住，下次继续住这里', '短评打分': 5}
{'短评内容': '周边小吃餐馆多，房间设施齐备，热水水量大，最大优点是酒店虽然小，却是独立的一栋6层楼，安全不嘈杂。缺点是房间小，6楼的房间进门居然还有两步楼梯，房间门小一号，隔音似乎不太好。', '短评打分': 5}
{'短评内容': '酒店对面是十七中，斜对面是贵州广播电视大学，酒店门口那条街堪称小吃街，学生很多，味道也很不错。门口就有公交车，打车也很方便，从酒店打车到火车站还不到20块钱，交通便利。工作人员服务态度很好，会很耐心的教你哪条路该怎么走。更让我感动的是，酒店一般是12点退房，但是我们是去考试的，12点考试才结束，酒店负责人说，只要是考生入住，就将退房时间推后一个小时。所以我们考完试，吃点东西之后还来得及回去收拾东西', '短评打分': 5}
{'短评内容': '还可以，蛮喜欢的，不过就是毯子不是很喜欢，以为上面有好多污渍，因为毯子不能经常洗嘛，建议店家以后别选用这种毯子，其他的都还好，以后还来！', '短评打分': 5}
