{'短评内容': '酒店一般，给携程服务点赞', '短评打分': 1}
{'短评内容': '貌似最近电梯总出故障，早上朋友被关电梯了，房间没有单独空调，北面房间很冷。', '短评打分': 3}
{'短评内容': '很安静舒适', '短评打分': 5}
{'短评内容': '酒店有停车场', '短评打分': 2}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '赞赞赞赞赞赞我赞赞赞赞赞赞赞??', '短评打分': 5}
{'短评内容': '房间环境特别好，在望花算是比较不错的了，很满意', '短评打分': 5}
{'短评内容': '还可以，就是空调坏了这个天气让人老火', '短评打分': 5}
{'短评内容': '不错，感觉很好，很开心', '短评打分': 5}
{'短评内容': '环境太差了', '短评打分': 1}
{'短评内容': '环境不错，性价比高，服务态度不错，整体的酒店布局都很好，价格还不贵，也比较干净卫生，酒店风格格调也不错', '短评打分': 5}
{'短评内容': '陈旧、较安靜，倒对得起价格，附近算是不错的地点儿！离学校较近，婚礼多，一天得接5、6家吧。前台服務OK', '短评打分': 3}
{'短评内容': '不太好', '短评打分': 2}
{'短评内容': '住的豪华套件  房间有怪味，设施非常陈旧，就像7/80年代的酒店，床也比较硬。电视噪音大。对不起豪华套件这个价位。', '短评打分': 1}
{'短评内容': '酒店老点儿，住着还不错', '短评打分': 3}
{'短评内容': '酒店无线网络不好', '短评打分': 3}
{'短评内容': '房间装修太老了，现在婚宴比较多！很吵', '短评打分': 4}
{'短评内容': '房间装修太老了，现在婚宴比较多！很吵', '短评打分': 4}
