{'descr': '面料展的时候定的', 'star': 5}
{'descr': '酒店住的很舒服，干净舒适非常满意', 'star': 5}
{'descr': '一般，一般都啊，太简陋了……………………………………………………………………………………………………', 'star': 4}
{'descr': '交通方便，适合商务出差', 'star': 5}
{'descr': '还可以！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 4}
{'descr': '赶上举办活动了，酒店内有些混乱。早餐时一名在餐厅内化妆的女服务员跟它说某个饮料桶没没有饮料了，对方头也不回就附和了一句【对，没有了】。前台的接待挺热情的，有问题了也会认真对待。房间整体比较干净，设施还算全。', 'star': 4}
{'descr': '好好好好好好好好好好好好', 'star': 5}
{'descr': '不错，很到位，赞一个?', 'star': 5}
{'descr': '垃圾垃圾垃圾垃圾', 'star': 0}
{'descr': '帮人家订                                               ', 'star': 3}
{'descr': '帮人家订                                               ', 'star': 3}
{'descr': '环境优美、房间设施好、服务态度好、早餐丰盛、交通便利。适合商务出差。值得向亲朋好友推荐，下次出差还到这里。', 'star': 5}
{'descr': '环境优美、房间设施好、交通方便、早餐丰盛、适合出差居住，值得向亲朋好友推荐。下次出差到上海，还住这里。', 'star': 5}
{'descr': '房间简单干净，对面有大商场，去虹桥机场很方便。对得起这个价格！', 'star': 4}
{'descr': '真的一般般', 'star': 3}
{'descr': '宾馆位置很不错，周围设施齐全，挺干净的', 'star': 5}
{'descr': '有师傅在机场停车场接，距离不算远，对面有很多吃饭的地方，还有一个电影院，总体感觉还可以，虽然在旁边的马路车子比较多，但是房间隔音效果还是可以的。', 'star': 4}
{'descr': '特价房除了有些空调噪音外 都很好 这个价位这个地段很不错了', 'star': 4}
{'descr': '特价房除了有些空调噪音外 都很好 这个价位这个地段很不错了', 'star': 4}
{'descr': '跟国展中心还算蛮近的，周边吃的东西很多，和高架也很近。不错，下次还会订那里的。', 'star': 5}
{'descr': '挺好的，商业区。吃的东西多', 'star': 4}
{'descr': '环境还不错的，还可以吧！', 'star': 5}
{'descr': '酒店挺干净', 'star': 4}
{'descr': '很满意的，环境不错', 'star': 5}
{'descr': '经常住汉庭的！环境还不错的！！', 'star': 5}
{'descr': '还不错，离虹桥很近，打车18块钱，对面有超市，买东西方便', 'star': 5}
{'descr': '房间蛮大的，各方面都不错，就是小卡片太多了', 'star': 5}
{'descr': '这家酒店隔音超级差！不但走廊里说话听得清清楚楚，就连隔壁房间的“一举一动”都听得真真切切！窗户那叫一个小——就是个透气的小东东！开窗看到的也是墙！我住的是两百多的单间，很差！也不知道那些给100分的朋友是怎么想的！', 'star': 1}
{'descr': '距离上海虹桥站确实很近，打的6-8分钟，一般在17、18元左右。适合转火车或者飞机。\n如果是旅游出行，就不太好了，每次出去都要打车，很消耗银子啊。\n由于靠近机场，有时候会听到飞机升降的噪音，如果不是很敏感，倒是还好。\n住了一晚，没听到，还不错。\n环境还可以，很干净。热水器很给力！就是洗发露不怎么地！\n头一天，前台小姐态度不错，给人印象还可以。不过，第二天，前台是个小伙子，态度很是一般（一般：指的就', 'star': 5}
{'descr': '环境很新,不错', 'star': 3}
{'descr': '酒店离机场不远，环境也不错，周围购物吃饭也很方便下次还来。', 'star': 5}
{'descr': '房间还可以，只是坐地铁不怎么方便', 'star': 3}
{'descr': '很舒服，尤其是床！周边买东西很方便，距离七宝古街很近', 'star': 5}
{'descr': '位置不错，邻居很吵店员会协助沟通，非常感谢~~~~~~~~~~~', 'star': 5}
{'descr': '干净，看起来挺新的房间，，同价位里比较好的一个酒店。', 'star': 5}
{'descr': '内部很清爽，对面不远就是商场和超市，可以临时买点东西，去机场比较方便，因此噪音还是有的，总体性价比很高', 'star': 5}
{'descr': '酒店位置闹中取静，房间很大，很干净，整体感觉都是非常好的哦', 'star': 5}
{'descr': '\n第一次住这么便宜的酒店,比较经济适\n 惠，赞一个 ******@_@', 'star': 3}
{'descr': '回家路过，环境还不错的说。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
