{'descr': '很满意', 'star': 5}
{'descr': '', 'star': 1}
{'descr': '适合一家三口住宿', 'star': 5}
{'descr': '都还过的去', 'star': 3}
{'descr': '实在不怎么样，房间不是太干净，电视遥控器居然没电池，门锁也是有问题，拉链都是坏的，实在是非常非常的不咋滴', 'star': 2}
{'descr': '这个酒店带早餐比周围快捷酒店没早饭强点', 'star': 4}
{'descr': '一直住这里的。', 'star': 4}
{'descr': '一直住这里的。', 'star': 4}
{'descr': '一直住这里的', 'star': 4}
{'descr': '住了很多次了。', 'star': 4}
{'descr': '在附近办事，各项条件都不错，给个好评！', 'star': 5}
{'descr': '价格还算实惠，环境比较一般，设施比较陈旧，临时住还可以接受', 'star': 4}
{'descr': '还不错吧，属于中等偏下，尤其早餐很不好！', 'star': 5}
{'descr': '房间倒还安静，但毛巾是带漏洞的。', 'star': 4}
{'descr': '不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '距离南京南站很近。酒店设施一般，但是有早餐，比较方便，相对性价比也是挺高的。带着孩子，前台给调整了安静、适合一家三口居住的房间，很感谢！', 'star': 5}
{'descr': '帮朋友定的   说还不错  靠近雨花台风景区。  ', 'star': 5}
{'descr': '因为离办事的地方近,才订了这家酒店,结果大失所望.感觉完全是一个家庭旅馆,从硬件上说,浴室门与房间墙壁上都是受潮后斑驳的翘皮与脱落,大床房非常小,小书桌的抽屉里满是蟑螂屎,上网方式还需要帐户密码,枕头有跟没有一个样.再说说浴室内的摆设,放一次性洗漱用品的小架子都发了霉斑,淋浴与坐便器之间没有任何隔离,洗个澡坐便器全湿了.整体感觉非常陈旧,破败.就算是出差短住,也不推荐.唯一觉得有点暖意的是保安,很', 'star': 1}
{'descr': '其他的都挺好的，只是我在靠马路这边感觉比较吵', 'star': 3}
{'descr': '服务不错，就是早餐简单点', 'star': 3}
{'descr': '环境很好，很不错。房间装修的也让人感觉比较舒服。', 'star': 5}
{'descr': '因在南站附近，没有其他选择，酒店内部设施比较陈旧。', 'star': 1}
{'descr': '性价比不是很高，性价比不是很高，性价比不是很高，', 'star': 1}
{'descr': '房间一般，略显陈旧，但在市中心，各方面都比较方便，适合短时间入住。 \n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '房间一般，略显陈旧，适合短时间入住.房间一般，略显陈旧，各方面都比较方便，适合短时间入住。 \n\n--------------------------------------------------------------------------------\n\n', 'star': 5}
{'descr': '条件总体不错，缺点是离机场太近，房间隔音效果不好。', 'star': 5}
{'descr': '离南京南站很近，打车起步价9元，酒店房间看起来比较旧，空气不太好，价格还算便宜。', 'star': 3}
{'descr': '为了歇脚临时住的，太破旧了，不满意。离南站较近', 'star': 1}
{'descr': '酒店位置很好，房间干净卫生，就是设备有点陈旧，对比起价格而言，性价比还是很高的。 \n', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '我觉得很不错！首先感觉很干净，给人感觉也蛮温馨的，下次去还要住这个酒店！感觉很好！\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '环境还不错，而且也可认免费上网！', 'star': 3}
{'descr': '位置不错，离高铁站很近，步行有20分钟，三星级稍显简陋一些，没有单独的餐厅，房间有些旧，商务间有电脑可以上网', 'star': 5}
{'descr': '该洒店地理位置不错，出行、乘车都很方便。房间布置的很温馨，睡觉时感觉很安静，服务态度挺好', 'star': 5}
