{'短评内容': '地很偏，很难找！', '短评打分': 3}
{'短评内容': '第一次遇到这样的事，因为身份证丢失没去住，预付费房费一分钱没有退，我还买了有保险。各种理由拒绝退钱，还说什么酒店都提前备好房，没去住就空了一天，我就不信了，我订了两间房空了两天，酒店房连一个电话都没有，就叫备好客房等着？？算了，四百块钱我只打你买个教训，携程网我以后是不会再用的……', '短评打分': 1}
{'短评内容': '第一次遇到这样的事，因为身份证丢失没去住，预付费房费一分钱没有退，我还买了有保险。各种理由拒绝退钱，还说什么酒店都提前备好房，没去住就空了一天，我就不信了，我订了两间房空了两天，酒店房连一个电话都没有，就叫备好客房等着？？算了，四百块钱我只打你买个教训，携程网我以后是不会再用的……', '短评打分': 1}
{'短评内容': '第一天到重庆 先去吃了不远处的晓宇火锅吃完大概十一点 打车过去旅舍 在附近转半天没有找到 之后给店里打电话 给司机师傅接的也没有说明白到底在哪 想请店家人出来接也没有回应 便下了车提着箱子走小路走过去 晚上的湖广会馆附近漆黑幽静 还真是有点害怕 转了半天遇到一个周边的老大爷帮忙指路提着箱子走了很长的台阶才到 然而！ 重点！也是我最不能接受的是！ 店家说店里最近要重建！ 所以说我只能住一晚 为什么就', '短评打分': 3}
{'短评内容': '一棟有着三百年历史的小院环境清幽主人热情地理位置超棒出门就是湖广会馆出门过隧道就是洪崖洞解放碑离小什字轻轨也很近', '短评打分': 5}
{'短评内容': '古色古香 主要是爬楼梯太久了 交通不方便', '短评打分': 4}
{'短评内容': '酒店坐落在重庆湖广会馆文物保护区、东水门大桥旁；交通十分便捷（轻轨、公交车、出租车自由选择十分方便），离小十字、洪崖洞、长江索道、解放碑等非常近；酒店内住设施不太理想，洗澡设备水温不稳定、空调噪音很明显（喜欢安静的朋友慎重，因为现在周边都在施工建设中，对酒店来讲暂时是硬伤）。房间内整体都是不错的古色古香，就是地板的毛绒毯子年久太多污渍。老板与店员都很用心！希望以后继续保持优质的服务的同时，条件允许', '短评打分': 4}
{'短评内容': '很漂亮的老房子 区位很好 地铁站 解放碑 洪崖洞都可以步行到 周围在拆迁 周边卫生堪忧', '短评打分': 5}
{'短评内容': '300年的历史 很别致的院落', '短评打分': 3}
{'短评内容': '交通还是比较便利的，一片废墟一种的别样风景，很有味道，但是重庆本身比较潮湿，酒店就更加潮湿了，房间比想象中小，但是看在分外有味道环境也算是不错，晚上看了洪崖洞夜景溜达回酒店，离长江索道也很近，想要住的有特色点，还是可以推荐的，晚上有狠毒的蚊子，要提前预防啊', '短评打分': 3}
{'短评内容': '地段很好，就在市中心，去哪都方便，房间开窗就是江景，还能看到长江索道，房间古香古色很有味道，老公是个文物狂，住进去以后特欢喜，下次去还会继续在这边住', '短评打分': 3}
{'短评内容': '隔音较差，周围环境也差，当进入酒店却有种别样感觉，体验一下不错', '短评打分': 5}
{'短评内容': '酒店整体装修很雅致，位置很好，离湖广会馆、长江索道超近，步行五分钟。到解放碑、洪崖洞十五分钟，地铁站不到十分钟。', '短评打分': 5}
{'短评内容': '太棒了，装修精致、优雅。大床超赞。窗户正对着小学门口最多有3米，早晨七点多孩子上学把我吵醒了，但是很生活，很真实。', '短评打分': 5}
{'短评内容': '风格还不错，网上挺快，前台小哥态度也很好。但是房间时木质结构，隔音效果不好，房间超小，热水器是坏的，不能洗热水澡，因为回酒店时已经晚，又怕吵到别的主客只能忍了。为了有个窗户能够通风，特意挑了的二楼，但是酒店整体属于下沉一层的结构，二楼在外面看其实就是一楼，周围有小学和幼儿园，很早就被小朋友在窗根下的“讨论”叫醒。', '短评打分': 1}
{'短评内容': '＋已入住，地方比较难找。客栈环境尚可！', '短评打分': 3}
{'短评内容': '非常不错的酒店.住起很舒服,酒店装修很有特色', '短评打分': 5}
{'短评内容': '很有特色的酒店，就是太隐蔽了。在下洪学巷口被震撼了一把。', '短评打分': 5}
{'短评内容': '特色鲜明，喜欢的会特别喜欢，入住时正好下雨，听了一夜雨声，有雨打芭蕉的韵味', '短评打分': 5}
{'短评内容': '酒店环境很好，但是不够舒适，想体验特殊环境的可以考虑，前提是不在乎钱', '短评打分': 5}
{'短评内容': '环境不错，干净、有特色。房间小了点。', '短评打分': 3}
{'短评内容': '古色古香还不错', '短评打分': 3}
{'短评内容': '喜欢古韵的调调,很惬意.周围环境不咋地,隔音不太好,其他都很好.', '短评打分': 5}
{'短评内容': '先说缺点：1隔音效果差；2房间小；3 管理经验不足：如无便拖，空调插头需要宾客自己去接；\n\n优点:还是花心思的一家小店，猫咪很可爱，店员很亲切。总的来说还是很可心的。 ', '短评打分': 5}
{'短评内容': '一晚上的呼噜声，住在2楼听得到，后来换到一楼还是，不知道隔音室有多差。隔音那么差就算了 还有老鼠。有老鼠就算了，态度还那么差。虽然风格很别致，不适合正常人居住。', '短评打分': 1}
{'短评内容': '酒店很有特色，前台接待人员的态度也很好，住起来挺舒服的~~虽然位置有一点点不好找，但是很有重庆的味道，喜欢！', '短评打分': 5}
{'短评内容': '比较有意思的一个酒店~但是对卫生及服务要求很高的人可能就不适合~拖鞋是多次使用的~入住期间不会更换毛巾及床上用品~没有矿泉水以及茶包等~', '短评打分': 5}
{'短评内容': '客栈处在一条小巷之中 小巷是比较古老了一点  但是店内装修很有特色\n服务温馨 可以租自行车 笔记本等 比较方便 可以在店内咨询参加旅行团\n洗澡水有点难调 住店前最好在楼下先咨询好 距离解放碑还是比较近\n早上有点吵 因为挨着有个小学 有个中学 \n总体来说 还是不错的 ', '短评打分': 5}
{'短评内容': '很有特色哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈\n', '短评打分': 5}
{'短评内容': '很不错，很有古韵，适合才子佳人。床铺舒适，就是洗手间去水不够快。', '短评打分': 5}
{'短评内容': '服务好，干净。因是老宅改造的客栈，格局较小。', '短评打分': 5}
{'短评内容': '虽然有特色，但个人感觉比较压抑，不推荐。', '短评打分': 1}
{'短评内容': '位置不太好找~ 但是进入客栈后非常惊喜，很漂亮，明清的布置非常漂亮····陈设都比较新，很干净。。隔音确实不太好~  一大早就有人在一直在吵闹·', '短评打分': 5}
{'短评内容': '酒店不太好找，房间属当地老宅子，个人入住后感觉比较压抑。', '短评打分': 1}
{'短评内容': '风格很古典...........................................', '短评打分': 5}
{'短评内容': '酒店非常有特点，人员服务非常热情，给人回家的感觉，是驴友的好选择，而且从服务员那里可以得到很多旅游的建议。', '短评打分': 5}
{'短评内容': '酒店确实如其他游客所说的，很有特色。下次有机会还回去的。', '短评打分': 5}
{'短评内容': '环境不错，很有古代客房的味道。前台也很热情，有事情都乐于帮忙。缺点是隔音效果差，隔壁开门的声音都听的很清楚；另外就是热水器水压不稳，水流忽大忽小的。但是客栈位置不错，离湖广会馆很近，离长江边也就几步路。', '短评打分': 5}
{'短评内容': '房子本身有特色,原味十足,有老重庆风味.适合&quot;慢&quot;游重庆的游人.', '短评打分': 5}
