{'短评内容': '非常好，去了还会住这里。必须好评！', '短评打分': 5}
{'短评内容': '客房阿姨的服务素质有待提高，敲了一下门没开就直接刷房卡闯进来了，不知道是不是酒店规定的', '短评打分': 5}
{'短评内容': '第一晚入住后说没有早餐，网站沟通后才给，不爽', '短评打分': 4}
{'短评内容': '酒店位置比较安静，对面是学校，整体感觉还行', '短评打分': 4}
{'短评内容': '安静舒适', '短评打分': 5}
{'短评内容': '前台服务很热情，办理入住退房很迅速，点赞。酒店设施也不错，房间大', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间一般，这个价格差不多', '短评打分': 5}
{'短评内容': '房间一般，这个价格差不多', '短评打分': 5}
{'短评内容': '还可以，一般吧', '短评打分': 4}
{'短评内容': '地理位置一般 服务态度很好', '短评打分': 4}
{'短评内容': '过得去！', '短评打分': 4}
{'短评内容': '整体环境还好，比较安静，周边娱乐较少。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '设施0k，位置稍微偏了一点，服务态度有待改进', '短评打分': 5}
