{'短评内容': '千万不要去，房间很脏，床被都不换，差得不得了', '短评打分': 1}
{'短评内容': '差差差，态度差，房间设施差，什么都差', '短评打分': 1}
{'短评内容': '酒店没有电梯，但值得评论的是携程的客服服务很好，来到酒店没有房间，免费升级套房，酒店的人服务也很好，但房间就不怎么样，相对来说这附近几乎所有酒店都不咋滴', '短评打分': 4}
{'短评内容': '真的不想讲粗话 房间脏乱差 牙刷完全不敢用 而且跟我们订的房型不一样 开发票开了20分钟金额还是错的 我们凌晨入住 没提示退房 晚了8分钟下来要跟我收房费 是不是撒？', '短评打分': 1}
{'短评内容': '非常不错，交通便利，到海边步行即可，很好，下次还有机会还有机会，可以再来啊，毕竟是玩耍，方便是首要条件', '短评打分': 4}
{'短评内容': '住过性价比最差的酒店，没有之一。第一，在携程网预付房费后，店家表示没有和携程网合作，还需要现金支付房费。预付费用需要自己跟携程方面电话咨询。第二，房间有一股酸酸的味道，明显是地毯发出来。第三，房间有点窄。第四，房间没有插座，只有厕所，和插电视机的插座，就是说手机要充电，要不在厕所，要不不要看电视。第五，唯一一个窗户不能全打开，也不能锁！财物尽量不要放窗边，因为这家酒店的楼层只有二三楼。第六，床非常', '短评打分': 2}
{'短评内容': '环境不错，就是酒店大堂太过喧闹', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 4}
{'短评内容': '太垃圾啦，房间又差又脏又小，一点都不像人住的，一进房间厕所又有屎还没冲，想起来都恶心，脏的要命，真不知道其他人怎么给好评的，真心不推荐，水龙头冲出来的水都是生锈黄色的，洗手盆又有头发，一定给个差评差评差评，叫他们换房又唧唧歪歪，本来地下穿了个洞又说是我们弄的，又被她们坑了五十，真的是黑店来，大家不要受骗。', '短评打分': 3}
{'短评内容': '还可以，双人房比较好，单人房太小了', '短评打分': 3}
{'短评内容': '太差了', '短评打分': 1}
{'短评内容': '入住后客房及总台电话无人接听,卫生条件一般', '短评打分': 3}
