{'descr': '方便快捷还好吧！', 'star': 5}
{'descr': '没有向外的窗，看评论还可以，i有点上当的感觉，要不是周边酒店订完了，不能订这样的，价不优，质更不优，还是应订连锁店好。', 'star': 3}
{'descr': '很好，很方便，第一次订，确实很给力', 'star': 5}
{'descr': '环境一般，就是距离北邮近，办事方便。在周围办事确实是一个好的选择，不然就价位比这个高很多啊，周边吃饭还是很方便的', 'star': 2}
{'descr': '在北邮南门，设施一般，特别是卫生间，没有干湿分离，就住一晚上，可能价格摆在那里', 'star': 4}
{'descr': '酒店位置在市中心，交通方便，条件设施有点简陋，不过在这寸土寸金的大北京能有这个价格还算满意啦！', 'star': 4}
{'descr': '酒店规模小，设施老化，出行也不太方便，实际情况与网上情况有差别。', 'star': 1}
{'descr': '酒店规模小，设施老化，出行也不太方便，实际情况与网上情况有差别。', 'star': 1}
{'descr': '房间还行，热水很好很舒服。服务员态度及其不好，走廊有异味', 'star': 3}
{'descr': '房间还行，热水很好很舒服。服务员态度及其不好，走廊有异味', 'star': 3}
{'descr': '地方还不错，离学校近，还是很方便的，下次来还回来', 'star': 5}
{'descr': '地方还不错，离学校近，还是很方便的，下次来还回来', 'star': 5}
