{'短评内容': '房间很好，设备很好', '短评打分': 5}
{'短评内容': '早餐品种不多，但味道不错。', '短评打分': 5}
{'短评内容': '设计感很好，巧妙利用周边环境优势，值得体验！泳池有待提升', '短评打分': 5}
{'短评内容': '酒店周边环境好，房间宽敞明亮，服务好', '短评打分': 5}
{'短评内容': '酒店附近都是茶园，酒店里面有设计感，很时尚，步行到灵隐寺方便，一路景色和空气特别好。入住了2晚，房间没得挑剔，大堂的服务人员也特别热情。当天过生日，酒店赠送了一个精美的生日蛋糕，比朋友送的蛋糕还好吃！太惊喜了！下次还会入住。', '短评打分': 5}
{'短评内容': '酒店还蛮不错的，下次还会考虑入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常精致的酒店，升级为套房了，房间很大，窗户看出去是一片茶园！很香！洗浴用品是欧舒丹，浴缸也很棒。值得一提的是早餐，是点餐的，而且果汁真的是鲜榨的，非常好。', '短评打分': 5}
{'短评内容': '中餐厅服务差强人意 其他还可以吧', '短评打分': 4}
{'短评内容': '環境挺好 我比較喜歡這種幽靜的環境 服務也挺熱情 以後還會入住的', '短评打分': 5}
{'短评内容': '设施一般', '短评打分': 4}
{'短评内容': '环境 餐厅 房间都很棒！！因为中秋节去贵了不是一点半点', '短评打分': 5}
{'短评内容': '很不错，值得一住', '短评打分': 5}
{'短评内容': '隐世之所，藏匿于灵隐间，很喜欢的那种感觉；早餐是半自助式的，很多好吃的中式点心，非常棒；各种细节做的都比较到位，值得推荐', '短评打分': 5}
{'短评内容': '服务人员素质比较专业。可以借自行车到周边游荡。房间设施都还好，主要是早餐很好吃，可以现点一些粤式点心，味道都还可以的。甜点的水平不低的。', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '体验非常不一班啦...朋友也都很喜欢呢', '短评打分': 5}
