{'短评内容': '服务很不错，早餐也好', '短评打分': 5}
{'短评内容': '服务很不错，早餐也很好', '短评打分': 5}
{'短评内容': '非常满意的旅行，非常舒适的民宿', '短评打分': 5}
{'短评内容': '总体来说还是不错的，朋友很喜欢。', '短评打分': 5}
{'短评内容': '早餐很丰富，味道也不错。环境很小资，家庭房间也很大，一个大床一个小床。早上空气非常好，还能看到对面山上的雾气', '短评打分': 5}
{'短评内容': '第一次使用，京东旅游主要还是其他第三方数据，但总体服务还是不错的。', '短评打分': 5}
{'短评内容': '因为酒店打电话告知没有房了，所以退订了，过程还算顺利吧', '短评打分': 5}
{'短评内容': '环境很好，离景区也特别近，服务周到', '短评打分': 5}
{'短评内容': '房间很干净，前台服务也很好，还有小礼物赠送', '短评打分': 5}
{'短评内容': '房间虽然不大但也挺干净，前台小妹笑脸盈盈的很漂亮，服务周到，公共区域书卷茶香，是我喜欢的味道，价格也可爱。', '短评打分': 5}
{'短评内容': '房间不潮 干净，前台MM服务亲切', '短评打分': 5}
{'短评内容': '客栈位置很好，步行即可到西湖。服务也很棒，工作人员都很热情。把宝宝水杯落在酒店，还没走到机场就收到前台电话，并主动提出帮忙寄回。我女儿特别喜欢他家的狗', '短评打分': 5}
{'短评内容': '很棒的地方', '短评打分': 5}
{'短评内容': '很棒！', '短评打分': 5}
{'短评内容': '每次出差杭州都来她家！已经是杭州温暖的家了。环境丽江风格。木屋我最喜欢！够暖呵', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '刚进门就有种古色古香的感觉 喜欢 他家的萌犬也是好玩！', '短评打分': 5}
{'短评内容': '服务员并非大家说的那么好～不过有个带眼镜的漂亮姑娘～真心很棒，发自内心的欢迎', '短评打分': 3}
{'短评内容': '感觉非常好的一家店，服务贴心，前台的小美女十分养眼，客栈装修很好，有情调。', '短评打分': 5}
{'短评内容': '房间很干净，去外面住最怕那种花花绿绿的床单被套，干不干净都不知道，这家酒店用的白床单，一眼看过去就很干净清爽，问了打扫的阿姨说是每天送到外面洗的，200多的房间有个小露台，晚上坐着喝茶很惬意。酒店还有个茶室，里面很多各种各样的书，可以借回房间看，很喜欢，下次如果有时间会特地抽一天出来在客栈里面看看书喝喝茶，享受享受杭州的悠闲时光??。', '短评打分': 5}
