{'短评内容': '酒店太舊，服務不好。', '短评打分': 2}
{'短评内容': '酒店太舊，服務不好。', '短评打分': 2}
{'短评内容': '服务热情，出行也比较方便', '短评打分': 4}
{'短评内容': '服务热情，出门200米就有公交站，出行还算方便', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间很好 房间很大 性价比很高', '短评打分': 5}
{'短评内容': '酒店交通不是很方便，卫生还可以，附近吃饭不方便，没有什么饭馆。酒店设施有些老旧，房间灯光有些暗，有个冰箱还挺有用。', '短评打分': 4}
{'短评内容': '洁净舒适，全眀大窗，经济实惠。', '短评打分': 5}
{'短评内容': '安静舒适，全眀大窗，洁净卫生。', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '环境整洁干净，下次来还选这家，经济又实惠。', '短评打分': 3}
{'短评内容': '这价位还是可以的。就是有点旧了。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店虽然坐落在市区，但是很安静，普通的价格，星级的享受，真的很值！下次还会入住的。', '短评打分': 5}
{'短评内容': '设施陈旧，，，，早餐厅小。碰到有旅行团，，菜都供应不上~', '短评打分': 1}
{'短评内容': '设施感觉比较陈旧了。。。。早餐厅很小，，，', '短评打分': 1}
{'短评内容': '安全、干净、舒适、服务热情、到位，是个不错的选择！', '短评打分': 5}
{'短评内容': '还好。性价比高', '短评打分': 3}
{'短评内容': '环境还是不错的。在闹市区，却也安静。对得起这价格', '短评打分': 3}
{'短评内容': '不错   房间设施都比较新   还提供直接饮用水   价格也挺不错\n', '短评打分': 5}
{'短评内容': '很好，很干净，隔音效果也很好，性价比很高。', '短评打分': 5}
{'短评内容': '方便、舒适、服务好，值得推荐。\n最大特点交通便利，距展馆近，却很安静', '短评打分': 5}
{'短评内容': '我定了18间房，环境不错，安静舒适，服务不错，下次还来。', '短评打分': 5}
{'短评内容': '环境好，服务好，价格实惠，我有7个订单，以后还来，强烈推荐。', '短评打分': 5}
{'短评内容': '环境比较安静，服务也很好。就是没早餐。整体还好。', '短评打分': 5}
{'短评内容': '酒店的位置靠近菜场。居住安静，交通方便。性价比还是慢高的！', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 3}
{'短评内容': '房间不错！性价比高！如果能提供早餐就更好了。', '短评打分': 3}
{'短评内容': '很喜欢这家酒店，卫生很不错，性价比很高，房间蛮大的，设施也都很新很齐全，下次去还会入住的！', '短评打分': 5}
{'短评内容': '不错吧，就是没有早餐比较麻烦，卫生间是小了些', '短评打分': 5}
{'短评内容': '很好，满意', '短评打分': 3}
{'短评内容': '酒店比较干净。服务一般。如果有早餐提供就更好了', '短评打分': 5}
{'短评内容': '酒店环境还不错，比较卫生，干净，而且非常的安静，下次在继续预订。', '短评打分': 5}
{'短评内容': '挺实惠的，就是晚上居然没有空调。服务态度挺好的，什么都还行，床挺大的。这个挺舒服的。但是希望以后空调没有的话，提供个电风扇也行啊。还有房间居然有股烟味，这个是难以忍受的，不过最重要的是瓯江酒店的服务态度挺好的，这个补了很多不足，下次入住还是会选择的，因为不管是价格还是服务都可以的。', '短评打分': 5}
{'短评内容': '设施还比较完全这个价格的也就这么差不多了', '短评打分': 5}
{'短评内容': '不满意', '短评打分': 3}
{'短评内容': ' 本人入住5天，本来对这里的各方面基本满意，可就在退房结账时，出现了状况：茶杯盖子掉了一点点瓷，（也有可能是服务员打扫房间不小心，或者原本就是硬坏的）硬说是我们搞坏的，要求赔款25元，让我对此非常不满。提醒大家在入住时及时检查房间内的物品，是否有问题，以免不测。其他方面还可以！', '短评打分': 5}
{'短评内容': '没有想象中好，同等价位旁边可以入住全新装修的', '短评打分': 5}
{'短评内容': '总体来说比较安静，但是服务之类的，有待改善', '短评打分': 5}
{'短评内容': '前面是幼儿园后面是菜场，可能早上的时候会稍微吵一点点。房间没有想象中的大，但是很干净。总体还不错，在小区里的，交通也方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '实惠,还可以吧,义乌这种酒店很多的,帮朋友订的,他说还可以', '短评打分': 5}
{'短评内容': '还可以,跟想像中的差不多,这个价格只能是这样啦', '短评打分': 5}
{'短评内容': '酒店装修卫生还可以，位置倒是有点不是太好找，硬件软件都还可以，价格基本还是能接受。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '还好吧，房间有点小 ，最大的缺点就是开房间门出入是要是走廊有人路过，可以直接看到房间内电脑位置和整张床的位置。其他都不错，设施也不错装潢也不错。', '短评打分': 5}
{'短评内容': '该酒店所处位置安静，靠近福田，单间较大，性价比高', '短评打分': 5}
{'短评内容': '到义乌定点的酒店了。同价位性价比极高了。', '短评打分': 5}
{'短评内容': '酒店比较新，干净。服务还不错。如果有早餐提供就更好了', '短评打分': 5}
{'短评内容': '瓯江酒店性价比很高，值得推荐', '短评打分': 3}
{'短评内容': '房间很不错，就是电脑差劲了点，建议换换电脑配置了。。不知道死机了几次。。唉', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '环境和服务都挺好的，性价比还可以。\n我最不能忍受的是隔音效果太差。隔壁房间3个人一直大声说笑，害得我凌晨1点了还睡不着，捂着被好不容易睡着了结果早上6点还是被他们说话的声音给吵醒了。\n', '短评打分': 1}
{'短评内容': '很好!', '短评打分': 5}
{'短评内容': '每次来义乌都是住这里，没话说性价比很高。最主要。安静的很啊。', '短评打分': 5}
{'短评内容': '感觉酒店条件还不错,刚进房间感觉比较温馨，灯光还有地毯我比较喜欢，洗手间看起来很干净整洁.卫生条件非常好.服务都很到位,随叫随到.', '短评打分': 5}
{'短评内容': '酒店位置是我们自已选择的,距离我们办公地点很近,酒店在小区里面,很安静睡觉很踏实.出行也很方便.', '短评打分': 5}
{'短评内容': '酒店对面是个幼儿园每天早上都有广播会比较吵一点，但就一个时间段也让我想起了小时候.呵呵.位置很好出门打车坐车都很方便,我感觉挺不错的', '短评打分': 5}
{'短评内容': '酒店的地理位置还可以，出门打车很方便，房间布置的很温馨，灯光是橘色的，地面上还铺了地毯，住起来感觉蛮舒适的', '短评打分': 5}
{'短评内容': '酒店的服务还可以，服务员办事效率高，随叫随到，而且洗手间很干净整洁，住宿环境还是很不错的', '短评打分': 5}
