{'短评内容': '已经是周围最好的宾馆了，69元一晚不能有多余的要求，合格了', '短评打分': 4}
{'短评内容': '吵的要命，4点钟就吵醒了，墙壁是木的，跟我订的房型也不一样', '短评打分': 1}
{'短评内容': '价位合适，就是洗澡的水好小，不热。不知道是不是房间的问题。还算物有所值吧！', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好，服务也很好，价格合适，适合出差。', '短评打分': 3}
{'短评内容': '还行吧，就是隔音不怎么好', '短评打分': 3}
{'短评内容': '干净明亮舒服无线网络', '短评打分': 3}
{'短评内容': '还可以，房间也不小，电脑电视都有', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '破酒店，没诚信。发票开错了不承认也不承担责任。', '短评打分': 1}
{'短评内容': '很垃圾，服务很差，让她开发票她还不开。房间很脏，再也不去了！！！', '短评打分': 3}
{'短评内容': '价格可以，但是不如如家等连锁酒店干净.', '短评打分': 3}
{'短评内容': '房间很烂，下水道味很浓', '短评打分': 3}
{'短评内容': '地理位置好，明亮。房间设施简陋，没有早餐', '短评打分': 5}
