{'短评内容': '服务很好，早餐非常丰富，总体四点五星', '短评打分': 5}
{'短评内容': '很好，住的非常开心，', '短评打分': 5}
{'短评内容': '当地最高水准酒店，没太多选择。酒店一般，国内三星标准的感觉。设施有些老，早餐较多，味道也还行，就是卖相差了点。', '短评打分': 3}
{'短评内容': '酒店非常好 很满意', '短评打分': 5}
{'短评内容': '酒店的服务态度一直是一如既往的好，早餐也很不错！每次到莱州都会选择的酒店，希望下次到莱州还会有一个愉快的旅途。', '短评打分': 5}
{'短评内容': '位置方便', '短评打分': 5}
{'短评内容': '超级垃圾，存在乱收费的情况', '短评打分': 1}
{'短评内容': '房间挺大，就是毛巾有点旧', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '干净，位置好！', '短评打分': 5}
{'短评内容': '酒店的硬件设施堪称一流，在23楼的旋转餐厅早餐也不错，但是人员的服务态度实在太差了，一副爱理不理的样子，而且从前台到餐厅的服务生都一副腔调！真不知道摆张臭脸给谁看！', '短评打分': 1}
{'短评内容': '酒店硬件不错，个人感觉也就三星吧，服务一般情况', '短评打分': 3}
{'短评内容': '酒店设施不错，价格实惠。早餐太丰盛', '短评打分': 3}
{'短评内容': '去年入住过，印象很好。这次一进房间味道很大，很多细节跟以前完全不同，例卫生间洗手池水龙头一打开，水会溅的身上到处都是~~~等等，', '短评打分': 3}
{'短评内容': '设施服务还不错，交通业还方便。\n在5楼餐厅吃了一次饭，服务不敢恭维，速度太慢，最后一道菜还搞错了。', '短评打分': 5}
{'短评内容': '当地最好的酒店了，没别的可说的。早餐非常丰富。', '短评打分': 5}
{'短评内容': '好好！', '短评打分': 3}
{'短评内容': '酒店干净，离市中心较近，价格不贵，很好，很好。', '短评打分': 5}
{'短评内容': '酒店不错，很干净，而且很新，感觉很气派，硬件应该属四星级酒店的样子，价格也合适，总体不错', '短评打分': 5}
{'短评内容': '说是莱州最好的酒店，入住后感觉还不错，价格不高还送两份早餐。', '短评打分': 3}
{'短评内容': '\n环境不错', '短评打分': 3}
{'短评内容': '物有所值。因为开业时间不长，所以所有硬件都很新，房间没有异味，单人豪华间很宽敞舒适。每天还给两个芦柑，免费赠送速溶咖啡。只是卫生间有点小。地理位置也很好，在闹市中心，很方便。早餐也不错。', '短评打分': 5}
{'短评内容': '服务很好服务很好服务很好服务很好服务很好服务很好服务很好服务很好服务很好服务很好', '短评打分': 5}
{'短评内容': '酒店设施很不错也很干净  早餐的种类也很多是个值得推荐的好酒店！就是早上退房出来后发现停在酒店前面停车厂的车被人蹭了因为有事着急走就算了！建议加强停车场的管理', '短评打分': 5}
