{'短评内容': 'inn破佛会玩肉在番禺去去', '短评打分': 5}
{'短评内容': '好，很好！非常好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好，还会再来', '短评打分': 5}
{'短评内容': '环境很好，还会再来', '短评打分': 5}
{'短评内容': '去无锡经常住的一个酒店，环境非常好，周围也很安静', '短评打分': 5}
{'短评内容': '灵动的空间可以让您在繁忙旅途中尊享一处悠闲静息之所。', '短评打分': 5}
{'短评内容': '第一次入住艾迪花园酒店 大堂很气派 酒店环境不错 早餐很丰盛！服务也很热情！缺点 ：酒店位置在开发区有点偏 交通不是很方便 距离万达广场有两三公里 还好离酒店两三百米处有个罗森超市 酒店房间有点小 卫生间没有排风扇 马桶感觉质量不太好 浴巾和毛巾可能是长时间没有更换新的了 有的都破了 希望酒店能改进硬件设施！', '短评打分': 5}
{'短评内容': '酒店环境很好，很不错，推荐', '短评打分': 5}
{'短评内容': '不错，很好，每次都住', '短评打分': 5}
{'短评内容': '不错。。。。', '短评打分': 5}
{'短评内容': '东西很不错，感觉很满意。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '酒店房间设施齐全，住着很舒适。酒店人员服务很周到热情，给人宾至如归的感觉。晚餐自助餐品种齐全。周边环境安静，下次去无锡还会再次选择。', '短评打分': 5}
{'短评内容': '酒店位置比较偏，但是周边绿化环境很好，非常安静。房间设施齐全，就是地毯感觉不是那么新。早餐比较丰盛，周边的便利店都不是通宵营业的，需要提前储备些干粮。', '短评打分': 5}
{'短评内容': '离地铁站比较近，步行5分钟，酒店设施不错，泳池赶紧，服务到位，五星品质', '短评打分': 5}
{'短评内容': '服务周到，环境优美', '短评打分': 5}
{'短评内容': '非常值得推荐的酒店，每次去无锡基本上都是住这个酒店，如果自己开车更方便，酒店环境非常安静，睡眠会很好！', '短评打分': 5}
{'短评内容': '酒店总体不错，干净。 但酒店仅适合有车接送的，位置较偏。', '短评打分': 5}
{'短评内容': '还好！一如继往的好！环境还好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '地处偏远，交通不便，酒店硬件还可以，早餐单调了些。', '短评打分': 5}
{'短评内容': '酒店很干净，服务很好，就是地方偏远了些，周围吃的，玩得比较少', '短评打分': 5}
{'短评内容': '环境优雅，已是住了好几次。继续选择。继续选择。', '短评打分': 5}
{'短评内容': '环境不错的酒店，各项设施也不错。房间很大，床也挺舒服。\n值得一提的是，网速非常快。', '短评打分': 5}
{'短评内容': '帮朋友订的酒店，朋友说很好，很舒适，下次还会入住', '短评打分': 5}
{'短评内容': '很好的酒店。都不错。就是要开车才方便。早餐还可。', '短评打分': 5}
{'短评内容': '很幽静的酒店，花园式的感觉很好。\n美中不足的是酒店是回廊式设计，电梯在中间，因此有些房间就离电梯有点远了。', '短评打分': 5}
{'短评内容': '不错，环境安静，就是地点稍微偏僻了一点，早餐还可以', '短评打分': 5}
{'短评内容': '艾迪花园酒店设施及环境不错，下次还会入住该酒店。', '短评打分': 3}
{'短评内容': '优点：1、房间相当宽敞，设施新，40寸液晶电视，典雅  2、餐饮不错，菜式新，味道好，价位适中  3、所有服务人员训练有素，彬彬有礼 4、内部环境相当典雅现代洁净  缺点：1、不好找，“智慧路”是新路名，GPS也找不到  2、餐厅上菜太快，像食堂 总体来说，相当不错，绝对适合家庭度假', '短评打分': 5}
{'短评内容': '酒店蛮新的, 服务也不错, 就是早餐种类稍微少了一些', '短评打分': 5}
{'短评内容': ' 这个酒店是帮朋友定的~他觉得挺好的~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间设施不错', '短评打分': 3}
{'短评内容': '房间很好，周围设施不全，有车比较方便，建议入住，打车不方便，', '短评打分': 5}
{'短评内容': '酒店环境很好很安静舒适服务也很好早餐很丰富酒店总体评价满意', '短评打分': 3}
{'短评内容': '很好的酒店，下次可能还会入住。干净，方便。', '短评打分': 5}
{'短评内容': ' 酒店的设施不错,周围比较慌凉,只能在酒店里面找吃的。', '短评打分': 3}
{'短评内容': '挺新的 不过实在太偏 晚餐不错 还有一个人的套餐 吃的还行', '短评打分': 5}
{'短评内容': '环境还算不错，价格也算合适，房间内的隔音稍微差了点，隔壁开关柜子的声音比较扰人，总体而言还算不错', '短评打分': 5}
