{'短评内容': '整体很不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '太热了，空调不行，在四楼，已是顶层，夏天不适合住。有观景阳台，但西晒，无法在阳台喝茶聊天，作用不大。服务差，叫换个茶具，都没有跟踪送到，直到离店也没送。设施陈旧，很多地脚线泡水了，也没换，水压不稳定，洗澡水忽冷忽热，一会儿大水，一会儿小水。总之，综合看，价格不值。体验感太差，有种被忽悠感觉。', '短评打分': 1}
{'短评内容': '整体感觉不错，离境区很近。', '短评打分': 4}
{'短评内容': '环境清静～正对罗浮山～空气清新～酒店高大上～老板爱茶之人～到处都可以叹茶～性价比高～下次还会选择入住～', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '已经第三次入住该店，因交通方便，高速公路出收费站直行就到，周边环境可以，游玩吃饭都较方便', '短评打分': 4}
{'短评内容': '最好就是可以停车房间有联系通过距离回来很近早上还可以吧下次还会入住我也那酒店总体来说还是不错的还可以吧', '短评打分': 5}
{'短评内容': '非常棒的酒店！豪华房非常大，很安静，房间的茶具也很享受，环境也很好，住着很舒适！前台服务态度也很好！', '短评打分': 5}
{'短评内容': '环境佳，服务很好，离罗浮山很近，步行过去即可。', '短评打分': 5}
{'短评内容': '房间很大，环境不错。空气不错', '短评打分': 5}
{'短评内容': '不错哟，还有麻将，家人玩的很开心', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '不错的酒店，房间宽敞，设施还可以，离罗浮山很近，走路几分钟就到了，周边的餐饮也不少，靠近公路的一侧房间有些吵。', '短评打分': 4}
{'短评内容': '设施陈旧了，墙壁和地板有破的，如果翻新翻新，还是很不错的，很宽敞。', '短评打分': 4}
