{'短评内容': '真的不如从前了', '短评打分': 3}
{'短评内容': '房间卫生挺差的，床单被罩都没换，柜子后面的垃圾都没打扫，服务员就跟自己是老大是的，老牛X了，态度太差。', '短评打分': 2}
{'短评内容': '环境很好，离灯搭也很近，地走十分钟到！酒店后面就是海鲜批发市场！', '短评打分': 5}
{'短评内容': '酒店环境还行吧，三星到四星之间的水平吧。', '短评打分': 4}
{'短评内容': '图一：生锈的莲蓬头 图二：请问沐浴露呢？ 图三：根本没法用的热水壶 图四：洗手间碎掉的地板 图五：枕套上的血迹 图六：发黄的枕套 图七：根本打不出去的电话。第一次用携程订酒店，就出现了这种情况。简介里面写好的是三星级商务酒店，房价是顶破天的288一晚，可是请问这样的卫生条件，如何对得起这个价钱？说的是商务双人间，可卫生条件如此脏乱差，房间隔音更是差到极点。像前台反应，服务员根本置之不理，态度非常蛮', '短评打分': 1}
{'短评内容': '挺好，还不错，就是没有窗户。但是性价比还是挺高的', '短评打分': 3}
{'短评内容': '早餐太简单', '短评打分': 4}
{'短评内容': '不太好', '短评打分': 1}
{'短评内容': '百度订房价格只有180，携程要345，真黑。去住了才知道，就一个最差的快捷酒店，确实只值100多', '短评打分': 3}
{'短评内容': '价格稍贵，房间有点小。不及一墙之隔的银座佳驿。', '短评打分': 5}
{'短评内容': '离海滩很近，酒店环境优雅，房间干净明亮，宽带也很给力！酒店边上就是闻名遐迩的日照海鲜市场。。。晚上酒店旁还有海鲜夜排档可供住客消遣消遣。。。不错的哦。。。', '短评打分': 5}
{'短评内容': '房间挺大，大床房有沙发，浴巾有点小，总体而言不错，窗户挺大。', '短评打分': 5}
{'短评内容': '跟图片还是有差距的，有点小失望。 地板特滑洗完澡都不大敢走路，不过有窗户还不错了。灯光不是很好 有点暗。', '短评打分': 1}
{'短评内容': '除了离石臼海鲜市场近，真的一无是处！房间小，隔音极差，没有浴巾，还没到退房时间就急着把房卡锁了，下次再也不会去这里住了！', '短评打分': 1}
{'短评内容': '性价比不高 以后再也不会入住了！ 很不值啊！！！！！！！！！！', '短评打分': 1}
{'短评内容': '房间非常小 卫生间很臭 开个房要等半天 总之性价比很不高 不值得入住！', '短评打分': 1}
{'短评内容': '房间很干净，地理位置也不错，就是没有浴巾，还有房间插座太少，重点不是很方便，望今后改进', '短评打分': 5}
{'短评内容': '条件一般的，卫生还比较干净服务还好了，房间小了点', '短评打分': 1}
{'短评内容': '不错，挺方便，挺干净，就是房间有点小。服务也很好', '短评打分': 5}
{'短评内容': '房间太小，并不带窗的房间也不标注，卫生很一般，差评。', '短评打分': 1}
