{'短评内容': '方便的是离地铁很近', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很不错比较满意', '短评打分': 4}
{'短评内容': '比较安逸，洗澡水压大，舒服。很好，很强大。', '短评打分': 5}
{'短评内容': '这次出差第一次来到成都，下了火车就从网上找到了这家7天酒店，位置很好找，门口就有车站，交通也方便。然后到了前台让我办了个会员，这样算下来入住价格很实惠，服务员帮我推了行李找到我的房间，服务很到位，打开房门惊喜的发现好大的床，卫生间也很干净，电视，空调，Wi-Fi很快，24小时热水，这些应有竟有，突然发现性价比好高啊！一觉睡天亮，隔音也很好！这环境真心不错！必须好评！！！服务很到位，沐浴很舒服，10', '短评打分': 5}
{'短评内容': '这个性价比对这个地段来说很高', '短评打分': 5}
{'短评内容': '还可以吧 不错      价格还算合理', '短评打分': 5}
{'短评内容': '蛮好 住起来吧不错', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地方是可以的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '优惠券代码是咋个看哦。', '短评打分': 5}
{'短评内容': '还', '短评打分': 4}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '离火车站较近', '短评打分': 5}
{'短评内容': '还不错，第二次住他家了', '短评打分': 5}
{'短评内容': '还不错，第二次住他家了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常好，服务也很棒，态度也很好，离火车站很近，建议入住', '短评打分': 5}
{'短评内容': '价钱还不错，卫生一般', '短评打分': 4}
