{'短评内容': '龙婆本成功佛招财保平安 助事业', '短评打分': 5}
{'短评内容': '钱钱钱钱钱', '短评打分': 5}
{'短评内容': '安静的地方', '短评打分': 5}
{'短评内容': '可以啊不错', '短评打分': 5}
{'短评内容': '酒店临主干道太近，非常吵闹，窗户隔音完全不行。', '短评打分': 1}
{'短评内容': '推荐，很棒，干净卫生，有室内泳池。距离1.5公里的南昌路有很多好吃的，下次还会来！', '短评打分': 5}
{'短评内容': '可以可以，有保险柜，东西齐全', '短评打分': 5}
{'短评内容': '小号数字那边有个KTV，晚上很吵，只能协商换到数字大的另一边，酒店中餐厅食物很难吃，西餐厅还行。', '短评打分': 4}
{'短评内容': 'Very nice', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '房间在105国道旁，吵！', '短评打分': 4}
{'短评内容': '房间在105国道旁边，吵。', '短评打分': 4}
{'短评内容': '干净卫生服务好，不过这次9点左右下去吃早餐觉得比以前差了，有不少品种只剩下一点点也没补充。', '短评打分': 5}
{'短评内容': 'good  ', '短评打分': 5}
{'短评内容': '还可以的。。。。。。。。。。。。。。。。。。。。。。。，，，，，，，，，，，，，     ，，，  ，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '硬件不错，较新较干净。服务中规中矩，有待加强。早餐体验为本次入住最差项目。', '短评打分': 5}
{'短评内容': '酒店不错，设施都比较新， 房间很舒适，下次还会再来的！', '短评打分': 5}
{'短评内容': '酒店挺好的，就是泳池不怎末样，不太干净，更衣室的水温在特烫特凉之间转换，根本无法正常洗浴，只好回房间洗了', '短评打分': 5}
{'短评内容': '酒店不错，设施都比较新，因为是到美的商务出差，所以位置反而成了优势，客人尤其喜欢房间里的浴缸', '短评打分': 5}
{'短评内容': '酒店装修不错,房间不错,早餐一般,下次还住这里', '短评打分': 5}
{'短评内容': '总体还不错，服务人员很有礼貌......... \n', '短评打分': 5}
{'短评内容': '性价比超低，酒店周围没有什么配套，出行不便。房间和卫浴设施还不错，服务也对得起华美达的名头，但总的来说这个房价贵了', '短评打分': 5}
{'短评内容': '酒店大堂很明亮，开门的印度门童很有趣~ 房间住得很舒适，下次还会再来的！', '短评打分': 5}
{'短评内容': '服务很到位，环境和卫生很不错！送的早餐很丰富！记得生日那次入住还给我送了生日蛋糕，很惊喜！', '短评打分': 5}
{'短评内容': '总体还算不错，前台及服务员很有礼貌.........', '短评打分': 5}
{'短评内容': '房间很好很干净，床很舒服，东西也好吃', '短评打分': 3}
{'短评内容': '酒店入住很舒适，下次还会再来的！', '短评打分': 3}
{'短评内容': '酒店不愧为五星级！~ 酒店位置就在105国道上，很容易招到，停车位也很方便。门口的印度门童很有趣~ 酒店很有创意。 房间很舒适，下次还会过来住的！', '短评打分': 5}
{'短评内容': '酒店不愧为五星级啊！！非常舒适！地理位置也非常方便！酒店很漂亮，服务人员也很热情。总之这次入住非常愉快，下次还会过来的！', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度可以，离我出差办事的地方很近，下次去我还住这里，会向朋友推荐。如果酒店在价格能低一点那就更好了。', '短评打分': 5}
{'短评内容': '很好，不错。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': ' 不错，小而干净，逛街方便', '短评打分': 3}
{'短评内容': '周边太荒凉，只能一切在酒店里面消费，太贵了', '短评打分': 5}
{'短评内容': '在佛山，这个酒店还可以。就是远了点，周围不是很繁华。酒店很干净，很宽敞。', '短评打分': 5}
{'短评内容': '很喜欢那香水味', '短评打分': 3}
{'短评内容': '\n作为顺德的五星级酒店，还不错。 主要是新，大堂够大，价格还算OK。 门口迎宾的印度人比较好玩，有新意。', '短评打分': 5}
{'短评内容': '酒店环境好，以后还会再来，以后还会再来，以后还会再来', '短评打分': 5}
{'短评内容': '不错。房间干净，早餐也可以。房间阳台不能随意出去，要找人开锁才能出去。\n', '短评打分': 5}
{'短评内容': '设施很好，但购物吃饭很不方便，打车要走到外面而且不是很好打。', '短评打分': 5}
{'短评内容': '性价比一流！新，干净，舒适，一流的服务水平，相对可口的早餐。', '短评打分': 5}
{'短评内容': '交通方便,位置好,但房间大.早餐不错!性价比OK的.', '短评打分': 5}
{'短评内容': '酒店设施服务都不错，但是交通不太方便，需要用出租车的人需要提前预订。', '短评打分': 5}
{'短评内容': '里面卫生不错，比较新，很舒适.服务态度也不错。', '短评打分': 5}
{'短评内容': '位置不错出门就有个公交车站挺方便的，设施还是很新，价格稍微还是偏贵些。', '短评打分': 5}
{'短评内容': '价格有些偏高，周边交通还可以，就是不太好打车，房间卫生条件很好干净整洁，住宿环境不错，服务也很到位', '短评打分': 3}
{'短评内容': '房间还好，酒店出行也很方便，态度还好，性价比也差不多挺好的。', '短评打分': 5}
{'短评内容': '华美达酒店相当不错，性价比较高，地理位置也较好，员工服务不错，', '短评打分': 5}
{'短评内容': '双床房房间太小，二张床间距实在小，五星级有点勉强。', '短评打分': 5}
{'短评内容': '酒店的环境好，服务好，但是空调和通风一般，希望改进。建议送一些新鲜水果或者记念品之类的。', '短评打分': 5}
{'短评内容': '十分好', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '酒店的布置格局很不错，环境特别的好，酒店在国道边上，但晚上睡觉时一点也不觉得吵，隔音效果特别的好，住宿环境很不错', '短评打分': 5}
{'短评内容': '睡觉的枕头很不错，蛮舒服的，房间很干净，装修的整洁，豪华，总的来说还是不错的', '短评打分': 5}
{'短评内容': '酒店地理位置很不错，附近交通蛮方便的，路况比较发达，酒店内部有个ktv，算个休闲娱乐场所吧，没事可以去消费消费', '短评打分': 5}
{'短评内容': '酒店的服务员引导和解说的非常好，服务没的说，房间装修的比较淡雅，住着很舒服，酒店有自己的停车场，自驾过来也很方便', '短评打分': 5}
{'短评内容': '酒店餐饮很不错，种类特别的多，卖相好呵呵，味道特别的可口，当天真的是很开胃，住宿条件也都不错', '短评打分': 5}
{'短评内容': '佛山顺德金茂华美达广场酒店，酒店OK，推荐这家酒店，性价比一流。', '短评打分': 5}
{'短评内容': '还不错。只是周围还在搞建设......................', '短评打分': 5}
{'短评内容': '佛山顺德金茂华美达广场酒店，酒店OK，推荐这家酒店，性价比一流。', '短评打分': 5}
