{'短评内容': '听老公说还可以的', '短评打分': 5}
{'短评内容': '晚餐一般，住宿房间比较经济实惠，房间直接放置了一张大床，一张小床。酒店设施一般，内有麻将机，位置很好，出行比较方便，出门就是白河沿，环境优美，内有停车场。', '短评打分': 5}
{'短评内容': '人员服务水平有待提高', '短评打分': 2}
{'短评内容': '住着舒服，离河边很近，散步风景好！', '短评打分': 5}
{'短评内容': '房间有异味，卫生打扫不及时', '短评打分': 3}
{'短评内容': '很普通的一个商务酒店', '短评打分': 3}
{'短评内容': '还可以，继续努力', '短评打分': 4}
{'短评内容': '综合硬件不错！设施齐全供您…服务态度可嘉………………………………………………………………………………', '短评打分': 5}
{'短评内容': '交通便利，停车方便，有河可以散步。', '短评打分': 5}
{'短评内容': '交通便利，停车方便，有河可以散步。', '短评打分': 5}
{'短评内容': '价格实惠，性价比高，交通便利～毗邻河道，环境优美～周边餐馆很多，吃东西非常方便～房间很大很舒适，房间也有暖气～美中不足的是看起来房间毛巾浴巾比较陈旧，感觉不放心！卫生间还有台阶需要小心一点～床不大～不过也值了', '短评打分': 5}
{'短评内容': '房间不怎么样', '短评打分': 4}
{'短评内容': '多次替朋友订这家酒店了，环境好。值得推荐', '短评打分': 3}
{'短评内容': '设施齐全，环境优美，濒临白河，服务热情，便捷舒适', '短评打分': 5}
{'短评内容': '商务标准间房内空间宽敞，设施齐全，热水二十四小时供应，宾馆人员服务热情。', '短评打分': 3}
