{'descr': '总体还是不错的，公司安排培训住的', 'star': 5}
{'descr': '环境可以，也很干净，就是在马路边太吵了', 'star': 5}
{'descr': '位置还不错', 'star': 4}
{'descr': '一直很喜欢如家的环境', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '还不错吧', 'star': 5}
{'descr': '设施有点老旧，关键在于房间窗户关不上了，我跟我同事差点感冒', 'star': 4}
{'descr': '房间有烟味', 'star': 5}
{'descr': '位置靠路边，但是有双层窗户还好，第一间好臭的烟味，很友好的帮助换了房间，遥控器几乎不顶用，电视的按钮也坏了一半，果然有网上说的小卡片塞进门缝里，总的来说还行吧', 'star': 4}
{'descr': '服务好，环境好', 'star': 5}
{'descr': '整体感觉不错。', 'star': 4}
{'descr': '临街但不太吵。\r\n当时是去差去盐城中学，离这家如家很近，所以很方便。', 'star': 5}
{'descr': '很不错的环境，隔音也还好，床也够大。。。。', 'star': 5}
{'descr': '不错，地利位置非常方便，房间很温馨，下次还来住。', 'star': 5}
{'descr': '酒店是新开的，但是离市区不是很近，设施还可以，也比较干净，不是如家的直营店，据当地人说是私人老板的，不过，总体还不错', 'star': 5}
{'descr': '还可以，交通方便，早上太吵了，靠近大马路', 'star': 5}
{'descr': '每次来都住这里~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '环境还可以  就是相比盐城其他的快捷酒店有点贵了', 'star': 5}
{'descr': '非常好，每次都住这里，强力推荐~~~~~~~``', 'star': 5}
{'descr': '房间比较人性化,特别是空调的排水等管子,外面包装了绿色,很舒心', 'star': 3}
{'descr': '很好 很温馨，选了间靠近小区的房，很安静。靠近盐城中学，出了brt的口就到了。', 'star': 5}
{'descr': '环境蛮好的!服务也不错!就是特价房什么时候都定不到!', 'star': 5}
{'descr': ' 服务 态度不错，房间也还行', 'star': 3}
{'descr': '不错和原来一样好，环境很干净，以后还会继续选择如家，', 'star': 5}
{'descr': '在如家住了很多次了。旁边有brt 交通还算方便 前台服务也不错', 'star': 5}
{'descr': '贵了点，服务态度好。里面的卡片比较多。离我出差地非常近，方便。', 'star': 5}
{'descr': '位置和设施都还不错，缺点是沿马路比较吵～～', 'star': 5}
{'descr': '干净，舒服，交通方便，服务态度也不错，挺好的', 'star': 5}
{'descr': '服务较好，比较干净，交通方便，住的比较好', 'star': 5}
{'descr': '交通非常的方便，住的也比较舒服，还比较干净', 'star': 5}
{'descr': '交通非常的方便，住的也比较舒服，也比较干净', 'star': 5}
{'descr': '交通非常的方便，住的也比较舒服，也很干净', 'star': 5}
{'descr': '价格便宜，位子优越，淘金麦当劳，吃个快餐比较方便，但隔音效果确实一般，不安静。', 'star': 5}
{'descr': '觉得不错 环境都很不错 很好值得推荐!!!!\n', 'star': 5}
{'descr': '交通很方便，服务态度很好，也很干净,住的蛮舒服的', 'star': 5}
{'descr': '环境之类都很不错,前台服务人员少了点', 'star': 3}
{'descr': '内部环境可以，内部设备不全，无茶水', 'star': 3}
{'descr': '感觉很不错，卫生都很好。 值得推荐！！！', 'star': 5}
{'descr': '觉得不错 环境都很不错 很好值得推荐!!!!', 'star': 5}
{'descr': '可以了，如果我下回来盐城，我还是会在住这家的阿', 'star': 5}
{'descr': ' 大堂装修很有特色，晚上稍微有点吵 服务不错 早餐也很丰富', 'star': 3}
{'descr': '交通方便环境不错，电脑速度快，很满意。。。。', 'star': 5}
{'descr': '建议 预定时候户型不一样的话不能定一起。。。 这个要改善。 宾馆都满意。', 'star': 5}
{'descr': '酒店新开很干净离市中心不远。。。。。。。。', 'star': 5}
{'descr': '交通比较方便，设置也比较新，服务的态度很好，住的很舒服', 'star': 5}
{'descr': '环境不错很满意！', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '本人住了两个晚上，感觉房间隔音效果不怎么样，而且楼道晚上很吵有时候,可能是有人喝醉酒了吧！别的OK。', 'star': 5}
{'descr': '服务太度不好', 'star': 3}
{'descr': '都挺好的，美中不足就是缺少吹风机~....................................................', 'star': 5}
{'descr': '和往常一样，干净。工作人员很热情…下次再来。', 'star': 3}
{'descr': '酒店环境很不错，就是在小细节上更注意（早参的品种，浴室里的小用品等）', 'star': 5}
{'descr': '其他都挺不错，就是地板可能以前湿水了，有点起，住了两个房间都是这个情况', 'star': 5}
{'descr': '挺不错的，干净，交通便捷。环境也可以的。价格也合理', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '环境还不错，服务也很到位，但隔音效果不是很好！', 'star': 5}
{'descr': '酒店比较新，装修属于简洁型，适合出差人士的落脚处，地处苏州盐城市新的政府大楼的附近，各方面配套还挺齐全~', 'star': 5}
{'descr': '这家很不错的！推荐哦！！就是卫生间隔壁的水声容易听见！！', 'star': 5}
{'descr': '住宿还不错，早餐需要加强，食物没了也没有及时添加。', 'star': 3}
{'descr': '这家店离盐城高等职教园区很近,乘BRT很方便,就是周围去市区的一般公交车的站点不好找,酒店里面还是不错的,下次来可以继续考虑入住', 'star': 5}
{'descr': '酒店比想象中的舒服，也挺安静的，就是有点偏:)，下次还会关顾的', 'star': 3}
{'descr': '环境干净卫生有别于其它同类型快捷酒店，很温馨，就是卫生纸质量有些差', 'star': 3}
{'descr': '交通不便，附近没有吃饭的地方，过马路向左大概600米，才有一家麦当劳.', 'star': 1}
{'descr': '还不错的啊   感觉还好    的确有家的感觉', 'star': 5}
{'descr': '不错的如家的感觉的啊    还是比较好的！1', 'star': 5}
{'descr': '新酒店，不错\n新酒店，不错\n新酒店，不错', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '   入住', 'star': 3}
{'descr': '6服务挺好的', 'star': 3}
{'descr': '酒店很新，装修很好，很有欧式田园风格，在近年住的如家中算是环境很好的，就是临街的房间有汽车的声音', 'star': 5}
{'descr': '酒店不错   交通便捷   安静舒适   值得推荐', 'star': 5}
{'descr': ' 被子太厚 临街较吵 ', 'star': 3}
