{'短评内容': '。', '短评打分': 5}
{'短评内容': '没有早餐，房间很小，比较干净，价格很便宜，位置很好找。卫生间很有意思，独立的一体式卫生间，洗澡还是没问题的。当时是夏天，空调特别冷。', '短评打分': 5}
{'短评内容': '位置还好，房间隔音很差，卫生一般', '短评打分': 3}
{'短评内容': '房间小，房间都是隔出来的，地板损坏也没有人整修。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '各方面都不错，性价比高', '短评打分': 5}
{'短评内容': '还不错，老朋友了，出差一直住这里，性价比很高', '短评打分': 5}
{'短评内容': '前台服务态度很好，设施还可以，性价比很高', '短评打分': 5}
{'短评内容': '还不错，已经来几次了，下次还考虑', '短评打分': 5}
{'短评内容': '还不错，已经来几次了，下次还考虑', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还、可以', '短评打分': 4}
{'短评内容': '服务很好，卫生也不错，给店家点赞！', '短评打分': 4}
{'短评内容': '一般，房间隔音效果太差', '短评打分': 3}
{'短评内容': '整体不错，卫生好，床单什么的都很干净。但是房间隔音很差，也比较小，周边环境挺好，有商场饭店等，但也因此酒店楼层人员复杂，安全性应该受到影响！', '短评打分': 4}
