{'短评内容': '位置环境都很好', '短评打分': 5}
{'短评内容': '总体体验还可以，出差么，不讲究太多。酒店毛巾有点异味，希望可以改进。', '短评打分': 4}
{'短评内容': '早餐比较有宝鸡特色；酒店位置在高新区核心位置，停车也比较方便。赠送的欧舒丹洗护用品不错！城际酒店的软硬件都还是比较满意的。', '短评打分': 5}
{'短评内容': '酒店位置距离宝鸡南站（动车）非常近，出租车起步价约5分钟，酒店房间很干净也很大，整体很舒服。夜班的服务员（小乔）会送上暖暖的银耳羹和酸奶，很好吃！大堂的服务员建平先生主动帮我提取寄存的行李，并送到车上，服务很到位，超级贴心。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '大力推荐！房价实惠，四星级，新潮干净，周边生活便利', '短评打分': 5}
{'短评内容': '没有想象的那么好', '短评打分': 5}
{'短评内容': '哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好哈哈哈很好很好很滿意很好', '短评打分': 5}
{'短评内容': '很好的酒店，下次到宝鸡还会入住的，服务超赞，是你入住宝鸡的首选', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店窗户的隔音太差晚上拉土车的噪音搞得无法入睡', '短评打分': 4}
{'短评内容': '城际酒店是我们的协议酒店。单位接待都安排在此。我之前入住未通过携程预订，但对酒店的软硬件都比较满意。今天，我要为城际酒店再大大地点一个赞！因为，我今天早上在城际酒店一楼西餐厅用过餐之后把随身小包遗落在餐厅座位上了。当我从房间下来准备结账离开时，发现小包不见了，因为里边有我的钱包和证件信用卡等，上午单位有会，下午还要乘机需要身份证，非常着急，餐厅服务员立即联系调用监控摄像，同时我打电话给酒店总经理，', '短评打分': 5}
{'短评内容': '来住过很多次了，不错！离高铁站很近，旁边吃饭和逛的地方都有，酒店晚餐也不贵！早餐单点45一位！', '短评打分': 5}
{'短评内容': '谢谢前台甜妹朱羽萌，我在网上预订的房间没有了，朱羽萌甜美微笑着说：直接给您升两级，商务套房。城际酒店不错，羽萌为酒店增彩。希望刘总能奖励她。点赞，推荐！', '短评打分': 5}
{'短评内容': '来宝鸡办事经常住这里，很不错', '短评打分': 5}
{'短评内容': '第二次入住了，卫生很干净！这是我选择酒店的第一个条件。交通也方便，离高铁站很近，高新区饭店购物广场也多', '短评打分': 5}
{'短评内容': '酒店环境很好，订的是豪华单间，真心不错', '短评打分': 5}
{'短评内容': '比一般五星宾馆好，而且经济，下次一定再过来。', '短评打分': 5}
{'短评内容': '早餐真的很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
