{'短评内容': '老板人很热情 服务很周到 性价比很高的一家旅馆 ', '短评打分': 5}
{'短评内容': '在携程网上搜到的此宾馆，看到在此住过的游客评价很好！就大着胆子试一试，经过一天的住宿感觉确实是名不虚传！', '短评打分': 4}
{'短评内容': '没有早餐，适合一家三口住宿，距离孔庙步行7分钟，有停车的地方。', '短评打分': 5}
{'短评内容': '在网上看网友的评论订的房间 的确老板一家很热情 房间很干净 有点像到家的感觉 下次来还住这里 很满意的住宿 ', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '老板和老板娘的态度值得称道，离孔庙也非常近。就是周边吃的东西价格略高。如果下次还去曲阜，我会再订这家。', '短评打分': 5}
{'短评内容': '老板和老板娘的态度值得称道，离孔庙也非常近。就是周边吃的东西价格略高。如果下次还去曲阜，我会再订这家。', '短评打分': 4}
{'短评内容': '房间干净，环境美，价钱便宜，老板娘服务热情周到。离孔庙又很近，就在孔庙的西侧。出门就能吃到曲阜的特产，特好!', '短评打分': 5}
{'短评内容': '房间很安静，整洁，绝对安全卫生。离三孔售票点，孔庙入口很近，最多走5分钟就可到达！老板特别热情好客，还在公交车站来接的我们，特别感动！强烈推荐给朋友们！', '短评打分': 5}
{'短评内容': '老板娘态度很好，亲自去公交站点接的我们，宾馆就在孔庙旁边，走过去两三分钟，房间很大，一米八的床，睡一家三口不挤，就是景区附近吃东西贵，还不好吃。去公交站点必须要穿过孔庙门前的神道路，因为城门里面没有公交。不过去曲阜也就是去孔庙和孔府，孔林实在没看头，第一天下午还去了六艺城，自己从网上查着去的，感觉很垃圾，门票六十，一进门有个导游过来说六艺城占地208亩，自己走容易走到外环路，孔子六艺和孔子故里俩景', '短评打分': 5}
{'短评内容': '老板好，环境好，特别是晚上，非常安静，房间干净舒适，到的时候老板亲自开车去火车站接的，很感激。', '短评打分': 3}
{'短评内容': '宾馆所在地理位置很好，就在孔庙古城里很方便，房间还算整洁，环境比较安静*老板娘非常热情，整体而言性价比还是比较高的*', '短评打分': 3}
{'短评内容': '老板和老板娘都很热情，只是卫生间有点小。', '短评打分': 5}
{'短评内容': '服务态度相当好，老板怕找不到地方还亲自去迎接，非常感谢！', '短评打分': 5}
{'短评内容': '服务态度相当好，老板怕找不到地方还亲自去迎接，非常感谢！', '短评打分': 5}
