{'短评内容': '宾馆外晚上灯光暗，其他都还满意，性价比高', '短评打分': 5}
{'短评内容': '环境一般，不过价位也不高，但是前台那男的服务不好', '短评打分': 3}
{'短评内容': '还是比较可以的就在学校边上 企鹅儿童以及爬山对方过后就哭了自行车这种重中之重重中之重', '短评打分': 3}
{'短评内容': '洗浴，网吧，酒店，有点乱，环境也不行，被网评坑了', '短评打分': 3}
{'短评内容': '第二次住了 还行', '短评打分': 3}
{'短评内容': '住的挺不错的房间还有电脑', '短评打分': 5}
{'短评内容': '处处', '短评打分': 5}
{'短评内容': '很喜欢也很满意', '短评打分': 5}
{'短评内容': '必须差评！订单本来是大床房，可是到达后告诉我因系统问题没有预订上，给了我一标间和一无窗且隔音差的大床房供我选，好歹有房没有计较。没想到第二天因我出门前没有说要打扫为由就不打扫房间，连消耗掉的洗漱用品都没有给！从没见过不主动说要打扫卫生就什么都不管不顾的旅馆！再说说环境。该店集网吧，餐饮，住宿一体，可是就两层楼，一楼就是网吧，周围学生多，能安静到哪去？入住第一晚半夜还有人在走廊里喧闹，房间隔音也不太', '短评打分': 2}
{'短评内容': '就是晚上不太好找位置，没啥缺点', '短评打分': 4}
{'短评内容': '一般，太度好，差点吓到我了，我的鞋子忘了收，总台说丢了，后来又跟我找到了', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境可以，服务也很好！有机会再来……', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '服务不错，卫生不错', '短评打分': 5}
