{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '太好饿 好好', '短评打分': 5}
{'短评内容': '酒店非常好，有自己的停车场', '短评打分': 5}
{'短评内容': '房子比较旧，墙纸脱落，且有潮味儿', '短评打分': 3}
{'短评内容': '还没去住，但愿效果不错。', '短评打分': 5}
{'短评内容': '房间挺好的，就是服务太差', '短评打分': 5}
{'短评内容': '可真不咋地，房间什么的都都不错，就是前台服务太差，浴巾也是破的', '短评打分': 5}
{'短评内容': '还可以就是磨磨唧唧的', '短评打分': 5}
{'短评内容': '屋里一股味，特别大，设施陈旧，不咋地', '短评打分': 5}
{'短评内容': '真的很不错，环境和服务都很好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '计算机技术男神男神男神男神玛那拉克考试考试考试考试可可', '短评打分': 5}
{'短评内容': '枕头套发霉', '短评打分': 4}
{'短评内容': '酒店没有暖气-1分 空调和电视经常失灵-1分 浴室没有花洒和吹风机-1分 酒店电梯坏了-1分 客房内有烟头 -1分 洗发水和浴液挤不出来-1分 ', '短评打分': 3}
{'短评内容': '设备简陋', '短评打分': 2}
{'短评内容': '服务员一般', '短评打分': 3}
{'短评内容': '环境卫生一般', '短评打分': 3}
{'短评内容': '环境，服务和设施均一般，无亮点', '短评打分': 3}
{'短评内容': '房间没有窗户有气味', '短评打分': 3}
{'短评内容': '网上的价格在前台不能办有点死板', '短评打分': 3}
{'短评内容': '亲友过来入住，如果不是离家近，实在不愿意住这儿，太次了', '短评打分': 1}
{'短评内容': '隔音效果不好。。晚上两点多了隔壁屋还在叫，好吵', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间条件不错，价格合理，就是离市中心远了一点。', '短评打分': 5}
{'短评内容': '定的商务标间，设施很新，就是房间很小！酒店米有早餐，也米有移动信号！', '短评打分': 5}
{'短评内容': '电梯声音超级大，我本来是个很容易入睡的人，但是在这里被电梯吵到发狂，不过上网速度快，房间里有电脑', '短评打分': 5}
{'短评内容': '设施和环境不错，就是地段有点偏，不过价格实惠啦', '短评打分': 5}
{'短评内容': '酒店卫生太差，厕所异味弄的人脑袋疼，房间小，隔音太差吵死了。', '短评打分': 1}
{'短评内容': '酒店新开业，优惠幅度比较大。\n房间有些局促。\n交通方便，有去地铁的公交车，离机场也比较近。', '短评打分': 5}
{'短评内容': '房间小，服务尚可。整幢楼都没有暖气，全靠空调取暖。', '短评打分': 1}
{'短评内容': '不错，没想到还设有电脑，环境也不错 就是手机信号有点不好', '短评打分': 5}
{'短评内容': '干净，整洁，服务好，入住时酒店工作人员态度非常好', '短评打分': 5}
{'短评内容': '房间很干净,空调很给力,就是周边吃饭不方便', '短评打分': 3}
{'短评内容': '环境不错 设施很好', '短评打分': 3}
{'短评内容': '这个酒店服务态度特别好,酒店住宿条件很好,特别干净。下次还来。', '短评打分': 3}
{'短评内容': '不错，里面设施比较完备，隔音还算好，服务态度较好，停车场很大 \n', '短评打分': 5}
{'短评内容': '服务态度好。交通方便。热水好。周边吃饭方便。', '短评打分': 5}
{'短评内容': '服务很周到，价格便宜，设施很健全，看起来淡雅清新，电脑屏幕微大，我很喜欢，以后来也会考虑入住这里，', '短评打分': 5}
