{'短评内容': '早餐比较好，酒店位置容易找', '短评打分': 4}
{'短评内容': '台山闲雅阁温泉度假村环境不错，房间卫生整洁，温泉是咸水温泉，水质清洁。周边饭店味道不错，有车接送，是休闲度假的好地方。', '短评打分': 4}
{'短评内容': '酒店环境不错，温泉水较干净，是旅游度假的地方。', '短评打分': 4}
{'短评内容': '水质好，温泉区环境可以，更衣室有待改进，温泉区服务员最好不要劳累老人家了。', '短评打分': 4}
{'短评内容': '这间酒店难怪结业的状态了，在携程订的豪华房去到酒店被安排到门口的副楼入住，人都不多一个，离主楼很远，晚上被别人杀了都没人知，马上在副楼那打电话给主楼前台要求换房间住主楼，被告知了另加一百才行，而且主楼一层、二层、三层要加的房价又不同的，地下房间加一百，二楼一百五十这样加，坑死人的节奏，为了安全只能认了，然后早餐太差了，凭房卡一卡只能拿一只鸡蛋，再加点粉、面这些就是全部家当了，温泉池没人管理，现场见', '短评打分': 1}
{'短评内容': '早餐简单品种小，有三人房，外墙装修显旧，温泉水是咸水温泉，总体来说还是不错。', '短评打分': 5}
{'短评内容': '环境好，设施普通，服务普通不够', '短评打分': 4}
{'短评内容': '和全家人来过几次了，性价比很高，广州开车过去2小时挺好！', '短评打分': 4}
{'短评内容': '环境很美 附近还有新鲜的海鲜吃', '短评打分': 5}
{'短评内容': '看来携程的评分真的很重要，我是订了另外一家4.1分后来退钱说满房了，有点心不甘情不愿订了这家3.2分的，果然，住下来真的忍不住要吐槽一番，首先是房间离大堂好远，而且房间又旧，最要命的是每个房间的门锁难开的要命，开到手痛都还没开的了。到处在装修，好像个垃圾场一样……', '短评打分': 3}
{'短评内容': '厕所很黄，有尿积', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店房间卫生太差！个洗手间有严重的嗅味！服务员态度劲差！只可以用2个字形容超差！这是我的去后感！一定无下次！', '短评打分': 1}
{'短评内容': '性价比比较高...早餐很差劲,早上7点，我们还在熟睡中，被对面的酒店的工作人员莫名其妙的不敲门的情况下用卡在开了门，还好有凳子顶住和上了门链，真无语！228房号！', '短评打分': 4}
{'短评内容': '订的是副楼 设施也太旧了吧 应该翻修翻修 房间卫生也不行 上一个客人留下的垃圾都还没打扫干净 还要不要订 你们自己想想吧', '短评打分': 3}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '温泉不错！水质好！\n房间嘛，那是相当的差，不过一分钱一分货。', '短评打分': 5}
{'短评内容': ' 酒店装修一般般，服务比较查。温泉还可以。', '短评打分': 1}
{'短评内容': '房间不干净，空调和电视坏的。本是预约好的。谁知去了说我们没预定。', '短评打分': 3}
{'短评内容': '性价比较高，免费停车。温泉区提供免费饮品，饼干和花生。自驾车可以选择到2公里外的镇上吃饭。住宿条件一般，床垫差，无宽带。', '短评打分': 5}
{'短评内容': '酒店有自己的停车场，停车很方便，服务很好周到热情，主要是有自己的特色飘雪温泉，很新颖，蛮喜欢的，客房干净卫生，住着很喜欢', '短评打分': 5}
{'短评内容': '酒店的服务很不错，服务员周到热情，酒店里可以泡温泉感觉还是很不错的，周边环境很好，适合度假', '短评打分': 5}
{'短评内容': '酒店的服务很好蛮热情的，主要是冲着温泉来的，有个特色飘雪温泉感觉很不错，周边环境很好，绿化做的蛮到位的，卫生条件也不错，总体感觉住着很舒服', '短评打分': 5}
{'短评内容': '整体感觉酒店环境很好，蛮幽静的，里面有温泉，绿色植被非常多，酒店有特色的飘雪温泉，很奇妙的感觉，蛮不错的，服务周到热情，卫生条件干净，不错的酒店', '短评打分': 5}
{'短评内容': '酒店娱乐配套设施很齐全，有滑草，骑马，射箭都有，娱乐很充足，客房明亮干净，住着很舒服', '短评打分': 5}
{'短评内容': '酒店本身有温泉感觉很不错。酒店周边空气很清新，环境很好，客房服务不错蛮周到的，感觉各个方面都还可以', '短评打分': 5}
{'短评内容': '酒店的客房数量蛮多的，软件设施不错，服务周到热情，卫生间一次性洗漱用品都有，蛮齐全的，酒店地理位置环境很好，都是养生的房子，住宿环境不错的', '短评打分': 5}
{'短评内容': '酒店临海空气很不错的，清晨鸟语花香的，前台办事效率蛮快的，服务周到热情，房间卫生条件很好，打扫的很干净，住着很放心', '短评打分': 5}
{'短评内容': '酒店设计的很漂亮，晚上风景很好，酒店有特色的飘雪温泉，是人工造雪，很特别的，周边环境很好，而且娱乐设施很齐全，总体感觉住宿环境还是很好的', '短评打分': 5}
{'短评内容': '酒店客房服务很好，周到热情，房间设施齐全，卫生条件很好，蛮干净的，酒店有自己的特色温泉，还有烧烤，很不错，适合度假来', '短评打分': 5}
{'短评内容': '飘雪温泉非常有特色，就是开放时间太短。。', '短评打分': 5}
