{'短评内容': '环境优美绝伦', '短评打分': 4}
{'短评内容': '环境可以，继续支持......', '短评打分': 4}
{'短评内容': '服务设施差些', '短评打分': 3}
{'短评内容': '酒店位置很好，离海边步行三分钟，周边交通便利。房间设施一般，不过这个价位在市中心，性价比还是可以的！整体满意', '短评打分': 5}
{'短评内容': '很好不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '禧龙精品酒店的位置太好了，出门就是三亚湾，晚上去海滩看夜景真不错。门口是商业街，吃饭购物方便.去景点的公交车很多，但道路是单行道，乘车时问清楚.', '短评打分': 5}
{'短评内容': '比较一般', '短评打分': 4}
{'短评内容': '环境可以房间也过得去', '短评打分': 4}
{'短评内容': '服务热情，临街房间有点乱，设施老化。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间卫生清洁环境优美酒店服务态度好设备一般', '短评打分': 3}
{'短评内容': '靠海边，可是房间小脏', '短评打分': 3}
{'短评内容': '一般般，春节过去的，房间小又脏哎', '短评打分': 3}
