{'短评内容': '环境不错，就是隔音效果差，距离市区较远', '短评打分': 5}
{'短评内容': '环境不错，就是隔音效果差', '短评打分': 5}
{'短评内容': '不错 服务很棒 安静  下次来还住这', '短评打分': 5}
{'短评内容': '良心推荐这个酒店，三星的价格，五星酒店的水平！', '短评打分': 5}
{'短评内容': '酒店位置很好，卫生服务及设施整体都很好，早餐丰盛味道不错，小孩很喜欢，以后来乐山还住这家，强烈推荐！', '短评打分': 5}
{'短评内容': '感觉还行，值这个价', '短评打分': 5}
{'短评内容': '酒店位置好，房间干净舒适！', '短评打分': 5}
{'短评内容': '经常住这家酒店了，总体感觉很不错', '短评打分': 5}
{'短评内容': '刚到酒店觉得酒店还不错，结果入住的房间空调是坏的，开始跟酒店沟通说换房间。酒店说没房间了，到了晚上酒店才核实空调确实是坏的，才给换了房间。这是唯一让人不满意的地方！', '短评打分': 5}
{'短评内容': '还可以吧，很干净，比较人性化，整体满意', '短评打分': 5}
{'短评内容': '挺好的，性价比很高。服务到位。', '短评打分': 5}
{'短评内容': '一般般吧，真的一般般，一般般吧，真的一般般', '短评打分': 5}
{'短评内容': '不错，就是节假日涨了一百多', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很安静，整洁。就是晚上车站走来有点偏僻', '短评打分': 4}
{'短评内容': '性价比很高，房间很干净', '短评打分': 5}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '第二次住了，干净卫生，性价比也高。', '短评打分': 5}
{'短评内容': '酒店房间安静，服务好，早餐也很丰富', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错的酒店，下次去肯定还是住这个酒店', '短评打分': 5}
{'短评内容': '帮父母订的，房间卫生整洁，设施齐全', '短评打分': 5}
{'短评内容': '环境很好 干净清爽', '短评打分': 5}
{'短评内容': '环境很好 干净清爽', '短评打分': 5}
