{'短评内容': '交通便利  不远就是地铁站', '短评打分': 5}
{'短评内容': '网络不行。总是断没速度', '短评打分': 5}
{'短评内容': '网络太差了。其他都不错！', '短评打分': 5}
{'短评内容': '可以，地理位置好，有吃的', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 4}
{'短评内容': '地理位置优越，环境不错', '短评打分': 5}
{'短评内容': '地理位置好，房间有点旧，价格还算公道。周边挺繁华。', '短评打分': 5}
{'短评内容': '还可以，不错了。', '短评打分': 5}
{'短评内容': '就是房间面积小点', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '朋友说服务态度好，房间干净', '短评打分': 5}
{'短评内容': '感觉价格不便宜，但是房间不太大，卫生还可以，厕所也还可以', '短评打分': 4}
{'短评内容': '非常满意满意满意！！！！！！', '短评打分': 5}
{'短评内容': '落脚选择最多的一家，无线网特别好用，还有免费牛奶喝', '短评打分': 5}
{'短评内容': '太垃圾了，房间小，价格贵，服务差，以后再不会住7天', '短评打分': 1}
{'短评内容': '环境很差劲啊', '短评打分': 3}
{'短评内容': '环境不错！地理位置不错～服务不错～', '短评打分': 5}
{'短评内容': '一切都很顺利', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 3}
