{'短评内容': '酒店服务和内部设施比较好，服务员也很热情，出门就是公交站。但是，周边环境一般，附近吃饭的地方比较少。', '短评打分': 4}
{'短评内容': '房间够大，住宿条件不错，就是位置有点偏远。', '短评打分': 5}
{'短评内容': '卫生不错，不足的是房间里没有吃的，和喝的', '短评打分': 5}
{'短评内容': '还不错，下次还可以住。', '短评打分': 5}
{'短评内容': '房间较大，总体一般', '短评打分': 3}
{'短评内容': '酒店在杭钢附近不是很方便，入住期间一楼前台正在装修，很大灰，房间设施还可以但不是很新，总体性价比一般。', '短评打分': 3}
{'短评内容': '工业区附近就这样吧，也没有更好的酒店选择了。能接受。', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '老板你涨价也涨太多了，就不怕吓跑顾客吗？', '短评打分': 4}
{'短评内容': '总统还可以，只是酒店毛巾太旧用起来不舒服，我都是尽量不用！', '短评打分': 3}
{'短评内容': '环境非常好，非常推荐', '短评打分': 3}
{'短评内容': '房间很大，很干净，环境非常好，几天中最满意的', '短评打分': 3}
{'短评内容': '房间很大，带窗户，内部看起来很新，干净整洁，不过电梯很脏。', '短评打分': 3}
