{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '对比周边的还是不错', '短评打分': 5}
{'短评内容': '相对比周边还是不错的', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '特别好不错', '短评打分': 5}
{'短评内容': '很不错的房间，也比较干净，就是隔音效果不怎么好', '短评打分': 5}
{'短评内容': '酒店环境方便安静，服务热情周到，价格亲民。会推荐给朋友的。', '短评打分': 5}
{'短评内容': '酒店环境安静，服务满意，价格合理，下次还会再住。', '短评打分': 5}
{'短评内容': '周边环境不错，出行方便。房间隔音不好', '短评打分': 5}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '订的家庭房 床很大 两个大人和一个八个月大的宝宝睡很足够！唯一不开心的是停车 说是有免费车位 实际只有九个车位 回晚了没位置 感觉被欺瞒了', '短评打分': 2}
{'短评内容': '酒店离地铁口比较近，但是有一点点难找。周边环境也很不错，设施也比较新。值得入住。', '短评打分': 4}
{'短评内容': '酒店在小区里面，周边环境比较安静，看上去也比较舒适，酒店的设施也非常新。周边吃的东西选择也比较多。不错。', '短评打分': 5}
{'短评内容': '床不怎麼好睡 硬硬的', '短评打分': 3}
{'短评内容': '不错不错不错', '短评打分': 4}
{'短评内容': '还可以，就是房间相对小一点。。', '短评打分': 3}
{'短评内容': '酒店一般，价格低是优势，地方比较偏，广交会入住还是可以接受的。', '短评打分': 5}
{'短评内容': '感觉挺好的，交通方便，酒店设施都很新，干净，也非常安静，服务还行。自认为是家性价比较高的酒店', '短评打分': 5}
{'短评内容': '交通方便，房间也不错，挺干净，卫生间挺大，作为单人间来说很合适了', '短评打分': 5}
{'短评内容': '入住的是单人间，房间还算干净，周围环境比较安静。不足之处：吹风筒不是每个房间都有的，而是摆放在走廊的过道。', '短评打分': 1}
{'短评内容': '酒店不错，挺安静，周围吃饭的地方也不少。交通也方便，从机场坐地我到动物园就行', '短评打分': 5}
{'短评内容': '很不错，装修很新，服务不错，环境安静，交通也方便', '短评打分': 3}
{'短评内容': '酒店不错，对得起这价格\n周边交通方便，吃饭的地方也多', '短评打分': 5}
{'短评内容': '酒店不错，虽然房间大小比预期的小，但很对得起这价格了。\n我在这住了一整周，周边吃的和交通都挺方便', '短评打分': 5}
{'短评内容': '超值房面积小，只适合个人入住，空调装在床头顶上，略响', '短评打分': 5}
{'短评内容': '之前订的是168元无窗房，到旅馆看后还是选择有窗的透气。旅馆房间有点小但卫生还不错，地址也很好找很近动物园站。今天继续续住一天，住惯了也懒得搬。', '短评打分': 5}
{'短评内容': '交通、购物方便，环境干净舒适，值得推荐！', '短评打分': 5}
{'短评内容': '交通便利，附近很多吃的，酒店很新，设施齐全，就是太小了。', '短评打分': 5}
{'短评内容': '酒店很新，入住之后印象最深的是服务!走的时候忘记等前台退押金了，前台小妹快追到地铁口将钱退给了我!这样诚信的商家不多见。去的比较早叁观了一下139的特惠房，幸好没贪便宜订特惠!房间太小了!感觉多加30住标准大床房是正确的选择!酒店周边吃很方便，天河城逛街走5分钟路就到了.这样的价格超值了!极力推荐大家去试一下。', '短评打分': 3}
{'短评内容': '环境很好，很安静.装修也非常好.服务员态度也蛮不错的，交通也很便利，住的很温馨', '短评打分': 5}
{'短评内容': '网上发现特惠房，与其它比很便宜了，还不错。离地铁站也近。', '短评打分': 5}
{'短评内容': ' 该酒店第一次住，感觉还可以，交通比较方便。', '短评打分': 3}
{'短评内容': '入住豪双间，装修可以。服务实在不行，2点钟入住的，要前台加枕头，直到夜里11点终于到了个枕心却没枕头套！无语……', '短评打分': 3}
{'短评内容': '入住办理等了快十分钟,无语.房间空间好小,竟然在上下楼梯转角处的房间,算是长见识了.性价比很低,不过周边吃东西还算方便也近地铁', '短评打分': 3}
{'短评内容': '  该酒店性价比较高，房间物品、设置较新，紧邻动物园到海洋馆，交通方便，周边吃的地方也较多，有机会我下次还要来住。', '短评打分': 3}
{'短评内容': '酒店新 还好', '短评打分': 3}
