{'descr': ':环境不错，干净卫生，客服态度良好', 'star': 5}
{'descr': '没吃早餐，位置很方便', 'star': 5}
{'descr': '价格实惠，环境好，交通方便', 'star': 4}
{'descr': '还不错 很干净', 'star': 5}
{'descr': '服务员服务不行，开张收据钱都能写错', 'star': 1}
{'descr': '还不错', 'star': 5}
{'descr': '干净 暖和', 'star': 5}
{'descr': '就那样，不到百元的酒店在石家庄也不能有太大的希望。就那样，不到百元的酒店在石家庄也不能有太大的希望。就那样，不到百元的酒店在石家庄也不能有太大的希望。', 'star': 5}
{'descr': '环境好 隔音 暖和', 'star': 5}
{'descr': '挺干净的 位置好找', 'star': 5}
{'descr': '这个价格只能说可以住，……', 'star': 4}
{'descr': '还行，除了没有图片的电脑', 'star': 5}
{'descr': '酒店服务不错，附近吃饭的地方挺多，早餐还行，旁边有公交车直达火车站，总体性价比可以', 'star': 4}
{'descr': '挺干净的，而且服务也很好，交通方便，出门就能坐到公交车', 'star': 5}
{'descr': '环境挺好 有早餐 总体评价不错', 'star': 3}
{'descr': '环境还可以，服务挺好，还有早餐，挺好', 'star': 5}
{'descr': '此酒店交通环境都还可以，服务员比较热情，可以。。。。。。。。。。', 'star': 5}
{'descr': '内容 房间太冷了开了空调也感觉特别阴冷，服务态度一般。。。', 'star': 3}
{'descr': '感觉屋子小点床单不是太舒服不是棉的整体还可以', 'star': 3}
{'descr': '标间房间较小，内设餐厅，附近有商店，总体不错。', 'star': 3}
{'descr': '屋子真的很潮，不适合居住。服务态度算不上好，屋内干净程度是很好的。', 'star': 1}
{'descr': '交通方便。房间卫生非常好。环境安静。就是大堂服务人员的水平有待提高。', 'star': 5}
{'descr': '整体还不错，电视频道少信号不好，酒店临街，晚上有点吵', 'star': 5}
