{'短评内容': '有点过时的酒店了！', '短评打分': 4}
{'短评内容': '第一次住酒店早餐是在前台直接发给客人的，一盒牛奶一个面包，当时我差点没气吐血！', '短评打分': 3}
{'短评内容': '房间还可以，早餐一般', '短评打分': 4}
{'短评内容': '住宿安逸', '短评打分': 5}
{'短评内容': '酒店设施老华了', '短评打分': 4}
{'短评内容': '房间设施很旧，但交通很方便！', '短评打分': 4}
{'短评内容': '可以说是订错了，但时间紧没办法退了重订新的。竟然早餐是发的面包和牛奶。设施相当破旧，卫生还不好。下次不会再住了。需要改进。', '短评打分': 3}
{'短评内容': '封闭房间，信号受影响。外翻不是很快，毕竟用的人多了。花洒是固定的，不能拿动的，不是很方便。早餐就是一瓶核桃牛奶跟一个难吃的面包。不过清洁卫生还好。说不说都会帮你打扫更换新的洗漱用品。衣架少的可怜，两个女人一堆衣服要洗的，才只有四个衣架', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '老牌商务、行政酒店。服务员态度好，设施有些保守，房间灯光需要改善一下。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '说了要安静的房间，还是吵的要死，一晚没睡好，早餐就更无语了，当时订时就图离客户近。', '短评打分': 3}
{'短评内容': '房间还可以，就是没有窗', '短评打分': 3}
{'短评内容': '还可以吧，价格小贵，设施有点陈旧，其他还好', '短评打分': 3}
{'短评内容': '房间不错，就是有点味儿。', '短评打分': 3}
{'短评内容': '很一般，物无所值。价格178元，没有比其他酒店138元的好，以后会考虑其他店。', '短评打分': 1}
{'短评内容': '很破旧的小旅馆，早餐也不好！房间小的可怜！', '短评打分': 1}
{'短评内容': '我昨入住盛大酒店5060房间，价格138元', '短评打分': 5}
{'短评内容': '家居形式的设计风格，让人感觉很温馨，服务上也很热情周到。', '短评打分': 5}
{'短评内容': '豪华间很宽阔，与酒店提供资料相符。\r\n屋内打扫的很干净，家具很齐全，甚至有麻将桌.. -_-!\r\n床不是很舒适，有点儿硬。\r\n灯光不是很足，感觉屋内屋外都有些昏暗。\r\n总体来说，性价比很高，值得推荐', '短评打分': 3}
{'短评内容': '感觉比较卫生&lt;br /&gt;\n设施也比较新吧&lt;br /&gt;\n房间比较宽敞，比较大，这点是我感觉最好的。&lt;br /&gt;\n早餐的内容一般般，不怎么丰富&lt;br /&gt;\n中晚餐的菜，炒的也还可以，也不贵&lt;br /&gt;\n交通比较方便，门口有好几趟公交车', '短评打分': 3}
