{'短评内容': '都挺好的，安静方便', '短评打分': 5}
{'短评内容': '卫生一般，服务差', '短评打分': 3}
{'短评内容': '环境干净。', '短评打分': 4}
{'短评内容': '已经住了很多次，出现什么问题，工作人员都会及时且耐心的解决，很暖，交通方便，去哪都很方便，周围基本设施齐全。', '短评打分': 5}
{'短评内容': '地理位置十分优越，出行相当方便，附近有地铁站和公交站，还有很多大商场，逛街吃饭很方便，房间干净整洁，采光好，隔音也好', '短评打分': 5}
{'短评内容': '地理位置十分好，交通也很方便，离地铁站很近，附近美食也很多，有很多大商场，还有很大的停车场', '短评打分': 5}
{'短评内容': '不错，挺好的棒棒哒我挺喜欢，还会入住，依然关切，在订房就在京东定了。', '短评打分': 5}
{'短评内容': '不行', '短评打分': 5}
{'短评内容': '不错，值得再去，服务员的态度也很好', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '我本身是锦江之星的会员，没想到京东订房比会员还便宜，谢谢了！', '短评打分': 5}
{'短评内容': '挺好的，挺美的，美几很，反正就是美几很', '短评打分': 5}
{'短评内容': '京东，一直信赖，一直满意', '短评打分': 5}
{'短评内容': '第二天入住了  很舒服，就是早上有人敲门，很烦。', '短评打分': 5}
{'短评内容': '很温馨。床很舒服，以后家里也要有一张这样的床。', '短评打分': 5}
{'短评内容': '酒店卫生状况还能接受！', '短评打分': 5}
{'短评内容': '挺好的，就是还要付押金，要是和***一样就好了。总体还可以', '短评打分': 5}
{'短评内容': '交通便利\n京东预定比会员还便宜\n性价比高\n附近外卖资源丰富', '短评打分': 5}
{'短评内容': '一直入住，很不错', '短评打分': 4}
{'短评内容': '酒店不错，值得推荐', '短评打分': 5}
{'短评内容': '很干净，挺不错的', '短评打分': 5}
{'短评内容': '酒店位置不错，交通出行方便，酒店卫生干净，环境安静服务好，设施齐全，是出行的好住处，以后来西安还住这里，', '短评打分': 4}
{'短评内容': '好停车，住宿环境卫生', '短评打分': 5}
{'短评内容': '卫生角落太脏   卫生间太臭   关了门  还臭', '短评打分': 4}
{'短评内容': '环境卫生都不错，交通便利。', '短评打分': 5}
{'短评内容': '不错的，交通便利，环境好', '短评打分': 4}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '房间卫生还可以，服务也不错。', '短评打分': 4}
{'短评内容': '房间真的很大，在快捷酒店里面算是住过的最大的，北面离二环快速路很近，晚上略吵', '短评打分': 4}
{'短评内容': '房间有大有小，标间的房型比较合算，一张稍微大些的床，还有一张小床，足够一家三口居住。最满意的是那里的自助餐，虽然种类不多，但口味不错，非常实惠。', '短评打分': 5}
{'短评内容': '酒店环境非常好  早餐也非常棒  前台服务人员态度也不错 房间特别大', '短评打分': 5}
