{'短评内容': '还可以还可以', '短评打分': 4}
{'短评内容': '还可以还可以', '短评打分': 4}
{'短评内容': '老板人不错，房间没选好，环境一般', '短评打分': 4}
{'短评内容': '酒店根本不能停车，离停车场非常远。而且服务非常差，而且老板非常没有诚信，忽悠我们在古城转了三个小时，最终因为停车问题自己另找地方住，老板答应退款，结果事后又反悔。导致订了放不能住，凤凰古镇停车极为不方便，节假日期间停车其他地方要一百。自驾一定要慎重，其实比这家性价比高的太多了，自己去找绝对不会后悔。。。', '短评打分': 1}
{'短评内容': '房间设施差，卫生一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '网上看到的，因只住一天选择了她家，只是从车站到她家拖行李箱不方便。环境还可以离沱江跳岩很近，她家的狗狗在凤凰古城很与众不同。', '短评打分': 4}
{'短评内容': '挺不错的，就在凤凰小街上面，就是有点难找，老板家的古牧呆呆挺热情的，很适合爱狗人士居住', '短评打分': 5}
{'短评内容': '棒棒的坏境真的没得说  狗狗太可爱了一言不合就扑倒你太大了 我有点怕怕 下次跟基友们再去凤凰会再来的哟～  ', '短评打分': 4}
{'短评内容': '看到了网红呆呆，好大的一只呆呆狗。老板娘很漂亮热情，身材一级棒没事就在自家四合院健身。', '短评打分': 4}
{'短评内容': '出去沱江玩很近，环境也安静，就是夏天用空调是要按小时收费的，有院子，晾晒衣服很方便，以后有机会再去凤凰。', '短评打分': 4}
{'短评内容': '非常好，一家3口来的，掌柜看我们3个人，免费给的亲子房住，谢谢掌柜的了，太感谢了，住的舒适，房间特宽敞，我家小孩特喜欢呆呆，整天跟他完都没有出门，掌柜是有求必应啊，问了好多问题，特热情，照了几张客栈的照片，不多，想入住的还在犹豫的，犹豫啥啊，这么好的客栈还挑啥，呆呆每天都蹲在门口，往前望，听说是，，，，，，', '短评打分': 5}
{'短评内容': '嗯，很好，可能是淡季没什么人，好像现在进古城都要买门票了，老板带我们去买了门票，接我们进的客栈，淡季吗，所以老板给我们免费升级了好的房间入住，给加了被子，凤凰这边还是挺好的，客栈也不错，还好当时订了这家，听前台说冬天会下雪，下雪的景色特别好看，还约了下雪带我去乡下前台的家，她说风景特别好看，可别忘了我们的约定哦', '短评打分': 5}
{'短评内容': '这里住宿房间条件干净、整洁，最重要的是离“沱江跳岩”非常的近，离景点很近，很赞的一个客栈。值得入住，这次的旅游玩的很开心，老板安排的一日游也很好玩。因为天气比较冷，还主动给我们加了被子，据说还有电热毯可以用，但加了被子不冷，就没用，四合院非常有特色，有一个梦就是住在古色古香的房子里，体验一把古时候的人悠闲自在的感觉，这次有性住到，实在是太棒了，感谢感谢', '短评打分': 5}
{'短评内容': '干净卫生，安静舒适服务好，很满意。', '短评打分': 5}
{'短评内容': '现在才评论，不好意思老板，一直没想起来，还是老婆提起说那么好的酒店，一定要评论下。来凤凰选这家准没错，位置好，风景好，最重要的是老！板！好！！！有免费的地图，老板亲自讲解，画路线，不懂的可以问，老板是绝对的有耐心，老板推荐的饭店味道很好，推荐他家的石锅鱼，味道超赞，血粑鸭味道也不错，拿老板给名片可以打折哦，这是老板的一份心意，剧前台姑娘说的是老板争取的哦，最后提醒朋友们，要买东西的，要好好看哦，这', '短评打分': 5}
