{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '早餐稍微少点，地理位置很方便，门口有地铁，隔音效果差一些，服务很热情，有地下停车场，房间很干净，也很宽敞，非常难得', '短评打分': 5}
{'短评内容': '位置不错，也挺干净，推荐', '短评打分': 4}
{'短评内容': '干净整洁卫生', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店还像原来一样哈，已经从五星降到四星了，大家放心去住吧。', '短评打分': 5}
{'短评内容': '京东酒店 服务', '短评打分': 5}
{'短评内容': '第一开始从京东系统网上订房以，体验感很好，方便，快捷，低价。。。。等等，现在都养成从这订房的习惯了。', '短评打分': 5}
{'短评内容': '昨晚上入住，觉得很舒适，很安静，今日又续住了', '短评打分': 5}
{'短评内容': '酒店非常好，交通很方便，七号线广安门内大街站就在楼下不远处，附近吃的地方也很多，房间非常干净，也很安静。', '短评打分': 5}
{'短评内容': '服务热情 交通便利', '短评打分': 5}
{'短评内容': '酒店服务还可以，老星级酒店，在三亚一直住维景国际，这个还可以，就是设施有点旧，早餐还行，下次还可以选择住', '短评打分': 5}
{'短评内容': '酒店服务还可以，老星级酒店，在三亚一直住维景国际，这个还可以，就是设施有点旧，早餐还行，下次还可以选择住', '短评打分': 5}
{'短评内容': '硬件不错、服务好、交通方便、设施齐全', '短评打分': 5}
{'短评内容': '房间还不错，性价比很高！只是入住时赶上有几层装修，太吵了！为什么不干脆停业装修呢？', '短评打分': 5}
{'短评内容': '交通方便，服务周到，干净卫生，热情', '短评打分': 5}
{'短评内容': '不错、不错、不错', '短评打分': 5}
{'短评内容': '很好 很贴心 还有升房活动', '短评打分': 5}
{'短评内容': '酒店前台服务很好，主动告知酒店在装修害怕影响休息，很贴心。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '距离南站很近，各项服务都很到位，以后再去北京会首先考虑这的', '短评打分': 5}
{'短评内容': '环境不错，挺方便的，值得一住。', '短评打分': 5}
{'短评内容': '第二次入住了，满意。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '超级棒的酒店，干净，安静，舒心，价格在京城来讲不高。。。。。\n', '短评打分': 5}
{'短评内容': '酒店房间较大，交通比较方便，服务也还可以。酒店附近吃饭也方便。', '短评打分': 5}
{'短评内容': '酒店不错，到广安门医院超近，方便。', '短评打分': 3}
{'短评内容': '酒店设置有点旧，淋雨的花洒对身高180以上的就有点矮了，磕我脑袋好几次！不过前台服务很好，酒店大堂刘经理也很热情，服务很周到！总体来说软件设置明显强于硬件设置。望酒店能够装修装修！\nPS：房间有股潮味儿，而且有一种洗洁精的味道！', '短评打分': 5}
{'短评内容': '                                                                        酒店的位置可以，环境挺好，前厅的工作人员服务都很周到，素质很高，可见酒店对员工的培养较好，会经常来住的。', '短评打分': 5}
{'短评内容': '北京港中旅卫生环境较好,西餐也蛮好吃,但早餐双标间只送一份餐券,有些小气,况且早餐也不值80元。另外你处送的消费券如何使用?', '短评打分': 3}
{'短评内容': '房间不错也很干净，满意', '短评打分': 3}
{'短评内容': '房间大，也很干净，比较满意', '短评打分': 3}
{'短评内容': '真不错，就是房间有点潮................................................................', '短评打分': 5}
{'短评内容': '房间很大，床比较舒服，毛巾干净，反正是中规中矩的4星级饭店，比较让人放心。就是卫生间略显旧一些。', '短评打分': 5}
{'短评内容': '房间设施还不错，住的双标间，也算宽敞，最主要的是与我们去的地方很近，方便', '短评打分': 3}
{'短评内容': '挺好的，早餐也不错，是一家老牌酒店，值得推荐，就是被子貌似有点潮...', '短评打分': 5}
{'短评内容': '服务很周到', '短评打分': 3}
{'短评内容': '小吧台与卫生间挺大,挺干净.光线好免费单早.合适.', '短评打分': 5}
{'短评内容': '酒店位置不错，对面是广安门医院，到西单前门什么的都挺近，每个房间只包括一份自助早餐，早餐还行，但是双人标间两人入住还是只有一份早餐很不合理，老酒店了，房内设施陈旧，除了电视还凑合，其他的都不好，柜子门都关不好了，淋浴也不好用，房间内只有一个空插座可以用，各种不方便，特别讨厌的是楼道和房间内都有很浓的一股霉味，开窗户通风又太吵。', '短评打分': 1}
