{'短评内容': '不差', '短评打分': 5}
{'短评内容': '交通便利，环境也挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好，服务太多很好', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '都很好但是空调是中央空调系统 开的太冷了。自己挑不了温度 这点不好', '短评打分': 5}
{'短评内容': '几年前住过，昨晚再住，一进房间味道很重，一晚没休息好，好像很重灰的感觉，整晚喉咙不舒服。 ', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错哦，下次还会再去……', '短评打分': 4}
{'短评内容': '很不错，很舒服，房间有桑拿', '短评打分': 5}
{'短评内容': '什么鬼地方房间没电跳闸弄了两次还是没电??????', '短评打分': 2}
{'短评内容': '每次都过来，一如既往！', '短评打分': 5}
{'短评内容': '总体很不错', '短评打分': 5}
{'短评内容': '一如既往的好，出差每月都来两三次！', '短评打分': 3}
{'短评内容': '舒服舒服，干净，环境好', '短评打分': 3}
{'短评内容': '酒店条件不错', '短评打分': 3}
{'短评内容': '不错的休闲酒店', '短评打分': 3}
{'短评内容': '整体很不错就是没窗戶', '短评打分': 3}
{'短评内容': '酒店硬件不错，但是服务上有点不诚实，不周到。 锂电一个小时后回去拿发票。\n要求是否可以拿走自己买的饮料，结果酒店人员说我们没有买饮料，这个还用你们告诉我。我住450一晚的酒店，还能骗你饮料。我的一整套衣服忘了拿，离店时并没有人提醒。回到家第二天才发现。哎 汗  这个管理真是有问题。', '短评打分': 1}
{'短评内容': '酒店很好，物超所值。', '短评打分': 3}
{'短评内容': '4.5星的硬件设施+3星的服务态度。还会入住，希望提高服务质量！', '短评打分': 5}
