{'短评内容': '不错，性价比很高', '短评打分': 5}
{'短评内容': '各方面都挺满意的，再来还会住这儿。', '短评打分': 5}
{'短评内容': '11月份的湖南特别冷，空调开30度，一晚上都没有效果，冻死了，这么薄的被子，没有空调，晚上真的没法睡，', '短评打分': 3}
{'短评内容': '到新宁来每次住这里。', '短评打分': 5}
{'短评内容': '感觉还可以，服务跟坏境还行，离县中心挺近的，购物吃饭比较方便，价格也比较实惠，还含有双早，值得大家去住一晚', '短评打分': 4}
{'短评内容': '挺好的，对得起这个价钱，才一百多块钱', '短评打分': 5}
{'短评内容': '整体不错，满意！', '短评打分': 5}
{'短评内容': '酒店设施陈旧，前台服务态度差，早餐没什么吃的。10月2日晚网上挂牌价四百多，我网上订酒店半天不确认，反馈没房。3日再次订，打开有大量房间只是调了房间，难怪迟迟不确认。太差了', '短评打分': 1}
{'短评内容': '总体感觉还不错。', '短评打分': 4}
{'短评内容': '房间不错，很大，干净卫生，酒店的大厅好大气，各方面都不错，我看了3个酒店才确定这个宏基酒店的，推荐哦！早餐还可以，红薯最好吃', '短评打分': 5}
{'短评内容': '非常不错！干净卫生，停车方便', '短评打分': 5}
{'短评内容': '环境不错，，卫生还行，，，，，，还行', '短评打分': 4}
{'短评内容': '酒店处于新宁县中心位置，离崀山和汽车站都很近，酒店Wifi很给力，服务态度很好，不过就是设施有点旧，被服还是很干净，这个价格还是不贵。', '短评打分': 4}
{'短评内容': '酒店环境还不错，包早餐，周边交通出行方便，挺不错的。', '短评打分': 5}
{'短评内容': '不错，干净，服务员态度还不错，周边环境挺好', '短评打分': 3}
{'短评内容': '还可以!', '短评打分': 3}
