{'短评内容': '这家店不错 晚上很安静 前台小哥人很好', '短评打分': 5}
{'短评内容': '离海边很近，是个别墅改造的，暖气没有，指望空调保暖，周围是居民区，早餐不少的，也可以在酒店吃，早餐18元每位。', '短评打分': 4}
{'短评内容': '院内停车方便，前台服务较差，散漫，房间较干净，房间隔音差。加上地下一层总共四层，进电梯需要刷卡，很不方便，走楼梯就可以上楼，刷卡形同虚设。', '短评打分': 4}
{'短评内容': '非常好，实惠方便！非常好，实惠方便！非常好，实惠方便！非常好，实惠方便！非常好，实惠方便！非常好，实惠方便！', '短评打分': 5}
{'短评内容': '房间不错，很干净，值得入住。', '短评打分': 5}
{'短评内容': '环境不错，设施齐全，离海边很近，京东上订购还享受到了优惠！', '短评打分': 5}
{'短评内容': '每次去都会住这里，希望下次再去！', '短评打分': 5}
{'短评内容': '房子比较小，隔音一般。烟台的酒店大多这样吧，很干净，服务也很好', '短评打分': 5}
{'短评内容': '房间干净温馨，每次出差都来住这家！打扫房间及时，服务也特别到位~价格合适，以后出差还会继续锁定锦江之星！', '短评打分': 5}
{'短评内容': '推荐入住。', '短评打分': 5}
{'短评内容': '房间小', '短评打分': 3}
{'短评内容': '床单不是很干净', '短评打分': 4}
{'短评内容': '冬季室内温度偏低，比较寒冷，很长时间室内温度也不能达到令人舒适的合适温度，在很冷的冬季，给人感受不是很好。', '短评打分': 5}
{'短评内容': '酒店房间很大，很干净，价格实惠，下次来还会住！', '短评打分': 5}
{'短评内容': '位置好，房间小，周边缺少便利店', '短评打分': 5}
{'短评内容': '一般般啦，房间小，饭萦绕京无特色，但价格还行', '短评打分': 3}
{'短评内容': '挺好的！好评！早餐很好！', '短评打分': 3}
{'短评内容': '酒店还是很好的。就是有的房间不好，我们调了两次。服务水平挺好。总之很满意。', '短评打分': 5}
{'短评内容': '还行吧。酒店的设施还是比较好的，位置也很好。但是有些一楼的房间，属于半个地下室那种。后来给我们调整了。', '短评打分': 5}
{'短评内容': '酒店还可以了。但是酒店很多的房间属于半地下的那种。我们好在后来又条换了房间。', '短评打分': 5}
{'短评内容': '还行吧。酒店的位置还好，但是酒店的一楼是半个地下室那种情况。旅游旺季，房价比较贵。', '短评打分': 5}
{'短评内容': '还可以吧。但是酒店的地下室太多了。位置还可以。旅游旺季房间不好找。', '短评打分': 5}
{'短评内容': '非常干净，离大海很近，步行3分钟，很好。离大学也很近，很不错', '短评打分': 5}
{'短评内容': '服务不错，一切均很贴心。很喜欢。靠近海边，交通方便。', '短评打分': 5}
{'短评内容': '离海边很近，房间干净舒适，设备较新，给个好评!', '短评打分': 5}
{'短评内容': '靠近海边，环境不错！很安静，酒店设施还算干净，就是周边没啥玩的', '短评打分': 5}
{'短评内容': '还不错，非常干净，服务也好。就是有时候会住在半地下室，光线不好。', '短评打分': 5}
{'短评内容': '这家锦江刚开没多久，离海边很近，去海边很方便', '短评打分': 5}
{'短评内容': '这边地方挺好的。环境挺好，就是稍微路上声音有点小吵。', '短评打分': 3}
{'短评内容': '地点还行 服务不错就是 酒店的装修需要改进', '短评打分': 5}
