{'短评内容': '还可以的的', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '早餐需及时改进，其余服务跟进及时、高效，我对酒店的未来充满信心！', '短评打分': 4}
{'短评内容': '酒店高层管理人员对客户反馈的意见跟踪及时、到位，说明酒店重视并且认真对待，因此，我对酒店的发展倍感信心，对酒店的未来充满期待，更使宾客感到宾至如归！', '短评打分': 4}
{'短评内容': '早餐没有到结束时间，服务员就开始准备收摊了，不知道为什么；第二：卫生间洗澡地方太小了，非常难受；房间住的还是比较舒服的，安静', '短评打分': 3}
{'短评内容': '服务和早餐有待改善', '短评打分': 4}
{'短评内容': '帮朋友订的房间，到了酒店发现预定的房间没有了，酒店给免费升级的套房。服务全5分，下次来还会住。', '短评打分': 5}
{'短评内容': '国企单位酒店，就是好，下次还住它', '短评打分': 5}
{'短评内容': '房间很宽敞，服务态度很到位。', '短评打分': 5}
{'短评内容': '环境卫生干净优美，服务态度周到到位很好，房间无线网络夜里比较慢需要继续提高改进，交通位置方便出行快捷', '短评打分': 5}
{'短评内容': '环境卫生干净优美，服务态度周到到位很好，房间无线网络夜里比较慢需要继续提高改进，交通位置方便出行快捷', '短评打分': 5}
{'短评内容': '设施有点陈旧。房间略显小。早餐丰富。', '短评打分': 4}
{'短评内容': '环境还不错，就是感觉软硬件还没达到5星', '短评打分': 5}
{'短评内容': '酒店位置不错，停车也方便。硬件设施还行，可是中央空调真的不给力。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '基本可以', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 3}
{'短评内容': '，已入住，房号1303。', '短评打分': 3}
{'短评内容': '非常好，值得留恋的地方，早餐也很不错，推荐', '短评打分': 5}
{'短评内容': '很好，服务态度好，环境好，早餐特别好，不愧是焦作最好的酒店', '短评打分': 5}
{'短评内容': '建国饭店的大牌子，还是不错的，但是设施硬件相对有点旧了，服务不错', '短评打分': 5}
{'短评内容': '虽然给推荐评级，但还是不情愿的。前台服务员态度太差，基本都不笑的，欠他们钱似的。早餐是在没有什么吃的，胡辣汤里面就一点豆腐皮，放的很多酱油，难吃又难看。仅吃了点稀饭和油条。热菜共5个：火腿肠，火腿肠片，卤鸡蛋，蒸南瓜，蒜蓉青菜。三星级的都比他伙食好。性价比太差。\n房务中心的人挺好的，问他们什么，都很热情，赞。\n', '短评打分': 5}
{'短评内容': '在该城市是很好的酒店，这是第二次入住.下次出差到焦作，还会入住。', '短评打分': 5}
{'短评内容': '早餐还可以但是孩子刚12cm都得收费，很让人扫兴，房间很小，设施陈旧，性价比不高', '短评打分': 5}
{'短评内容': '早餐很一般，房间很小，价格还可以，地理位置还可以', '短评打分': 1}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '前台服务太死板，硬件离五星级标准还差得远。', '短评打分': 1}
{'短评内容': '酒店在焦作算是不错的了，位置比较好，前台的服务业不错。不过房间有点味道，不知道是不是刚装修不久的原因', '短评打分': 5}
{'短评内容': '房间小，设施老，早餐不好吃\n111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '对于焦作来说，应该算比较好的酒店了！下次还会入住', '短评打分': 5}
{'短评内容': '常住的酒店，房间略旧，但还可以满意。就是机场巴士不在那里了，略有不便。', '短评打分': 5}
{'短评内容': '酒店服務特別好', '短评打分': 3}
{'短评内容': '性价比不高，房间硬件一般，地理位置还可以。', '短评打分': 1}
{'短评内容': '地理位置不错，房间有点小，但是比较新，门童较少，总体感觉一般偏上。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '不错的环境,可信的服务.', '短评打分': 3}
{'短评内容': '+酒店环境不错,卫生干净', '短评打分': 5}
{'短评内容': '房间还不错,早饭又贵又不好吃!', '短评打分': 5}
