{'短评内容': '不错，真的挺好', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务人员态度和善专业。酒店旁边餐厅多，各种风味味道不错，距离大汶河公园1.5km左右，适合观光和锻炼。', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务人员态度和善专业。酒店旁边餐厅多，各种风味味道不错，距离大汶河公园1.5km左右，适合观光和锻炼。', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务人员态度和善专业。酒店旁边餐厅多，各种风味味道不错，距离大汶河公园1.5km左右，适合观光和锻炼。多次入住的酒店。', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务人员态度和善专业。酒店旁边餐厅多，各种风味味道不错，距离大汶河公园1.5km左右，适合观光和锻炼。', '短评打分': 5}
{'短评内容': 'Weeerttyy5542456788898643358999', '短评打分': 5}
{'短评内容': '连牙刷都没有差', '短评打分': 4}
{'短评内容': '住惯了5、4星级别的酒店，为了办事方便，第一次入住，总台工作人员素质真高真热情。希望该酒店再接再厉，能让更多的优质客户满意！', '短评打分': 5}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～', '短评打分': 5}
{'短评内容': '莱钢最好的酒店了隔音好 卫生可以 服务也行  看是携程的就安排设施不是好的那种。。。。呵呵了', '短评打分': 4}
{'短评内容': '位置便利，餐饮好，服务热情，价格便宜，卫生干净，设施好，集体供暖', '短评打分': 5}
{'短评内容': '位置便利，餐饮好，服务热情，价格便宜，卫生干净，设施好，集体供暖', '短评打分': 5}
{'短评内容': '位置便利，餐饮好，服务热情，价格便宜，卫生干净，设施好，集体供暖', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '环境很好，前台服务态度也不错……', '短评打分': 5}
{'短评内容': '干净、安全。服务员态度很好，楼下吃饭方便，交通便利。', '短评打分': 5}
{'短评内容': '很好，住的很舒服。', '短评打分': 3}
{'短评内容': '房间很好，干净，宽敞，床品舒适，服务态度也不错，空调很给力，有不间断电源，电视稍小了一点', '短评打分': 3}
{'短评内容': '在这里住了1周，要赞下酒店，在这个价位基本算是最好的酒店了。', '短评打分': 5}
{'短评内容': ' 很不错，值得这个价，比较安静，就是莱钢确实空气不很好。。', '短评打分': 3}
{'短评内容': '评价晚了！酒店还是不错的，就是钢城似乎让我有点失望了。', '短评打分': 5}
{'短评内容': '配套设施不错。交通业便利。服务态度好。房间空间大', '短评打分': 5}
{'短评内容': '环境还可以，配套也不错', '短评打分': 3}
{'短评内容': '服务态度不好。', '短评打分': 3}
{'短评内容': '房间还可以，就是有些吵，可能是附近工厂的噪音吧，住在17楼还吵得很：（', '短评打分': 1}
{'短评内容': '沿街有点吵', '短评打分': 3}
{'短评内容': '酒店卫生一般，服务也一般', '短评打分': 3}
{'短评内容': '哈  还不错！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还好吧！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '新成立酒店，业务人员水平较低，不能刷卡消费', '短评打分': 1}
{'短评内容': ' 还不错', '短评打分': 3}
{'短评内容': '该酒店干净整洁，并且很安静，网速也够快,值得推荐', '短评打分': 5}
{'短评内容': '如果能找到其他地方,还是找其宾馆住为好,印象一般.', '短评打分': 1}
{'短评内容': '还可以,值得一试,住了就知道........', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '以前出差莱钢都住这儿，感觉也不错。但这次，吃大亏了，供暖不足，热水也不热，洗澡刚开始就受不了；开了空调，又太干；最后，重感冒一场。', '短评打分': 1}
{'短评内容': '交通还比较便利，公交车可以直达酒店，酒店的价格也挺合适的。', '短评打分': 5}
{'短评内容': '酒店看起来很新，设施都很新，卫生打扫的很干净，感觉还是蛮舒适。', '短评打分': 5}
{'短评内容': '房间比较大，光线很好，卫生，服务都很不错，性价比相对来说还是很好的，就是靠近马路的一侧的房间，比较吵！', '短评打分': 3}
{'短评内容': '虽然当地环境不是很好，但进店环境还是很温馨的。早餐简单但味道不错，性价比不错的酒店。', '短评打分': 5}
{'短评内容': '酒店服务还可以，位置非常好周边出行很方便.', '短评打分': 5}
{'短评内容': '每次去莱钢都会住这家店，总体来说还是可以的，就是房间靠近马路那面有点吵，前台说大床间都在马路的一面，不知是真是假。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，卫生干净，设施也蛮完善的，位置有些偏，其他都不错的。', '短评打分': 5}
{'短评内容': '这家酒店的单人间靠路边，感觉很吵 房间里窗帘的颜色也不是很好，感觉遮光不是很好，酒店的位置还不错，出行很方便的，价格方面偏高些了。', '短评打分': 1}
{'短评内容': '只是靠路边的房间有点吵，其他条件都很好。交通方便，旁边有商场和永和豆浆店。', '短评打分': 5}
