{'短评内容': '有停车场，交通方便', '短评打分': 5}
{'短评内容': '房间比较舒适，干净卫生，免费停车很方便，离地铁站也比较近，感觉非常满意，是性价比比较好的酒店，推荐大家去住。', '短评打分': 5}
{'短评内容': '房间大，不错', '短评打分': 5}
{'短评内容': '这里离地铁站很近，出行方便，酒店不错。', '短评打分': 5}
{'短评内容': '酒店不错，离地铁站很近，出行方便', '短评打分': 5}
{'短评内容': '酒店位置好找，环境好，为前台侯丹，秦静服务点赞', '短评打分': 5}
{'短评内容': '说句实在话，这是第一次在京东上面订酒店，非常的成功，京东客服，艺龙客服，给力，点赞，酒店价格低，环境好，位置好，家里人都感觉不错', '短评打分': 5}
{'短评内容': '酒店服务极极极差。和同价钱的其他酒店比差距太大。大堂没有服务人员。因为行李多到店后询问有没有人可以帮忙推一下行李。直接得到答复是没有。我当时就火了：客人住店，帮忙拿行李是酒店的义务。前台接待态度极差。在我再三坚持下才有人过来推行李。客房服务更差，想要多提供一瓶水告知只能等14点以后。如马上要需付费！此外，房间马桶堵，没法冲水。我绝对不会推荐这个酒店给任何人，我也绝对不会再入住！', '短评打分': 2}
{'短评内容': '房间设施及配套还好，服务态度好，服务质量管理体系差！', '短评打分': 4}
{'短评内容': '酒店不错，来西安首选', '短评打分': 5}
{'短评内容': '经常住，服务很好，卫生干净。', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '房间不大，其他不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺不错的，下次还会选择', '短评打分': 3}
{'短评内容': '还行吧客户去住的', '短评打分': 4}
{'短评内容': '酒店位置虽然距离地铁站很近，但是出门打车及其不方便，根本打不到车。酒店服务业非常一般，态度很差。周边也没什么饭馆和购物的地方，原本要住三天，住了一晚上就退掉了。\n不过，酒店设施还算是比较新，如果正好在那边出差办事，住在这里也不妨。', '短评打分': 1}
{'短评内容': '豪华单间有点名不符实！比较简陋！退房让我等了半个多小时！只能打的去机场！', '短评打分': 3}
{'短评内容': '酒店有些旧，价位高，不推荐。我现在是办事离的进。', '短评打分': 1}
{'短评内容': '总体感觉还是很不错的，早餐小贵；离会展中心挺近，进地铁2号线更近，步行二分钟就可以了；房间挺干净和安静', '短评打分': 5}
{'短评内容': '不怎么样，房间潮湿，网络非常不好经常上不去，而且打扫完总忘关窗户！隔音太差！', '短评打分': 1}
{'短评内容': '还可以吧，就是不包含早点差点意思，还挺麻烦啊，要是开一起就好了', '短评打分': 5}
{'短评内容': '位置好，出行方便， 而且室内环境也好，挺不错的.', '短评打分': 5}
{'短评内容': '标间面积有点小，不过布局还是不错的，比较安静，而且环境也不错.', '短评打分': 5}
{'短评内容': '价格适中，而且服务也很到位，印象不错，住着也舒服.', '短评打分': 5}
{'短评内容': '服务很好，基本上有需要帮助的都能帮到我们，挺好的.', '短评打分': 5}
{'短评内容': '位置好，周边逛街购物都挺方便的，酒店也有自己的停车场，比较方便.', '短评打分': 5}
{'短评内容': '价格和环境很匹配，服务也很热情。酒店是新开的装修很新，房间的卫生很干净。', '短评打分': 5}
{'短评内容': '很不错 性价比很高 以后还会去住 如果说哪不好 就是浴室有点小！', '短评打分': 5}
{'短评内容': ':房间大，干净，很满意。', '短评打分': 5}
{'短评内容': '在西安曲江那边，性价比还是不错的一家酒店', '短评打分': 5}
