{'短评内容': '周边吃饭的地方多', '短评打分': 4}
{'短评内容': '房间蛮脏 隔音效果很差 中央空调有很大声音', '短评打分': 3}
{'短评内容': '在这里分了手 特色房 浴室没有隔间门 洗澡床上一目了然', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间光线偏暗，床挺大，连续住了四天，不换被套，两天不换牙刷，勉勉强强吧', '短评打分': 3}
{'短评内容': '环境不错   房间很大   卫生干净', '短评打分': 5}
{'短评内容': '挺好的一个酒店、打开房门的一刹那有点惊讶、有颗树', '短评打分': 5}
{'短评内容': '非常好，棒非常好，棒非常好，棒非常好，棒非常好，棒非常好，棒非常好，棒非常好，棒非常好，棒非常好，棒', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务超级nice', '短评打分': 5}
{'短评内容': '还好吧这个价位可以了，住了两个晚上，被子不换', '短评打分': 3}
{'短评内容': '这个房间真的  图片上有水晶床帘什么的。。实物是没有的   ', '短评打分': 4}
{'短评内容': '其实还不错，这个价钱来说还算可以接受的', '短评打分': 4}
{'短评内容': '糟糕的体验，楼下的酒吧奇吵无比', '短评打分': 3}
{'短评内容': '吵', '短评打分': 4}
{'短评内容': '帮朋友预订，据说窗也没有一股霉味', '短评打分': 3}
{'短评内容': '楼下是酒吧， 吵死', '短评打分': 1}
