{'短评内容': '帮认定的，说还不错', '短评打分': 5}
{'短评内容': '性价比很高！', '短评打分': 5}
{'短评内容': '都非常不错！', '短评打分': 5}
{'短评内容': '目前辽滨出差的唯一选择。餐厅饭菜味道很好，就是关门太早，不方便', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错，以后还会入住', '短评打分': 4}
{'短评内容': '不错，挺好的，还有洗浴票。。。推荐。。。', '短评打分': 5}
{'短评内容': '新酒店不错', '短评打分': 5}
{'短评内容': '当地很豪华的酒店了，卫生条件很好，卫生间很大，还送楼下的澡票，早餐也很好，中西餐都有，味道也不错，休息的很好。', '短评打分': 5}
{'短评内容': '总体来说房间环境还是不错的，早餐略微简单，可能因为是冬季入住率比较低的原因', '短评打分': 5}
{'短评内容': '只想说四个字：服务太差', '短评打分': 3}
{'短评内容': '总体环境可以，在开发区算是最好的酒店了。就是价格贵了点', '短评打分': 5}
{'短评内容': '老顾客了，一如既往喜欢这里，住着舒服，早餐品种多，还会光顾。', '短评打分': 5}
{'短评内容': '总去这家酒店，够档次，环境好，安静，早餐品种很多，很喜欢。', '短评打分': 5}
{'短评内容': '服务态度不好，其他还行', '短评打分': 4}
