{'descr': '早餐需要再付钱，15元/位，菜品很家常的', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '酒店里的电噪音有点烦人，空调制热效果不好。不过房间里wifi信号不错，离环球港很近。不过如果有预算的话还是换一家吧', 'star': 3}
{'descr': '酒店里的电噪音有点烦人，空调制热效果不好。不过房间里wifi信号不错，离环球港很近', 'star': 3}
{'descr': '环境很好滴，经常住这里，服务态度好，周边环境很棒！', 'star': 5}
{'descr': '环境不错.住仔挺舒服', 'star': 5}
{'descr': '就是服务员态度不好', 'star': 5}
{'descr': '每次出差都是订他家，物美价廉，好评！', 'star': 5}
{'descr': '帮别人订的，不知道好坏', 'star': 5}
{'descr': '干净到蛮干净，不过房间有点小', 'star': 4}
{'descr': '房间是挺干净，不过房间有点小', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '很好很方便', 'star': 5}
{'descr': '酒店环境一般，还算干净吧，不追求星级质量的可以考虑。', 'star': 4}
{'descr': '环境还可以，在新区，设施也还可以，有停车场，还比较方便。 环境还可以，在新区，设施也还可以，有停车场，还比较方便。 ', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '价格还算便宜，硬件就有些不足，而且便宜也只是相对上海的如家', 'star': 4}
{'descr': '房间比较干净，隔音效果比较好。前台服务态度也不错。离恐龙园很近，打车5分钟，就是附近餐馆比较少。', 'star': 5}
{'descr': '感觉一般哦。出行比较方便。电脑用起来不方便。', 'star': 5}
{'descr': '服务相当好 房间又大 下高速很快就找到酒店了 第二天去恐龙乐园也相当方便 下次还会选择这儿', 'star': 5}
{'descr': '很干净，环境不错，女儿说床好舒服', 'star': 3}
{'descr': '酒店离恐龙园很近，离万达三站路。卫生不错，网速快。', 'star': 5}
{'descr': '会推荐是因为 出宾馆的门左手边就是恐龙园 打的10分钟要不了 右手边坐公交车就能去南大街 从动车车站到这个宾馆也不超过10分钟 很好住的。早餐也好吃！', 'star': 5}
{'descr': '挺好的一家酒店，公交3站到沃尔玛，去恐龙园也挺方便地', 'star': 5}
{'descr': '房间挺大。房间内的商品有点贵。出去吃饭不是很方便。要走段路。整体还是不错的。', 'star': 5}
{'descr': '  床够大的', 'star': 3}
{'descr': '去恐龙园交通很方便，门口停车也还行，不错的选择', 'star': 5}
{'descr': '已经是第二次去住，标准间不错，很干净，舒适', 'star': 5}
{'descr': '地段不错啊，而且离恐龙谷很近，不过要是住在万达广场，那样购物买东西更近。总体很满意。', 'star': 5}
{'descr': ' 晚上稍稍有点吵，可能是周边的ktv。不过总体而言不错', 'star': 3}
{'descr': '住宿环境不错，就是和地图上的所标注的地方有很大偏差', 'star': 5}
{'descr': '一直在这家住的，总体不错。不过这一次价格好像比上次上涨了', 'star': 5}
{'descr': '酒店很干净，服务态度好，地理位置还不错。', 'star': 5}
{'descr': '不错,环境挺好的  就是离恐龙乐园有点远', 'star': 5}
{'descr': '房间不错，但服务有待提高，不管是餐厅的态度还是结账时前台的速度', 'star': 5}
{'descr': '环境还可以，床太小了。卫生间没有吹风机。服务还可以。最差的是早餐，15元不值得，菜不丰富，又冷。希望改进一下服务。', 'star': 1}
{'descr': '蛮干净，环境不错的，交通也很方便，离高速很近', 'star': 5}
{'descr': '以前都喜欢住太湖路上的如家，不过那天没有，所以就订了这一家的。不过如家都一样，不错的。', 'star': 5}
{'descr': '非常不错  效率 诚信 服务到位  是很值得信赖的旅行住宿网站', 'star': 5}
{'descr': '不错，，态度好，而且服务挺周到的。。离恐龙园也很近。\n', 'star': 5}
{'descr': '入住很方便，房间整洁，服务太度好，住的很舒服。', 'star': 3}
{'descr': '房间很干净卫生，但是由于房间内窗户太小，导致空气不能流通房间内有点闷，其他都很满意，且离恐龙园较近，交通也很方便！下次去常州还会选择哦~', 'star': 5}
{'descr': '环境不错，位置佳好评', 'star': 3}
{'descr': '8月4日入住的，非常不错，呵呵，常州的如家居然有购物卡，严重推荐', 'star': 5}
{'descr': '环境不错，交通方便，有停车场，干净整洁，就是靠马路隔音要是再好点就好了！', 'star': 5}
{'descr': '很好很干净 不错下次还来 可惜没有早餐 要是有个早餐就更完美了 哈哈', 'star': 5}
{'descr': '还可以，房间挺干净，就是小了点，服务也不错，离恐龙园不太近', 'star': 5}
{'descr': '很清爽，离恐龙园很近，早餐也很丰盛。是新开的，房间蛮大，以后会再去', 'star': 5}
{'descr': '比起其他地方的同系列酒店，条件差很多。电梯很慢很慢，被子床单都不很干净。', 'star': 1}
{'descr': '不错，干净，清爽，交通方便，早餐健康清爽，如果去恐龙园，可以考虑入住', 'star': 5}
