{'descr': '没有早餐 二张单人床 条件还可以吧', 'star': 5}
{'descr': 'Wifi 链接不上，而且大部分时间搜索不到。室内充电无法使用。需要楼下拿插排使用。早晨起来没有热水洗澡。只能用凉水。空调不给力。', 'star': 2}
{'descr': '干净.前台服务态度好.', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '装潢一般，不过相对便宜，月亮湖公园打车也就9块钱', 'star': 4}
{'descr': '整体来说能住，房间够大，就是设施老旧一些', 'star': 4}
{'descr': '脏乱差', 'star': 1}
{'descr': '没有服务 酒店脏乱差 没有一次性拖鞋 Wi-Fi连不上', 'star': 1}
{'descr': '酒店很好，周边很热闹', 'star': 5}
{'descr': '卫生太差 设施太久 不推荐', 'star': 3}
{'descr': '没啥可说的了，差，差，差，服务员拉着大脸，好像欠她钱一样。马桶还堵了。设施陈旧。将就一晚吧，预订其他酒店了。明天就换！', 'star': 1}
{'descr': '环境好服务周到', 'star': 5}
{'descr': '年头长了.设施比较老旧', 'star': 4}
