{'短评内容': '适合亲子游', '短评打分': 5}
{'短评内容': '住在西海院，干净整洁方便，很有老城味道。早餐自助。外来车全部要停在城外，酒店有专门停车场，一夜20，步行10分钟。总之很好，有住在平遥古城里过活的感觉。', '短评打分': 5}
{'短评内容': '酒店地理位置好，交通方便。环境不错，服务很好，就是设施一般，尤其卫生间设计、设施一般，卫生用品一般，早餐一般，服务不错，有接送站服务，但需要提前预约。', '短评打分': 5}
{'短评内容': '在古城东门内，有停车场，早餐还可以。', '短评打分': 5}
{'短评内容': '环境不错，位置也很好！', '短评打分': 5}
{'短评内容': '酒店在平遥大戏院边上，可以让前台帮忙预定大戏院的座位，酒店古色古香，有一个个院子。', '短评打分': 5}
{'短评内容': '不错  很不错  去平遥古城三次 住了两次 比较有感觉。                      不错不错', '短评打分': 5}
{'短评内容': '该酒店管理人员正规，服务到位，非常喜欢再次入住，卫生条件也不错，早餐也比较丰盛，值得推荐大家入住该店', '短评打分': 5}
{'短评内容': '酒店环境幽雅，安静惬意，本身可以算作一个景区，西墙上24孝砖雕图引人入胜。卧室干净舒适，虽还原了土炕的样式，但被褥都很厚实虚软，整体感觉非常好。', '短评打分': 5}
{'短评内容': '酒店环境好，服务态度好。', '短评打分': 5}
{'短评内容': '很有特色的一家酒店，免费给升级了房间，周边环境很好，挨着酒吧一条街。出去逛逛，挺不错', '短评打分': 5}
{'短评内容': '酒店很有特色，很安静。', '短评打分': 5}
{'短评内容': '忘记在宾馆照相了，开始还想着来，只在屋里用微信录了个小视频，真心不错，如果还有机会去平遥，还会选择这里。外面就是我发的图片，酒吧之类的一条街…我们九个人，正好占了一个小院子，相当于两间主房，三间厢房，可惜只住了一晚…早餐也不错，很满意，最重要的是我们还把钱包掉在餐厅了，幸好服务员收了起来，没有造成损失', '短评打分': 5}
{'短评内容': '第二次入住，很有特色的酒店，硬件也仿古的', '短评打分': 4}
{'短评内容': '平遥东南海宾舍总体来说来是很方便的晚上在古城里转转还是很有意思的。', '短评打分': 5}
{'短评内容': '周围环境很好，院子很有老院的感觉。', '短评打分': 3}
{'短评内容': '国庆去的，房价比平时高了一倍，这也就算了。但这家酒店的唯一卖点也就是老房子了，我住东海院的二楼，因为是老房子，本来也没有太高的期望，但是没想到连最基本的要求都很难满足。首先被子又重又硬，盖着一点都不舒服。说是二十四小时热水，结果根本就没有的，早上起来干脆连冷水都没有了，还跑到楼下洗的脸。空调根本打不起来，晚上睡觉有点冷。房间外面看上去很漂亮，里面实在不敢恭维。还有一直宣传的凭房卡可以免费到平遥大戏', '短评打分': 1}
{'短评内容': '庭院很好，有大宅的感觉。只是房间内很一般，服务有待提高。', '短评打分': 5}
{'短评内容': '环境很好。', '短评打分': 3}
{'短评内容': '房间小，床不舒服，设施也不全，位置在平遥古城里面，挺难找，一次够。', '短评打分': 1}
{'短评内容': '还可以.', '短评打分': 5}
{'短评内容': '整体水平不错，房间住起来也挺舒服的，位置好，服务人员也很热情.', '短评打分': 5}
{'短评内容': '在古城边上，相对来说有些偏，而且也不在闹市区，晚上如果晚些回去，路灯都没了有些害怕，卫生一般，桌子地上有些灰尘，服务还可以，设施一般化，价格偏高了。', '短评打分': 1}
{'短评内容': '位置太偏，如果晚上回去路边都没有灯，洗手间有很大的味道，房间桌子床上衣架上全是灰，节假日期间性价比太差', '短评打分': 1}
{'短评内容': '环境好，但水压不足，不能随时洗澡。', '短评打分': 5}
{'短评内容': '四合院設計幽美寧靜，如果沒有嘗試過就值得一試。然而五一高峰人多為患竟然沒有熱水沖涼。服務人員的水平也有待提高，如果只是對鄰家小妹的要求就還可以。', '短评打分': 5}
{'短评内容': '作为平遥的一家特色酒店，是一个理想的去处，具有山西特色，风味十足，古典大院不仅引起人们的浮想', '短评打分': 5}
{'短评内容': '院子超多，还大并且还有个大戏堂，晚饭时还可以边吃边看，很是热闹', '短评打分': 5}
{'短评内容': '服务热情周到，装修别致典雅，古色古香的大院，特别是雨天更是别有一番乐趣', '短评打分': 5}
{'短评内容': '有风味十足的土炕设计，十分具有民风特色，现代最求的就是特色强烈推荐', '短评打分': 5}
{'短评内容': '古典的四合院，体验大院风情，酒店装修典雅别致，设施齐备，还具有古色的棋盘，很是具有古色', '短评打分': 5}
