{'短评内容': '除了旁边的酒吧要唱到快11点钟外，其他时间都很安静', '短评打分': 5}
{'短评内容': '双床的床也大，2个人睡都没问题的', '短评打分': 5}
{'短评内容': '如果洗手间有个化妆的小镜子就更好了。老板很爱卫生，客房每天阿姨都会清扫，还会开门透气，早餐的味道也好', '短评打分': 5}
{'短评内容': '酒店位置好，可惜我去的时候在抽野鸭湖的水，说是要清理污泥，铺地砖让水质更好。7座以下的车可以在客栈门口停，以上的车就要走过河堤了。南海姑娘下水有些返臭，换气扇不能停，还要不停的冲马桶才好些', '短评打分': 5}
{'短评内容': '酒店位置好，视野开阔，交通便利', '短评打分': 5}
{'短评内容': '棒极了！温馨、舒适，家的感觉。', '短评打分': 5}
{'短评内容': '不错啊 客栈很干净古朴 穿越到古代的感觉 客栈视野很棒 老板员工热情好客 下次来腾冲玩还会选择住这家。', '短评打分': 5}
{'短评内容': '坐昆明的飞机到腾冲的机场。从机场直接去腾冲县政务中心办公。刚刚办完公事，老板的电话就到啦，在滇西博物馆上了老板的专车。然后直接就给拉到酒店啦，酒店的环境很不错，卫生条件洗漱用品都很好，我住的二楼这间风景特好。', '短评打分': 4}
{'短评内容': '黄金地段，正对野鸭湖。店家负责接机，还免费升级了房型。房间都是雕花家具，很上档次，服务热情，有求必应，唯一就是离酒吧比较近，晚上睡得早的可能会觉得吵。总之很满意，再来还会入住。', '短评打分': 5}
{'短评内容': '客栈这类酒店就是情、亲。有自己的装修特色，有老板的审美标准。硬件和规模宾馆肯定比不过！但我们靠别的取胜。入住挺舒服。', '短评打分': 4}
{'短评内容': '整体还是可以的就是卫生比较差，床头和窗帘灰太重，马桶会漏水。个人觉得如能把地毯换成大青石板做地砖会更符合这个客栈的风格', '短评打分': 4}
{'短评内容': '给朋友定的，自己不知具体情况', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '环境不错、中式风格，感觉很温馨！就是价格有点小贵。', '短评打分': 5}
{'短评内容': '管家人特好，服务特别贴心，谢谢啦！', '短评打分': 5}
