{'短评内容': '酒店卫生不错，挺安静，来瑞安经常住这里', '短评打分': 5}
{'短评内容': '都挺好的，下次再来', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店离高速出口很近，停车场很大。房间干净，卫生间挺大的可能是因为房间靠边上，窗户很多很明亮。设施等有点旧。', '短评打分': 4}
{'短评内容': '酒店太旧了，价格也贵', '短评打分': 3}
{'短评内容': '还不错可以满意', '短评打分': 5}
{'短评内容': '宾馆挺安静得，就是有蟑螂。。一晚上逮到三只，服务员不按商品标价收钱', '短评打分': 2}
{'短评内容': '房间很大 很宽敞不错', '短评打分': 5}
{'短评内容': '服务，环境，都还好。', '短评打分': 4}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '以前住的感觉设施好很多 装修都比较新的 不知道是不是携程上订的 桌椅看着很陈旧 厕所窗户都是坏的 空调也不太管用', '短评打分': 4}
{'短评内容': '性价比还是蛮高的', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '没什么特别的，入住多次。交通方便。', '短评打分': 5}
{'短评内容': '还算不错吧，经常住的酒店。', '短评打分': 3}
{'短评内容': '还算不错吧，经常住的酒店。', '短评打分': 3}
{'短评内容': '还算不错吧，经常住的酒店。', '短评打分': 3}
{'短评内容': '还算不错吧，经常住的酒店。', '短评打分': 3}
{'短评内容': '还可以吗！！！！！！！！！！！！！！！支持！', '短评打分': 5}
