{'descr': '暖和，安静，就是吃饭稍远', 'star': 5}
{'descr': '前台的姑娘微笑友好，服务周到。房间有窗户，空气清新。卫生间打扫的干干净净，会员晚上送牛奶，不收押金，进入客房设有门禁系统很安全，晚上有保安，很放心。可以免费停车，环境安静。房间干净卫生，装修简约，网络好用。设施设备齐全。', 'star': 5}
{'descr': '#位置好##服务好##房间大##干净卫生#大堂干净整洁，前台小姑娘个个长得水灵、漂亮，微笑为客服务，服务周到，服务热情。房间没味道，卫生间帮喷了空气清新剂，通风效果很好。喜欢7天的浴巾，都是有包装袋的，很干净，很卫生，很讲究，免查房，免收押金很方便，快捷，会员睡前还有牛奶赠送，每个门都设置有门禁，电梯也需要插卡进门，晚上有保安巡楼，安全，有保障，住这里很安心，舒适。在住院里可以免费停车，很好。环境', 'star': 5}
{'descr': '环境服务都很不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '卫生环境都不错', 'star': 5}
{'descr': '哈哈哈还好还好哈哈哈还好还好', 'star': 5}
{'descr': '东西很好，价格公道，值得信赖', 'star': 5}
{'descr': '就近住一下，服务态度还可以', 'star': 3}
{'descr': '一楼有点潮湿 其他还好 比较实惠。夏季需要多清理,否则房间潮湿住着很不舒服。周边属于北京较偏僻地区，根据', 'star': 4}
{'descr': '位置不错干净', 'star': 4}
{'descr': '房间很好，适合几个人一起住，就是没有早餐，离电通创意广场和798都比较近……推荐这家7天酒店出差住。', 'star': 5}
{'descr': '差', 'star': 3}
{'descr': '还不错 住着舒心', 'star': 5}
{'descr': '还不错～～离工作的地方有点远～～但是比周围的快捷酒店强，已经算性价比高的了', 'star': 4}
{'descr': '798周围各方面都很合适的酒店', 'star': 5}
{'descr': '周边啥都没有，不怎么方便，奇葩的事尽然还能停电', 'star': 3}
{'descr': '挺好', 'star': 4}
{'descr': '窗户漏风', 'star': 5}
