{'短评内容': '好，非常不错', '短评打分': 5}
{'短评内容': '前台服务态度太差了。', '短评打分': 3}
{'短评内容': '松陵饭店整体还不错，虽然有些陈旧，但是服务和地理位置还是非常吸引人的，关键是价格非常优惠，下次来吴江还是会入住。', '短评打分': 5}
{'短评内容': '酒店整体还不错，以前在这里住过，早餐也挺好，但是唯一不足的是这个单人房实在太少啦，卫生也不太好，建议大家还是住豪华大床房吧，不要贪这点小便宜。', '短评打分': 4}
{'短评内容': ' 酒店整体还算不错，就是有些旧了，晚上在酒店吃了顿自助餐，真不怎么样？我是实在受不了快点酒店的不隔音，所以才选择这家酒店来居住。', '短评打分': 5}
{'短评内容': '温馨干净，适合出差居住选择', '短评打分': 5}
{'短评内容': '老酒店了，设施老了一点，不过干净', '短评打分': 5}
{'短评内容': '常住酒店。不错', '短评打分': 5}
{'短评内容': '出差一直住这里。', '短评打分': 5}
{'短评内容': '出差一直住这里。早上结账也很快。', '短评打分': 5}
{'短评内容': '酒店总体形象不错.停车场不小，早餐虽然品种不多，但作的好吃，服务还可以。但有些细节还是不尽如人意的。具体说:1.酒店卫生间偏小。2.客房，卫生间装潢简单，设备老旧。3.过道挂满了各位领导人的照片，明显带有时代的痕迹。如果放一些同里古镇的美照，效果会更好。4.周边吃饭的地方较少，自己有一个吴江食府，价格偏贵，但口味不错。', '短评打分': 4}
{'短评内容': '环境不错，周边吃喝玩乐都很方便', '短评打分': 5}
{'短评内容': '无', '短评打分': 5}
{'短评内容': '晚上楼下有个房间特别吵，睡不着，房间不隔音。打前台电话，第一个没有得到解决，第二个打过去才有人去解决。前台男客服语言态度很不好，他说你急也没有用！diao！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店卫生清洁，服务热情适宜，出行方便，早歺不错，性价比高，适合商务出差!值得推荐!', '短评打分': 4}
{'短评内容': '蛮好的   吃饭很方便   内设酒店菜很地道', '短评打分': 5}
{'短评内容': '市中心位置，酒店服务好，闹中取静，不过夏季蚊子有点多。', '短评打分': 5}
{'短评内容': '酒店服务很赞！硬件条件也很不错！就是夏天蚊子很多。', '短评打分': 5}
{'短评内容': '酒店比较老，闹中取静。服务ok！喜欢早餐的老旧藤椅。', '短评打分': 5}
{'短评内容': '酒店位置适宜设施不错下次还会住。', '短评打分': 3}
{'短评内容': '酒店地处闹市设施不错。', '短评打分': 3}
{'短评内容': '早餐丰富 多样化 餐厅服务人员态度一般 是一般酒店管理死角吔是通病\n整体服务还行 住一楼晚上有野猫在叫吵死人啦', '短评打分': 5}
{'短评内容': '酒店比较老了,价格高了点,早餐一般,但在市中心,比较好!', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '酒店地处闹市，交通购物都很方便。', '短评打分': 3}
{'短评内容': '挂牌四星？无语。酒店大堂、餐饮还说得过去，但336的标间（C楼）就很难接受这是一家挂牌四星的酒店了。', '短评打分': 1}
{'短评内容': '服务不错，地理位置也不错，也有很多车位可以停车，早餐也很好。可是房间太小，我订的是商务大床间，可是房间真的是好袖珍、卫生间也是非常小，装修也很一般。房子的隔声效果非常差，我一早就听到隔壁房间豪爽的笑声和说话声。让人很难相信这是一个四星酒店，我还以为搞错，还去大堂看过，真的是挂的四星。总之一句话，在吴江这个县级市，这个性价比实在太差了。\n而且最近还在装修，很早就在敲，很吵。', '短评打分': 1}
{'短评内容': '服務人員親切..不過就是少了電梯...=.=', '短评打分': 5}
{'短评内容': '冬季空调效果不好，其余感觉还行，设施都陈旧了点，能住，但不要指望享受什么！', '短评打分': 5}
{'短评内容': '酒店很老了 房间很小 连瓶矿泉水也不送 真是小气', '短评打分': 1}
{'短评内容': '同事住过说不错！但住的时候给了很小的房间！还没有电梯！三楼要自己上去！刚好带了好重的东西！', '短评打分': 1}
{'短评内容': '位于松陵镇商业街旁边，位置较好，内部设施齐全，性价比较高，下次还会选', '短评打分': 5}
{'短评内容': '酒店位置不错,旁边就是步行街，闹中取静，总体不错', '短评打分': 5}
{'短评内容': '很好的房间，以后还要来，交通便利，购物方便', '短评打分': 3}
{'短评内容': '不错的酒店，性价比很高，下次还会入住，值得推荐', '短评打分': 5}
{'短评内容': '酒店停车很方便，有个很大的停车场，自驾过来非常方便。', '短评打分': 5}
{'短评内容': '早餐不错，很丰盛，口味也很好，酒店性价比较高，下次还会住的', '短评打分': 5}
{'短评内容': '酒店位置不错就在市中心，出行很方便，服务员态度热情有礼貌。房间很干净，住着蛮舒服的', '短评打分': 5}
{'短评内容': '房间很宽敞，比较适合商务人事入住，酒店位置不错，出门左拐就是步行街，住着很舒服', '短评打分': 5}
{'短评内容': '硬件很齐全，住宿环境不错，房间很干净，采光效果不错，值得一住', '短评打分': 5}
{'短评内容': '留给Elong的房间很小，而且无窗。经过与前台协调，调换了一个不错的房间，才留下来，我住的是三楼，但是没有电梯。前台的服务不错，态度比较好。酒店在吴江市区，吃住玩都很方便', '短评打分': 5}
{'短评内容': '酒店的建成时间比较早了，管理还是很不错的，房间很宽敞，当时入住的是大床房感觉还是很不错的。', '短评打分': 5}
{'短评内容': '这家店最好的是位置，在市中心距离步行街非常近，很好的地段上出行交通都很方便。', '短评打分': 5}
{'短评内容': '很好! 不比5星酒店差! 支持!!!', '短评打分': 5}
{'短评内容': '酒店太差了，设施很烂特别的旧，而且大早上6点就开始装修，吵的人家没法睡觉', '短评打分': 1}
{'短评内容': 'The room for Elong is too bad', '短评打分': 3}
