{'短评内容': '一分钱，一分货，不过我们要求也不高。', '短评打分': 4}
{'短评内容': '设施偏旧，服务跟环境尚可，这是第三次入住了', '短评打分': 5}
{'短评内容': '酒店挺好找的，进去就有电梯很方便，室内环境也还行，个人感觉空调不太给力，其他感觉还行，都在接受的范围内', '短评打分': 4}
{'短评内容': '价格经济，实惠', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错啊不错啊', '短评打分': 5}
{'短评内容': '这是我住过比较差的，空调不太制冷', '短评打分': 5}
{'短评内容': '可以很好', '短评打分': 5}
{'短评内容': '位置很好，交通也很方便，门口吃饭的地方也很多，前台服务人员态度蛮好的，房间里面卫生条件也还可以，布局合适，早餐也还行，总体满意，下次来这边还会入住！', '短评打分': 4}
{'短评内容': '没有早餐', '短评打分': 3}
{'短评内容': '房间蛮大，设施真心一般般，唯一的亮点就是床垫非常舒服，提前一个月订的，十一长假的价格还是平时的价，没涨，性价比超高。', '短评打分': 4}
{'短评内容': '房间蛮大，设施真心一般般，唯一的亮点就是床垫非常舒服，提前一个月订的，十一长假的价格还是平时的价，没涨，性价比超高。', '短评打分': 4}
{'短评内容': '很不错，很好！值得向朋友推荐！', '短评打分': 5}
{'短评内容': '感觉颜色搭配太冷', '短评打分': 4}
{'短评内容': '酒店环境不错，交通很方便。', '短评打分': 5}
{'短评内容': '酒店的位置很不错，交通也挺好！就是这次去空调前台服务员说在维修，这点体验不是很好，其他的都很不错', '短评打分': 5}
{'短评内容': '环境好，设施也不错，旁边就是西施故里', '短评打分': 3}
{'短评内容': '酒店的地理位置很靠近西施故里，和前台说的一样，步行只要五分钟就够了。但就我个人而言，入住房间和酒店图片介绍有稍大差别，没想象中那么cozy and comfortable. 不过，如果你只是为了去西施故里，那100多的价格还是可以接受的。', '短评打分': 1}
{'短评内容': '不错，想下次还住这里，尽管有点小远....', '短评打分': 5}
{'短评内容': '还好吧，就是空调···五楼太热了····早饭·····不解释', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '总的来说还可以，很干净！', '短评打分': 3}
{'短评内容': '很好很实惠，性价比高，应该说是诸暨最适合一般人的，特价房声音有点大，但对于这个价格和服务很划算了', '短评打分': 5}
{'短评内容': '刚入住，还不错，比较方便', '短评打分': 3}
{'短评内容': '房间还是比较宽敞的，大概15-16个平方，整理的干净整洁，洗漱卫生条件也不错，房间最迟12:30退房，也算比较人性化。', '短评打分': 5}
{'短评内容': '不错，挺合算的，特价房还是可以的，以后还会入住', '短评打分': 5}
{'短评内容': '还行。。电视不太好 就十几个台  湖南卫视都看不了   早餐在丰富些就好了。。', '短评打分': 1}
{'短评内容': '房间很干净，也很大，边上就是西施故里，散步很方便，总之，比较满意的', '短评打分': 5}
{'短评内容': '环境还可以，卫生什么的也还OK，就是觉得不太温馨，没有一种家的感觉，没有格林豪泰的感觉好，但是随便住住还算可以', '短评打分': 5}
{'短评内容': '位置不错，西施故里就在旁边，傍晚可以散散步', '短评打分': 5}
{'短评内容': '很好，早餐简单', '短评打分': 3}
{'短评内容': '价格实惠，就在西施故里景区边上，离市中心有点远。', '短评打分': 5}
{'短评内容': '环境很好，房间超大，就是离繁华商业区远点', '短评打分': 5}
{'短评内容': '房间一般，空调不是很好，暖气不足，服务人员还是比较好的，就地好多新人。', '短评打分': 1}
{'短评内容': '经济实惠，服务态度好，整体环境不错，位于西施故里，交通便利', '短评打分': 5}
{'短评内容': '特价房空间大，性价比不错，唯空调噪音较大！', '短评打分': 5}
{'短评内容': '位置很好，价格便宜。房内面积挺大，还可以。', '短评打分': 5}
{'短评内容': '地理位置很好，到西施故里很方便，楼下吃饭也很方便，就是装修稍微平实了点', '短评打分': 5}
{'短评内容': ' 设施陈旧些 木有浴帽 借个电吹风还得额外押金 麻烦 晚上空调显得有点嘈杂 就是地理位置不错 还早餐还算OK 了', '短评打分': 3}
{'短评内容': '服务很好 交通很方便，到火车站坐公车比较远 大概要一个小时', '短评打分': 5}
{'短评内容': '特价房单人住比较实惠，唯房顶的中央空调主机噪音较大！', '短评打分': 5}
{'短评内容': '特价房很值，就是中央空调吵了点。附近就是西施故里，很方便。', '短评打分': 5}
{'短评内容': '已成功入住谢谢', '短评打分': 3}
{'短评内容': '性价比高的经济型酒店，房间空间也比较大，每次去诸暨基本上都会住这一家的', '短评打分': 5}
{'短评内容': '性价比很高的酒店，很满意，还是不错的，下次还会来，推荐给大家啊', '短评打分': 5}
{'短评内容': '很好，很舒适，特价房就是中央空调有点声音，不过没多大关系', '短评打分': 5}
{'短评内容': '物美价廉，159的房间返30还送双份早餐，太超值了。。\n旁边就是西施故里，对面有火车票代售点，楼下有很好吃的排骨锅，值得推荐！', '短评打分': 5}
{'短评内容': '酒店在西施故里旁边，环境很好，离市区的几大购物卖场也都蛮近，硬件设施也都可以，服务态度一般！', '短评打分': 5}
{'短评内容': '总体还不错 特价房的空调噪音也在可接受范围之内 房间卫生干净 下次还会入住', '短评打分': 5}
{'短评内容': '该酒店干净舒适，房间空间较大，设施完善，但略显陈旧，地段尚可，性价比较高，入住体验一般。', '短评打分': 5}
{'短评内容': '该酒店房间干净舒适，空间较大，设施完善，不过稍显陈旧，地段尚佳，入住体验一般。', '短评打分': 5}
{'短评内容': ' 很好，比较方便的啊阿萨阿东方电气驱动器的驱动器但却对', '短评打分': 5}
{'短评内容': '特价房因不送早餐卷，故单人住比较合算。唯噪音有点大！', '短评打分': 5}
{'短评内容': '还不错 就是电视还是大头的 要是换成液晶就更好了', '短评打分': 5}
{'短评内容': '地理位置还算方便，有锦江会员卡的话还能更便宜一些~', '短评打分': 5}
{'短评内容': '还不错，挺干净的，就是房间不太隔音，外面不吵的时候真不错。', '短评打分': 5}
{'短评内容': '房间非常干净，服务很热情', '短评打分': 3}
{'短评内容': '特价房，有中央空调的声音，睡眠质量好的人影响不大', '短评打分': 3}
{'短评内容': '买的是特价房，返现后只要八十八一天，房间很大，很划算，比较卫生，服务态度也不错，这个价位来说已经是物超所值了，附近还有一家海底捞哦，嘿嘿，网速很给力，灰常给力，希望特价房的活动可以继续，还会再来住的，唯一不足就是空调不能调，暖气太足了。', '短评打分': 5}
{'短评内容': '酒店交通方便，房间干净，服务热情。不足：房间隔音很长很差，早餐东西少， 没有什么挑选。下次不住了。', '短评打分': 3}
{'短评内容': '环境好，停车方便，早餐还可以，值得推荐。', '短评打分': 3}
