{'短评内容': 'hh...', '短评打分': 1}
{'短评内容': '房间有点小，但是对于79这样的价格也可以了，麻雀虽小但五藏齐全，很方便就在东站旁边，唯一缺点就是刚装修有味道！', '短评打分': 5}
{'短评内容': '一言难尽。房间太小了吧！隔音还这么差！', '短评打分': 3}
{'短评内容': '也就是勉强找个睡觉的床，其他就别想啦', '短评打分': 3}
{'短评内容': '很好的一次住宿体验 ', '短评打分': 5}
{'短评内容': '环境不错，交通也方便', '短评打分': 4}
{'短评内容': '还可以吧，住过两次，下次也许还会去的', '短评打分': 5}
{'短评内容': '大明湖畔找不见夏雨荷地方挺好。', '短评打分': 4}
{'短评内容': '房间太小 隔音不好。很一般 还不便宜', '短评打分': 3}
{'短评内容': '不知道是不是景区周边，还是节假日。反正自我感觉这个价位不值。', '短评打分': 3}
{'短评内容': '价格很实惠，紧靠大明湖北门，房间不大，但很干净，装修很温馨，里面的网络电视很给力，就是木板墙，不太隔音，在走廊里有点声音就听的真真的，不知道是打扫卫生的还是房客，一到下午三四点钟和早晨五六点钟左右就特别吵，吹风机在走廊里不太方便，其他都还好。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '中规中矩', '短评打分': 3}
{'短评内容': '干净温馨，对面就是大明湖，窗户望去湖面波光粼粼，工作人员也都很热情。好评！', '短评打分': 3}
