{'短评内容': '很不错的地方，下次还去', '短评打分': 5}
{'短评内容': '一个很温馨浪漫的别墅，很有家的感觉！管家仙树超级棒！', '短评打分': 5}
{'短评内容': '管家服务很贴心，虽然房屋装修有点陈旧，但不影响入住感', '短评打分': 5}
{'短评内容': '两个字形容～惊艳！大理唯一让我喜欢的只有天籁！', '短评打分': 5}
{'短评内容': '服务很好很热情', '短评打分': 5}
{'短评内容': '美得根本无法用九张照片表示。没有感觉是酒店，就觉得是自己梦想已久的家一样，一共三个大套间，大厨房，大客厅，大书房，背山面海的海景大露台，舒服的sun room, 超大的花园，优雅的海景茶室，连大浴室都可以看着洱海bath, 还有贴心的管家润梅和仙树，给我们一家三口做美味的早餐和随时随刻的照顾。住了三天都不想走了，足不出户都可以完美的度假。绝对要找机会再次回去！ 谢谢天籁。', '短评打分': 5}
{'短评内容': '很漂亮的地方。适合几个好友一块入住', '短评打分': 5}
{'短评内容': '下次来，还选他，酒店就是小景区，留恋不想走', '短评打分': 5}
{'短评内容': '家的感觉，特别适合一家老小入住。酒店的房间布局很有特点，最喜欢露台和餐厅。服务员很亲切，要是价格再便宜点，真想住久点。', '短评打分': 5}
{'短评内容': '完全不值，床硬到半死', '短评打分': 1}
{'短评内容': '独门独户800多平方米一家人住，私密性超级好，管家服务也非常好，下午茶水果、零食。下次去还会入住。', '短评打分': 5}
