{'短评内容': '非常好的酒店，性价比非常高', '短评打分': 5}
{'短评内容': '郭花芳态度很好', '短评打分': 5}
{'短评内容': 'GRO，李婷婷和郭华芳服务热情，态度和蔼，给32个赞！下次来甬会再来，谢谢！', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '管芬菲不错贾旭阳服务好', '短评打分': 5}
{'短评内容': '管芬菲gro', '短评打分': 5}
{'短评内容': '酒店非常好', '短评打分': 5}
{'短评内容': '酒店房间很好 管芬菲不错', '短评打分': 5}
{'短评内容': '还不错，有泳池，干净舒适，下次去宁波还是考虑光顾', '短评打分': 5}
{'短评内容': '好好好，价格比梁建章实惠，好！', '短评打分': 5}
{'短评内容': '非常好，值得购买，赞一个！一直住这酒店', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '还不错，要说好也谈不上，需要提醒的是停车要收费的。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '全网最低价格了 很好', '短评打分': 5}
{'短评内容': '价格合理，非常实惠，还会再买', '短评打分': 5}
{'短评内容': '好的不得了，值得购买，下次继续', '短评打分': 5}
{'短评内容': '好的不得了，值得购买，下次继续', '短评打分': 5}
{'短评内容': '宾馆不错，服务态度相当好，但是稍微有点冷', '短评打分': 5}
{'短评内容': '京东订房间真是太方便了，下次一定还要来', '短评打分': 5}
{'短评内容': '总体来说这个价格能这样不错了', '短评打分': 3}
{'短评内容': '感觉还可以，一只很期待', '短评打分': 5}
{'短评内容': '非常棒的酒店，性价比高', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间挺好的 生活用品也很齐套 设备也是比较新的 早上早点也很丰富 就是房间的床太软了 第二天起来有点累', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还哦不错', '短评打分': 5}
{'短评内容': '软硬件都很不错，非常适合商务。每次有重要客户来我们都会安排在那里。停车，吃饭都非常方便，楼下还有一家星巴克，自助餐也是非常的不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店服务好，餐饮也好吃，不错的酒店', '短评打分': 5}
{'短评内容': '硬件条件不错，房间大', '短评打分': 5}
{'短评内容': '相当不错的五星级宾馆，房间，卫生间，洗澡，都很好，水大，环境一流，早助餐也丰富，退房结帐也相当快。来宁波还首选！', '短评打分': 5}
