{'短评内容': '网络比较慢', '短评打分': 4}
{'短评内容': '浴室的地漏是不是有点堵了，洗个澡水一直下不去，都快水漫金山了，床上的毛巾好旧了，都不是白色的了，该换还是换换吧。早餐一般，有停车场。', '短评打分': 3}
{'短评内容': '很好，不错，就是隔音不好', '短评打分': 5}
{'短评内容': '兴平最好的酒店，一次性拖鞋都收费，而且房间是隔断的，很失望。', '短评打分': 2}
{'短评内容': '早餐及其简单，连水果都没有。房间里，茶叶都收费。连那种小包包的都收费。虽然有餐厅，点个小炒肉32元，肉没超过十片，米饭还五元一碗。旁边是个广场，那个噪音简直想杀人。再加上修路，感觉楼都要震塌了。', '短评打分': 3}
{'短评内容': '四星酒店，居然还不能上网，这样的酒店还值300多，服务员的态度也是，反正可以接电话，就是不能上网，上网可以，到大厅去', '短评打分': 3}
{'短评内容': '整體環境還可以', '短评打分': 5}
{'短评内容': '房间的床单很干净，浴巾和毛巾应该也是干净的，只是有点儿发黑了，临近马路的房间隔音很差，晚上是货车，早上是厂子的音乐，很难有个好睡眠', '短评打分': 3}
{'短评内容': '还可以吧 吃东西也很实惠', '短评打分': 5}
{'短评内容': '房间淋浴房无法排水，靠街的房间无法安静。', '短评打分': 4}
{'短评内容': '基本满意，', '短评打分': 3}
{'短评内容': '酒店位于一个小县城，朋友说这是那里最好的，号称四星级，不过去了真的失望，比快捷酒店都差，不隔音，晚上看球赛间歇上厕所，听到隔壁很大的笑声，可见我自己的看球声也会影响别人，环境也一般，整体感觉跟价格的差距太大了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务良好，下次还会入住。', '短评打分': 4}
{'短评内容': '基本算是兴平最好的酒店了，楼下就有餐厅，也有烧烤等。对面是大广场，晚上跳舞的较多，稍微有点吵，不靠近路边就不影响，总体还不错。', '短评打分': 4}
{'短评内容': ' 酒店比较新，位置离兴平市较远，打车要十元钱。高档装修，合理价位，性价比还是不错的，就是洗澡水温度差一些。', '短评打分': 3}
{'短评内容': '兴平最好的酒店，交通便利，环境很好。推荐', '短评打分': 5}
{'短评内容': '环境不错。服务态度好！', '短评打分': 3}
{'短评内容': '这个酒店还很不错,性价比较高.', '短评打分': 3}
{'短评内容': '酒店干净整洁，房内设施也比较齐全，住的很舒服，如果西安没有房子又有车的话这里是不错的选择', '短评打分': 5}
{'短评内容': '见之前的评价。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店非常新，在兴平市区的西部，离中心比较远。\n先说缺点：房间里有好多蛐蛐，酒店好像没什么办法；\n再说优点：酒店服务比较周到，尤其是客房服务中心的服务员，非常耐心，态度非常好，赞一个，下次还会入住。', '短评打分': 5}
{'短评内容': '在兴平这个地方 只有这家酒店还算过的去，挺 干净的但是洗澡水不是太热。', '短评打分': 5}
