{'短评内容': '可以！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '热水基本相当于冷水，说多放十分钟就好了，结果还是那样，的确很尴尬。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '订的时候写经量安排无烟房，但房间烟味特别重，电视、台灯都是没用的。热水要很晚才有，靠近火车站声音比较大。', '短评打分': 3}
{'短评内容': '挺好的酒店  离火车站很近', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '酒店离火车站很近，房间干净很大，性价比高，满意。', '短评打分': 5}
{'短评内容': '去马鞍山有事，要求不高的话可以住', '短评打分': 5}
{'短评内容': '设施太老太破了，但是便宜地段好，性价比不错', '短评打分': 4}
{'短评内容': '还行吧，设施确实太老了，但是便宜啊而且地段不错', '短评打分': 4}
{'短评内容': '卫生不好', '短评打分': 2}
{'短评内容': '交通便利，就是去的时候电梯坏了，好评', '短评打分': 5}
{'短评内容': '除了有点吵，性价比还可以……。', '短评打分': 4}
{'短评内容': '很好很好很好很棒很棒很棒', '短评打分': 3}
{'短评内容': '很好很棒棒棒棒棒棒棒棒棒棒', '短评打分': 3}
{'短评内容': '方便，干净。服务好。火车站出来左转200-300米，就能看到房顶店招牌。 建筑虽然旧了，但大厅，走廊都很干净。房间内被套，枕套都很白，很新，干净。我最喜欢这一点。拖鞋是毛巾面与底，比有的酒店是纸的好多了。浴室大小毛巾都很白，很新，干净。非常好。服务也好， WIFI  都有， 我们是老人，还帮忙开通。帮忙指路，那儿有吃的，买的。交通的。我们清早天没亮就起床退房，一叫就起来，毫无怨言。我们还不好意思，', '短评打分': 5}
{'短评内容': ' 性价比还行，房间还算大，唯一问题是不知福哪里嗡嗡响，低频噪音听着难受，窗户锁扣坏了，没法锁上。', '短评打分': 3}
{'短评内容': '入住率明显不高，服务态度一般，房间里硬件差，水压小，高层有缺热水的现象。最差的是早餐，免费的都吃不下。', '短评打分': 1}
{'短评内容': '酒店新装修，设备全新，早餐具有地方特色，地方宽敞。唯一小缺点，新装修的缘故，还有点味道。离火车站较近，下次还去。', '短评打分': 5}
