{'短评内容': '离公司近的', '短评打分': 5}
{'短评内容': '现在装修改名字了，格局偏小，装修了下更舒服了', '短评打分': 5}
{'短评内容': '味道很重', '短评打分': 1}
{'短评内容': '交通便利，房间还可以', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '出行方便，出差首先选择，附近好', '短评打分': 5}
{'短评内容': '墙面好脏', '短评打分': 3}
{'短评内容': '房间比较大，一个人住舒服', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '住的还挺好，房间宽敞，价格不贵', '短评打分': 5}
{'短评内容': '店里环境一般，服务还可以，价格实惠。', '短评打分': 4}
{'短评内容': '居然早上睡觉有人可以从外面开门进来，吓死你爸爸了，退房的时候前台还少给了我一百块押金，幸好我说出来了才给我，差评不解释。', '短评打分': 1}
{'短评内容': '还不错吧，可惜外面厨房声音有点大。', '短评打分': 4}
