{'短评内容': '不行', '短评打分': 5}
{'短评内容': '早餐不知道', '短评打分': 4}
{'短评内容': '有点旧', '短评打分': 4}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '服务、卫生、周边环境都好，最关键的是离城中心不远，距火车站不足一千米，步行可以。这个位置，这个价，没什么好计较了。', '短评打分': 5}
{'短评内容': '前台接待员的服务很差。自行取消我的订单', '短评打分': 3}
{'短评内容': '条件真不咋地，光线又不好', '短评打分': 5}
{'短评内容': '很差！真的是家黑店！！大家一定不要住！明明浴室的淋浴头是坏的，我们为了不麻烦客服没说，等退房时竟然让我们赔钱，前台态度差还骂骂咧咧的。自己宾馆的基础设施差，就找机会坑顾客，这样的宾馆就应该早点关门！没有良心的服务人员就应该遭报应！大家一定不要住这里，离火车站近的宾馆很多，遇见坑人的黑心宾馆就会徒增路途烦恼。希望携程快点把这家宾馆消除掉，不要再坑到其他人了。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧。挺温馨', '短评打分': 3}
{'短评内容': '此酒店还算干净，但门前在修地铁，太吵，大堂服务员态度太差，开发票时要客人在空白发票上签名，不知是什么目的。', '短评打分': 5}
{'短评内容': '虽然交通便利，但设施确实不怎么的，再就是服务跟不上', '短评打分': 1}
{'短评内容': '酒店一般\n比起两年前是差了价格是贵了硬件是差了', '短评打分': 5}
{'短评内容': '和一般的酒店相比，总体来说还是不错的就是电视的节目少了点吗，有时候热水供应不及时，但服务和价格相对来说，性价比还不错，酒店的位置好，离火车站蛮近，附近有商场，但是只有卖服装和化妆品的，没有那种综合性商场！！！酒店的日常生活用品有配备，卫生还不错！荐！！！', '短评打分': 5}
{'短评内容': '位置好找。交通方便.态度还行。就是房间有点小。', '短评打分': 5}
{'短评内容': '交通方便，就是酒店门口在挖地铁，乱。。。', '短评打分': 5}
{'短评内容': '优点：离火车站近\n缺点：房间太小，服务差，没有热水，没有饮水机，没有浴巾，被子和毯子都很薄！', '短评打分': 1}
{'短评内容': '帮二老定的，位置很好，二老很满意。超值。下次有机会去昆明还选这里。', '短评打分': 5}
{'短评内容': '环境还行，价格便宜', '短评打分': 3}
{'短评内容': '以入住，明天30日在住一晚，帮忙再续一天，等待回复。', '短评打分': 3}
{'短评内容': '距离火车站很近的一家中型酒店，和私人开设的相比还是显得正规一点，普通标间房间设施比较简单，但是质量都还比较好，卫生间用上了toto的卫具，房间也比较干净，价格还算合理。', '短评打分': 5}
{'短评内容': '酒店总体还可以，就是有些蚊子，另外北京路在修地铁 交通有些不便！', '短评打分': 5}
{'短评内容': '很不错的酒店，位置很好找，而且每天都打扫的很干净~！！', '短评打分': 5}
{'短评内容': '入住较晚，退房较早，没太细看。还算物有所值吧', '短评打分': 5}
{'短评内容': '房间虽然紧凑些，但是该有的也都有了，住得地方也很安静,交通也方便.', '短评打分': 3}
{'短评内容': '离昆明火车站比较近。周边的超市不多，买东西不是很方便，好像有个德克士就在外面。酒店里的设施还可以。服务员态度挺好的。', '短评打分': 5}
{'短评内容': 'Excellent location not far from the train station.  Resonable quiet apart from the noise caused by the other Chinese Guests thinking the hotel is their home making so much noise & always shouting loud', '短评打分': 5}
{'短评内容': '8月19日下午预订了当天的A标准间，后来由于晚到的原因让酒店的帮我留到7点。后来6点半到了之后，我预订的房间没有了，然后酒店给我换了一间标准稍微高点的房间还是按照原来我订房间的标准来付房费。。总之，环境还好。晚上还算比较安静。。只是酒店的前台跟房间有一点距离，但是完全不影响入住。', '短评打分': 5}
{'短评内容': '交通方便,服务亲切,卫生尚可,物有所值...', '短评打分': 5}
{'短评内容': '各方面都不错,有两个问题,一是网络没通(我住的那天),二是隔音不太好,不知是不是从衣柜那传的声音', '短评打分': 5}
{'短评内容': '电视频道很少。卫生间没热水还时不时流水出来。打了半天电话也打不出去问下服务员才知道打不了外线电话', '短评打分': 1}
{'短评内容': '比较一般的酒店，东西很老，距离火车站比较近，没什么特色。', '短评打分': 1}
{'短评内容': '交通便利，环境较好，停车方便，服务较好。', '短评打分': 5}
{'短评内容': '交通便利，环境较好，服务较好，停车也方便。', '短评打分': 5}
{'短评内容': '环境一般，离火车站挺近，还算方便，但是会比较吵', '短评打分': 5}
{'短评内容': 'very nice and clean plus quite quiet', '短评打分': 5}
{'短评内容': '很不错，服务态度，很好交通也很方便。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店干净价钱合理', '短评打分': 3}
{'短评内容': '入住一间，取消了一间', '短评打分': 3}
{'短评内容': '酒店干净，服务员态度不错。离火车站近。', '短评打分': 3}
{'短评内容': '给朋友定的 还不错  就是没有空调的 大概昆明天气不需要的吧', '短评打分': 5}
{'短评内容': '无空调风扇大灯蚊子多,不过这个价位还能接受,干净整洁舒适', '短评打分': 3}
{'短评内容': '如约入住了，什么时候退预授权款给我们哇', '短评打分': 3}
{'短评内容': '距离每个景点路线都很近，右边就是火车站 不过就是蚊子有点多。', '短评打分': 3}
{'短评内容': '上次跟LG去云南玩的时候，在昆明住的这里。\n\n地方有点不起眼，但是昆明的司机好像挺熟悉的。这里离火车站不远，步行大概十几分钟就到了。离昆明的一条什么女人街也不远，那里有很多小店，还有个地下商场，里面卖的都是年轻人穿的便宜的服饰。附近也有不少小饭店，味道都很好。\n\n房间挺一般的，面积不算小，不过看上去有点旧。说是有无线上网，但是根本就连不上，打电话去前台问，他们让我们打开门试试看，但是试了半天都连不', '短评打分': 5}
{'短评内容': '酒店很方便因为离火车站很近。网络太慢了，可是在别的方面房间很好。', '短评打分': 5}
{'短评内容': '还有忘了评论的就是，我当时订的是双人间，结果去到没了，只有单人的，不过也不错，总体感觉比双人的好，因为是订了两天，是隔天的。房间内设备一般，而且隔音是有点不好...还能接受吧...地段是不错，但是要是想提高价格，那么室内装修肯定要重新设计一下。。。', '短评打分': 5}
{'短评内容': '离火车站近，下火车以后挺方便的，也挺好找，但是唯一不足的是，装修已经有一定的岁月了，也应该要更新了...一般来说，还可以接受，只要价格不要涨得太高...', '短评打分': 5}
{'短评内容': '房间大小合适，25平方比较舒适。但是房间冷，没有空调。被子薄，门把手是坏的，就是很活动，基本没有着力点的那种坏，反正我每次都是找服务人员帮忙开的。除了打扫的2个小妹，其他服务人员态度很差很差，绝对不会给你个好脸色，不知道是不是因为我们早上到的缘故。设备一般，大概8成新，看得出是新装修的，但是地毯啊，始终怨念，觉得有点不干净。\n值得称赞的是水比较好，比较大，我觉得温度刚好，妈妈觉得有点凉了。 ', '短评打分': 5}
{'短评内容': '帮朋友订的，位置不错，离火车站近，交通方便！', '短评打分': 5}
{'短评内容': '酒店不错，位置好，离火车站近，很安静，就是感觉价格贵了点，值得推荐。', '短评打分': 5}
{'短评内容': '我朋友说，硬件一般，不过位置在小区里面，很安静。', '短评打分': 5}
{'短评内容': '二三楼就是房间小点，其它都很不错 还有就是 没有吹风机 这让我不可思议', '短评打分': 5}
{'短评内容': '环境不错的，离飞机场火车站都很近，下次还会来。', '短评打分': 5}
{'短评内容': '个人旅游入住环境可以，交通便利，周围购物餐饮业很方便！', '短评打分': 5}
{'短评内容': '酒店离火车站近，公交也非常方便，前台服务员很热情。房间也不错。物有所值。', '短评打分': 5}
{'短评内容': '地理位置不错.设施条件也还可以.以后还是会考虑的临时住处...', '短评打分': 5}
{'短评内容': '总体来说物有所值，位置还算好找，离火车站特别近，赶车很方便。但我住的那间房，隔音不是太好，其他方面还是不错滴。', '短评打分': 5}
{'短评内容': '还算干净，性价比比较高，离火车站也近,直接走路过去就可以的了，打的费都省了', '短评打分': 5}
{'短评内容': '酒店还不错，挺干净，位置离火车站也不远。就是不太好找', '短评打分': 5}
{'短评内容': '酒店离火车站还是比较近，也比较好找。\n不好的地方就是热水不热，还没有空调，不适合冬季入住。', '短评打分': 5}
{'短评内容': '房子旧了点，附近工地机器响，但是热水很给力，位置也不错，离火车站不远，步行去东风广场南屏街也一会就到了。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '服务一般，实际价格比预定价便宜', '短评打分': 3}
{'短评内容': '还行吧，值那个价钱。', '短评打分': 3}
{'短评内容': '条件一班，卫生还可以。对中转，乘车的旅客还是可以的', '短评打分': 5}
{'短评内容': '服务一般，结账是出错，后改正。不提供热水，无法洗澡。整体感受不好，不会第二次入住。', '短评打分': 1}
{'短评内容': '离火车站很近，房间还可以，就是门口在修地铁，不是很好找。', '短评打分': 5}
{'短评内容': '步行到火车站不到10分钟，比较近，还算干净，热水也还可以不过1月份洗澡还是有的冷的，住的也有点冷，酒店有点旧，优点是比较安静，反正一分价钱一分货，凑合吧', '短评打分': 5}
{'短评内容': '室温太低，两床被不够！没有热水，两天未洗澡！房间内插座基本都接触不良。甚至在电视旁边发现了一只小强！', '短评打分': 1}
{'短评内容': '  价廉物美。。美中不足是热水没那么热。。插座只能用一个。。', '短评打分': 3}
{'短评内容': '环境不错，比较干净，性价比还可以，作为火车站附近的酒店，算划算的。', '短评打分': 5}
{'短评内容': '位置还可以，服务有待提高，希望昆明尽快修好地铁啊', '短评打分': 1}
{'短评内容': '卫生很好 昆明最便宜的酒店强烈推介\n我会推介的就说明没问题以前都点评过来怎么现在又来一次郁闷', '短评打分': 5}
{'短评内容': 'very nice hotel closed to the Kunming main railway station. ', '短评打分': 5}
{'短评内容': '晚上11点多到达昆明，第二天一早8点的飞机去丽江，只是为了转机才定。不过觉得酒店还不错，离机场不远，早上打车也很方便，但是隔音非常不好，隔壁说话厅的一清二楚，主要还是价格优势。', '短评打分': 5}
{'短评内容': '宾馆里好大潮味儿啊其它还好', '短评打分': 3}
{'短评内容': '位于北京路与环城路交叉口，性能价比还可以，酒店一面没有阳光照射。', '短评打分': 5}
{'短评内容': '总体来说酒店服务还好的，下次应当还去这个酒店，经济，实惠。', '短评打分': 5}
{'短评内容': '价格合适，离火车站近。但洗澡水放了很久还是很冷。总体情况不错！态度很好！', '短评打分': 5}
{'短评内容': '第二次住了，感觉还行。交通还算便利，就是只有5-6楼才可上网，且网速很慢', '短评打分': 5}
{'短评内容': '酒店设施一般，没有空调，但离火车站很近，方便坐火车', '短评打分': 5}
{'短评内容': '一般啦，这个价位就这个货，我就是觉得便宜所以定的，仅供参考', '短评打分': 1}
{'短评内容': '应该是新装修的，设施都还很新，位置就在北京路上，很好找，性价比很高', '短评打分': 5}
{'短评内容': '就在佳华广场金龙饭店对面，前台在门口，实际住在里面，还算安静，交通便利，唯一不足的是晚上会有不明机器的声音，声音不大，能入睡。总的来说是经济酒店的好选择。', '短评打分': 5}
{'短评内容': '10.10号住了一晚，感觉不错。交通很方便，到火车站很近，对第二天赶火车的驴友来说很方便，出门就能看到不远处的火车站，前台服务也很好，帮忙保管了朋友帮忙定点火车票，如果能代订火车票就更好啦！', '短评打分': 5}
{'短评内容': '地方还可以，就是门前修路，难找', '短评打分': 5}
{'短评内容': '很不错的一家酒店，很干净，里面的东西感觉也很新。性价比非常的高。地理位置也不错，除了没空调，但我们是10月初去的，也无所谓', '短评打分': 5}
{'短评内容': '经济实惠，就是房间风扇都没有，太热咯\r\n', '短评打分': 3}
{'短评内容': '经济实惠，就是房间风扇都没有，太热咯\r\n', '短评打分': 3}
{'短评内容': '距离火车站比较近,步行也就是5分钟的时间.\r\n门面很明显,好找.\r\n住宿区要往里走20米,晚上很安静,不错.\r\n房间不大,但一个人住足可以了.\r\n目前门口在修路,车进不去.以后路修好了应很方便.\r\n推荐给在火车站转车需要过夜的时候选择.', '短评打分': 5}
{'短评内容': '就是离火车站近，其他的房间设施和卫生都很一般。', '短评打分': 1}
{'短评内容': '+位置很不錯，離昆明站近，房間乾淨。 ', '短评打分': 5}
{'短评内容': '半夜从机场打的过去15元,酒店门口在修路,不是很好找.设施一般,算干净，这个价格可以了,适合转机,短暂停留的朋友.', '短评打分': 5}
{'短评内容': '洗澡水很大，这点不错！服务态度很好，以后还会去！', '短评打分': 5}
{'短评内容': '性价比不高，最好不去，住了才感觉上当了，朋友们以后最好不要订此酒店。', '短评打分': 1}
{'短评内容': '虽然装修老点儿，但是也挺干净，对得起这价格。唯一的缺点是网络信号不好，只有四楼、五楼楼梯间附件才有稳定的无线信号。', '短评打分': 3}
{'短评内容': ' 前台很有礼貌', '短评打分': 5}
{'短评内容': '不错，蛮舒适的~~~~就是房间的隔音效果不好\n而且感觉这样的房间这个价格有些贵了~~', '短评打分': 5}
{'短评内容': '不错，房间不大，但位置和交通方便，就是门前地铁施工，影响较大', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '虽然装修有点儿旧，但也还算干净，值得这个价了。最大遗憾就是4楼以下上不了网，无线信号弱到无法连接……', '短评打分': 3}
{'短评内容': '干净性价比高', '短评打分': 5}
{'短评内容': '酒店还比较干净，郁闷的是没法上网，无线信号太差', '短评打分': 5}
{'短评内容': '酒店服务一般，位置离火车站很近，在院子里面，很安静。', '短评打分': 5}
{'短评内容': '电视居然不是数字的，才有12个频道，一般般啦', '短评打分': 5}
{'短评内容': '还好，便宜，不过房间有股异味。', '短评打分': 5}
{'短评内容': '给个大拇指，赞一下，下次肯定还会来住的，我也会向我的朋友介绍的。', '短评打分': 5}
{'短评内容': '离火车站很近，位置不错，还不算太吵，算是性价比比较高，值得推荐', '短评打分': 1}
{'短评内容': '位置方便，不过房间很旧，家具有烂的.窗户比较破，对面是工厂厂房和宿舍。', '短评打分': 1}
{'短评内容': '还可以，关键是离火车站很近，走路不用十分钟，感觉挺干净的', '短评打分': 5}
{'短评内容': '地理位置好,方便坐火车，价格大众化，服务还好', '短评打分': 5}
{'短评内容': '位置不错，还算干净，离火车站比较近，来往方便，', '短评打分': 5}
{'短评内容': '离火车站很近，适合旅行的朋友，方便坐火车，走几百米就到车站了。提供的无线宽带有些房间覆盖不好，很难上上去。性价比很高，所有在那边住了8天，下次还来。', '短评打分': 3}
{'短评内容': '离火车站很近，适合旅行的朋友，方便坐火车，走几百米就到车站了。提供的无线宽带有些房间覆盖不好，很难上上去。性价比很高，下次还来。', '短评打分': 3}
{'短评内容': '如果网络可以在好一点就更好了。房间离楼梯远了，信号就比较弱。', '短评打分': 5}
{'短评内容': '离火车站很近，乘坐火车很方便，价格便宜，这些就够了。', '短评打分': 5}
{'短评内容': '性价比不错，离火车站很近，交通挺方便的！下次还可以选择', '短评打分': 5}
{'短评内容': '好！非常满意。', '短评打分': 5}
{'短评内容': '不错的酒店，离火车站特别近，从酒店出来走路也就10分钟就可到达昆明火车站，离机场也不远，打的10元，下次去昆明还会住这儿', '短评打分': 3}
{'短评内容': '不错的酒店，离火车站特别近，从酒店出来走路也就10分钟就可到达昆明火车站，离机场也不远，打的10元，下次去昆明还会住这儿', '短评打分': 3}
{'短评内容': '不错的住处，离飞机场和火车站都非常近，卫生条件也不错，比较理想，性价比也不错，下次来昆明还会住的', '短评打分': 5}
{'短评内容': '离市区很多地方都很近，挺方便的，旁边是火车站，离机场也近', '短评打分': 5}
{'短评内容': '感觉不好，设施都比较老，服务态度也一般，总之感觉不好，地理位置不错', '短评打分': 3}
{'短评内容': '感觉不好，设施都比较老，服务态度也一般，总之感觉不好', '短评打分': 1}
{'短评内容': '离火车站很近，房间很大，卫生条件又好，价格很低廉，我觉得非常实惠，一定是我以后的再次选择。', '短评打分': 5}
{'短评内容': '这家酒店位置实在很好，离火车站也就100米~200米的距离，走路只要十分钟左右，从火车站坐公交车到机场也只需要十分钟时间。我住的是小标间，房间大小还可以，各方面条件都很好，个人感觉性价比超高！', '短评打分': 5}
