{'短评内容': '干净整洁6666666666666666', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '交通方便，不错', '短评打分': 4}
{'短评内容': '早餐还可以', '短评打分': 4}
{'短评内容': '还不错、感觉挺好的酒店', '短评打分': 5}
{'短评内容': '酒店很好的', '短评打分': 5}
{'短评内容': '非常满意，环境不错。', '短评打分': 5}
{'短评内容': '环境挺好的，交通方便，吃饭也方便', '短评打分': 5}
{'短评内容': '这次是商务出差，酒店的设施很完善，卫生很干净，周边交通很便利，周边的环境也很好，。很赞！！！！！！！', '短评打分': 5}
{'短评内容': '闹中取静，就是今天早餐人太多，等半个多小时才吃上。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '一般，不像四星标准，旁边火车站方便。房间设施太一般了', '短评打分': 4}
{'短评内容': '酒店各方面尚好。', '短评打分': 4}
{'短评内容': '好的是那个窗口办公室几', '短评打分': 5}
{'短评内容': '房间卫生可以，关键离车站很近。', '短评打分': 5}
{'短评内容': '实在是赶火车没办法，才住在这里的。就是个旅社，比快捷酒店还差。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台一个人接待，显得手忙脚乱的，话也是有一句没一句，爱搭不理的。房间里面一股子味道，哎，想订这里的人，自己看吧，良心语录啊！', '短评打分': 2}
{'短评内容': '酒店内部环境好，服务佳，下楼北50米就是俆州火车站，便于出行方便，可以说是闹中取静的休整好地方！', '短评打分': 5}
{'短评内容': '其他方面都还不错，唯一不爽的就是洗澡过程中突然没有热水了，大冷天的，还好我等了好久，至少十五分钟，最后热水来了！', '短评打分': 4}
{'短评内容': 'Nice room but not internet conected, service was OK and average clean. ', '短评打分': 4}
{'短评内容': '房间很好，服务态度也很好，交通方便', '短评打分': 5}
{'短评内容': '设施一般,但周边出行和就餐非常方便. 面向铁路方面有些嘈杂.', '短评打分': 5}
{'短评内容': '设施一般,就是因为出行比较方便(铁路、长途客车)，此外餐饮也非常齐全', '短评打分': 5}
{'短评内容': '在火车站周围，有时会有点吵！需要安静环境需注意！其它都挺好的！', '短评打分': 5}
{'短评内容': '很好！酒店可购买的商品太少！希望以后服务有更多改进！', '短评打分': 5}
