{'短评内容': '物美价廉值得考虑', '短评打分': 5}
{'短评内容': '物美价廉 值得考虑', '短评打分': 5}
{'短评内容': '还是不算的，311房间的空调外机有点吵，跟总台打电直接跟我换了一间房', '短评打分': 5}
{'短评内容': '性价比高!房间空间大...不错! 前台服务员美女态度非常好!', '短评打分': 5}
{'短评内容': '硬件有待提高，其他都可以', '短评打分': 4}
{'短评内容': '111111111', '短评打分': 5}
{'短评内容': '床单都挺干净的，热水很足，在这个价位上有这种品质算不错的了，我长期来都说住这家经济实惠，如果逛市场是首选，', '短评打分': 4}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '不咋地', '短评打分': 2}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '各方面都还算可以，不错', '短评打分': 5}
{'短评内容': '一路走一路玩，路过住下，不错的酒店，性价比不错！', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '前台服务很好，很耐心，很有家的感觉！', '短评打分': 5}
{'短评内容': '每次到柯桥都在这里落脚', '短评打分': 5}
{'短评内容': '很好可以入住干净卫生人缘福态。', '短评打分': 3}
{'短评内容': '酒店内部硬件和服务可以，外部环境有待提高。', '短评打分': 4}
{'短评内容': '第一次住恒8，想不到这么干净，真正验证了他的广告语:清雅逸境，暢享生活。', '短评打分': 3}
{'短评内容': '不错的,就是户外空调机吵了点', '短评打分': 3}
{'短评内容': '酒店装修很时尚，也很干净，性价比较高，离比较繁华的步行街较近。唯一不足的是由于靠近纺织城，靠街的房间有点儿吵。', '短评打分': 5}
{'短评内容': '，房间很干净，但房间隔音效果一般。这样的房价还算可以。', '短评打分': 3}
